
[00:00:00.000 --> 00:00:03.640]  今日我講題就是「聰明人必做」的事
[00:00:03.640 --> 00:00:06.520]  原來聰明人真是有樣看的
[00:00:06.520 --> 00:00:09.040]  你們識唔識睇呀
[00:00:09.040 --> 00:00:11.080]  笑得咁開心
[00:00:11.080 --> 00:00:16.880]  原來根據去年十一月有一個傳媒的報道
[00:00:16.880 --> 00:00:21.080]  講到美國有一班心理學家做了一個統計
[00:00:21.080 --> 00:00:26.480]  就著一班十二歲的小朋友來做一個測試
[00:00:26.480 --> 00:00:31.520]  他們挑選了四百個成績非常優秀的學童
[00:00:31.520 --> 00:00:34.960]  來做這個特徵的調查
[00:00:34.960 --> 00:00:39.320]  結果發現在這些優秀的學生裏面
[00:00:39.320 --> 00:00:46.280]  原來大多數都是像我一樣近視的
[00:00:46.280 --> 00:00:48.760]  好像這個四眼仔
[00:00:48.760 --> 00:00:51.480]  不單止近視 他們是左撇子的
[00:00:51.480 --> 00:00:53.600]  有沒有人左撇子的
[00:00:53.600 --> 00:00:55.560]  都有 看看是不是你們
[00:00:55.560 --> 00:00:58.720]  牧師又近視又左撇子
[00:00:58.720 --> 00:01:00.800]  還有第三個特點
[00:01:00.800 --> 00:01:04.160]  就是他們都有過敏性的體質
[00:01:04.160 --> 00:01:06.120]  什麼是過敏性的體質呢
[00:01:06.120 --> 00:01:11.160]  就是身體很容易出現一些敏感的徵狀
[00:01:11.160 --> 00:01:14.520]  例如會對天氣的變化很敏感
[00:01:14.520 --> 00:01:16.600]  會出疹 濕疹
[00:01:16.600 --> 00:01:18.360]  牧師你有沒有出濕疹
[00:01:18.360 --> 00:01:20.720]  哈哈 搖頭 不是
[00:01:20.720 --> 00:01:24.400]  或者會有過敏性的哮喘
[00:01:24.400 --> 00:01:28.320]  或者對藥物敏感
[00:01:28.320 --> 00:01:30.360]  三個特徵是什麼
[00:01:30.360 --> 00:01:35.280]  近視 左撇子和過敏性的體質
[00:01:35.280 --> 00:01:43.160]  有日本的心理學家就著這三個特徵來研究
[00:01:43.160 --> 00:01:45.600]  發現這些優秀的學童
[00:01:45.600 --> 00:01:51.680]  近視的比率比一般的學童超出了四倍
[00:01:51.680 --> 00:01:58.120]  特別比這些優秀的學童近視的比率特別高
[00:01:58.120 --> 00:02:01.400]  並且大多數都是左撇子
[00:02:01.400 --> 00:02:07.640]  日本和美國也曾經在1982年做過類似的統計
[00:02:07.640 --> 00:02:10.400]  發現左撇子的人
[00:02:10.400 --> 00:02:15.360]  做藝術家 建築師的比率也是特別高的
[00:02:15.360 --> 00:02:20.680]  還有他們在政治 運動 醫學等等的領域裡
[00:02:20.680 --> 00:02:25.200]  也特別出類拔萃
[00:02:25.200 --> 00:02:28.480]  但是教父爭議性的就是過敏性的體質
[00:02:28.480 --> 00:02:31.120]  剛才我們說過很容易出疹
[00:02:31.120 --> 00:02:34.000]  或者身體容易有過敏的反應
[00:02:34.000 --> 00:02:36.240]  這些其實我們也不喜歡
[00:02:36.240 --> 00:02:41.000]  但原來這個很可能是一個聰明人的特徵
[00:02:41.000 --> 00:02:44.360]  剛才說了三個特徵
[00:02:44.360 --> 00:02:49.080]  但專家就說不要以為自己有其中一個特徵
[00:02:49.080 --> 00:02:52.240]  你就是比別人特別聰明
[00:02:52.240 --> 00:02:55.400]  這些統計只是統計的數據
[00:02:55.400 --> 00:02:58.040]  不是科學的證明
[00:02:58.040 --> 00:03:00.800]  就是說如果你擁有這三個特徵
[00:03:00.800 --> 00:03:04.160]  你是聰明人的可能性就會較高
[00:03:04.160 --> 00:03:08.000]  我想問一下現在在座有沒有哪位有這三種特性
[00:03:08.000 --> 00:03:09.960]  可不可以舉手讓我認識一下你
[00:03:09.960 --> 00:03:11.640]  有 我看到一隻手
[00:03:11.640 --> 00:03:13.880]  原來右麗就是這個聰明人
[00:03:13.880 --> 00:03:16.680]  劉右麗姊妹 我們認識一下她
[00:03:16.680 --> 00:03:19.360]  不過我認識的右麗也真的很聰明
[00:03:19.360 --> 00:03:20.520]  讀書也很厲害
[00:03:20.520 --> 00:03:23.520]  她的兒子也很聰明
[00:03:23.520 --> 00:03:25.880]  這三樣的特徵
[00:03:25.880 --> 00:03:27.920]  大多數我們都沒有
[00:03:27.920 --> 00:03:29.240]  我也不是
[00:03:29.240 --> 00:03:30.360]  沒有也不要緊
[00:03:30.360 --> 00:03:32.120]  你今天聽完這篇道理
[00:03:32.120 --> 00:03:33.640]  你照著去行
[00:03:33.640 --> 00:03:35.960]  你就會是一個聰明人
[00:03:35.960 --> 00:03:39.560]  不過在說怎樣去做聰明人之前
[00:03:39.560 --> 00:03:43.800]  我想將剛才主席跟我們讀那段經文
[00:03:43.800 --> 00:03:49.760]  我想將它放在登山補訓框架裏面去看
[00:03:49.760 --> 00:03:53.400]  看看這段經文跟登山補訓其餘的部分
[00:03:53.400 --> 00:03:58.040]  有什麼關係
[00:03:58.040 --> 00:04:01.120]  我們看看這段經文
[00:04:01.120 --> 00:04:04.280]  我們由七月開始講登山補訓
[00:04:04.280 --> 00:04:08.040]  就是《馬太福音》第五至七章
[00:04:08.040 --> 00:04:10.000]  而剛才所讀的一段經文
[00:04:10.000 --> 00:04:13.720]  就是整個登山補訓裏面最後的一段
[00:04:13.720 --> 00:04:17.800]  這段經文跟羅穆斯上次講的那一段
[00:04:17.800 --> 00:04:19.680]  十三節到廿三節
[00:04:19.680 --> 00:04:23.240]  其實可以歸納成為同一個段落
[00:04:23.240 --> 00:04:27.400]  也是整個登山補訓裏面的總結
[00:04:27.400 --> 00:04:29.640]  甚至我們讀這段經文
[00:04:29.640 --> 00:04:34.400]  可以說是總結中的總結
[00:04:34.400 --> 00:04:37.720]  登山補訓的對象是信了耶穌的人
[00:04:37.720 --> 00:04:39.200]  是信徒來的
[00:04:39.200 --> 00:04:42.200]  是那些已經蒙恩得救的人
[00:04:42.200 --> 00:04:44.800]  登山補訓的意義就是
[00:04:44.800 --> 00:04:48.160]  教我們這群已經信了主的人
[00:04:48.160 --> 00:04:49.760]  我們這群信徒
[00:04:49.760 --> 00:04:54.560]  如何活出天國子民應該有的生命質素
[00:04:54.560 --> 00:04:56.960]  以及生命的表現
[00:04:56.960 --> 00:04:59.520]  在登山補訓的教導裏面
[00:04:59.520 --> 00:05:01.840]  主耶穌一再強調
[00:05:01.840 --> 00:05:05.720]  我們不要只看律法表面的意義
[00:05:05.720 --> 00:05:08.200]  我們要看他們的精髓
[00:05:08.200 --> 00:05:12.080]  要行出當中的精髓出來
[00:05:12.080 --> 00:05:14.840]  主耶穌又用了幾個比喻
[00:05:14.840 --> 00:05:16.280]  上次牧師也跟我們說了
[00:05:16.280 --> 00:05:18.320]  我們要去做一個抉擇
[00:05:18.320 --> 00:05:23.240]  就是主耶穌已經教了我們這麼多天國的道理
[00:05:23.240 --> 00:05:25.280]  我們要去到一個抉擇的時候
[00:05:25.280 --> 00:05:28.280]  我們要去選擇到底要走哪一條路
[00:05:28.280 --> 00:05:30.560]  哪一條才是正路
[00:05:30.560 --> 00:05:32.120]  其實在這段經文裏面
[00:05:32.120 --> 00:05:34.360]  哪一個才是正確的答案
[00:05:34.360 --> 00:05:37.280]  其實那個答案可以說是呼之欲出的
[00:05:37.280 --> 00:05:39.840]  上次牧師已經跟我們說了
[00:05:39.840 --> 00:05:46.160]  現在我想說的就是接下來最後這段的比喻
[00:05:46.160 --> 00:05:50.200]  剛才說到主耶穌叫會眾去做一個抉擇
[00:05:50.200 --> 00:05:53.440]  叫你去抉擇走哪一條路
[00:05:53.440 --> 00:05:56.280]  但其實這個抉擇對於以色列人來說
[00:05:56.280 --> 00:05:58.200]  一點也不陌生
[00:05:58.200 --> 00:06:01.400]  因為對於以色列人來說
[00:06:01.400 --> 00:06:06.040]  他們在摩西向他們頒佈律法的時候
[00:06:06.040 --> 00:06:10.400]  同樣向他們指出有兩條路
[00:06:10.400 --> 00:06:12.600]  一條是有禍的路
[00:06:12.600 --> 00:06:14.680]  一條是有福的路
[00:06:14.680 --> 00:06:17.360]  禍福之道
[00:06:17.360 --> 00:06:22.040]  他說的是信者無福 逆者受禍
[00:06:22.040 --> 00:06:23.960]  他頒佈完這些律法之後
[00:06:23.960 --> 00:06:26.400]  摩西就清楚地指出
[00:06:26.400 --> 00:06:29.200]  以色列人如果你們是聽神的吩咐
[00:06:29.200 --> 00:06:32.120]  按照他的吩咐來做的話
[00:06:32.120 --> 00:06:33.800]  你就會得到福氣
[00:06:33.800 --> 00:06:36.160]  相反的話 你不聽的話
[00:06:36.160 --> 00:06:38.320]  就後患無窮
[00:06:38.320 --> 00:06:39.680]  說到摩西律法
[00:06:39.680 --> 00:06:41.720]  我們也可以將摩西律法
[00:06:41.720 --> 00:06:46.160]  跟耶穌所說的登山補訓來做一個比較
[00:06:46.160 --> 00:06:49.920]  摩西是在哪裏頒佈律法的?
[00:06:49.920 --> 00:06:51.320]  在西乃山
[00:06:51.320 --> 00:06:57.000]  耶穌同樣在山上來教導登山補訓
[00:06:57.000 --> 00:07:01.720]  摩西將神的指紋圈在律法裏面
[00:07:01.720 --> 00:07:05.160]  使人知道什麼是罪
[00:07:05.160 --> 00:07:08.120]  使人知道神的心意是怎樣
[00:07:08.120 --> 00:07:11.720]  怎樣做會違背祂的心意
[00:07:11.720 --> 00:07:14.720]  但耶穌是以恩典來開始
[00:07:14.720 --> 00:07:19.360]  大家還記不記得登山補訓第一部份說什麼?
[00:07:19.360 --> 00:07:23.280]  登山補訓的第一部份是什麼?
[00:07:23.280 --> 00:07:24.560]  「乜乜的人有福」
[00:07:24.560 --> 00:07:27.120]  就是我們所說的「八福」
[00:07:27.120 --> 00:07:33.040]  其實「八福」是神給我們的一個應許
[00:07:33.040 --> 00:07:37.200]  是神對我們每一個信徒一個最高的承諾
[00:07:37.200 --> 00:07:39.960]  本來我們人在律法底下
[00:07:39.960 --> 00:07:44.400]  我們知道律法我們走多遠都走不完
[00:07:44.400 --> 00:07:46.200]  無論我們多麼刻苦
[00:07:46.200 --> 00:07:49.760]  我們都無法完全做到足
[00:07:49.760 --> 00:07:52.200]  我們無法達到完美
[00:07:52.200 --> 00:08:02.040]  但「八福」能夠使我們從可望而不可及的痛苦中釋放出來
[00:08:02.040 --> 00:08:05.960]  「八福」成為一個正面積極的力量
[00:08:05.960 --> 00:08:10.040]  去推動我們追求生命的成長
[00:08:10.040 --> 00:08:14.120]  以致我們能夠實現有福的人生
[00:08:14.120 --> 00:08:16.840]  「八福」也告訴我們
[00:08:16.840 --> 00:08:19.520]  神的應許是已經實現了
[00:08:19.520 --> 00:08:21.880]  我們已經可以擁有這些福氣
[00:08:21.880 --> 00:08:24.240]  但同時也要去到將來
[00:08:24.240 --> 00:08:29.400]  這些福氣才能夠完全實現
[00:08:29.400 --> 00:08:31.040]  所以登山補訓
[00:08:31.040 --> 00:08:35.400]  可以說是將神的指紋
[00:08:35.400 --> 00:08:39.360]  從律法的困鎖裡釋放出來
[00:08:39.360 --> 00:08:41.600]  我這樣說並不是說
