
[00:00:00.000 --> 00:00:02.380]  大衛傳的第十講
[00:00:02.380 --> 00:00:04.200]  我們剛剛講完羅馬書
[00:00:04.200 --> 00:00:06.260]  現在又來講大衛傳
[00:00:06.260 --> 00:00:08.760]  羅馬書充滿了神學
[00:00:08.760 --> 00:00:12.420]  大衛傳舊約有很多的故事
[00:00:12.420 --> 00:00:16.140]  我們由故事當中來探索神學
[00:00:16.140 --> 00:00:18.000]  來看舊約的故事
[00:00:18.000 --> 00:00:19.500]  教我們什麼是真理
[00:00:19.500 --> 00:00:22.000]  我們有什麼東西可以學習到
[00:00:22.000 --> 00:00:26.000]  今天會講撒母以下的第一章和第二章
[00:00:26.000 --> 00:00:28.080]  之前我們講了撒母以上
[00:00:28.080 --> 00:00:29.880]  有關大衛的故事
[00:00:29.880 --> 00:00:31.880]  今天的題目就是
[00:00:31.880 --> 00:00:35.880]  處事正確的目的和抉擇
[00:00:35.880 --> 00:00:38.880]  我們每個人做事都有我們的目的
[00:00:38.880 --> 00:00:40.880]  都有我們的動機
[00:00:40.880 --> 00:00:42.380]  你說不是啊 牧師
[00:00:42.380 --> 00:00:43.880]  我做事完全沒有動機
[00:00:43.880 --> 00:00:45.380]  完全沒有目的
[00:00:45.380 --> 00:00:48.380]  那你就盲目做事 盲目處事
[00:00:48.380 --> 00:00:49.880]  那是很危險的
[00:00:49.880 --> 00:00:51.880]  我們每個人做事都有目的
[00:00:51.880 --> 00:00:53.380]  都有動機
[00:00:53.380 --> 00:00:56.380]  今天我們會見到一共有四組人
[00:00:56.380 --> 00:00:58.880]  他們做的事都有不同的動機
[00:00:58.880 --> 00:01:00.380]  有不同的目的
[00:01:00.380 --> 00:01:02.880]  去到最後我們就會回來看看
[00:01:02.880 --> 00:01:05.880]  這位合神心意的人 這位大衛
[00:01:05.880 --> 00:01:08.880]  在同樣的事道他會做什麼
[00:01:08.880 --> 00:01:10.380]  他會有什麼回應
[00:01:10.380 --> 00:01:13.380]  為什麼他成為一個合神心意的人
