
[00:00:00.000 --> 00:00:02.720]  我們很開心繼續來查理希米記
[00:00:02.720 --> 00:00:05.840]  今天是3月1日一堂
[00:00:05.840 --> 00:00:10.720]  我自己很想弟兄姐妹對整卷的聖經有所認識
[00:00:10.720 --> 00:00:14.360]  因為讀舊約有時候有些經文我們都不是很有興趣
[00:00:14.360 --> 00:00:16.120]  包括我自己在內
[00:00:16.120 --> 00:00:18.000]  譬如我們看理希米記裡面
[00:00:18.000 --> 00:00:20.400]  說到怎麼分別人去做地方
[00:00:20.400 --> 00:00:23.000]  修理哪些地方
[00:00:23.000 --> 00:00:25.920]  又數點一些人數
[00:00:25.920 --> 00:00:27.960]  平時我們就會跳過去
[00:00:27.960 --> 00:00:31.400]  但是在《查經》裡面也會跟大家分享
[00:00:31.400 --> 00:00:36.640]  理希米記其實某個程度上半部已經結束了
[00:00:36.640 --> 00:00:39.400]  理希米回她自己的故鄉
[00:00:39.400 --> 00:00:42.120]  主要是建造城牆
[00:00:42.120 --> 00:00:46.000]  我們看到她面對周圍很多敵人的攻擊
[00:00:46.000 --> 00:00:47.840]  包括挖苦他們
[00:00:47.840 --> 00:00:49.040]  嘲弄他們
[00:00:49.040 --> 00:00:52.520]  派人混進去當中製造混亂
[00:00:52.520 --> 00:00:53.960]  讓他們害怕
[00:00:53.960 --> 00:00:56.760]  但是理希米她懂得如何仰望神
[00:00:56.760 --> 00:01:01.480]  甚至去咒詛那些對他們不善的人
[00:01:01.480 --> 00:01:04.120]  她更加專心地去工作
[00:01:04.120 --> 00:01:06.520]  一手拿兵器一手拿工具
[00:01:06.520 --> 00:01:09.440]  最重要的是她有很強的生命力
[00:01:09.440 --> 00:01:11.880]  她沒有拿俸祿
[00:01:11.880 --> 00:01:14.560]  還貼錢去服侍
[00:01:14.560 --> 00:01:16.320]  招待外賓
[00:01:16.320 --> 00:01:20.000]  也影響到她跟你一起工作的人
[00:01:20.000 --> 00:01:23.240]  所以很快城牆52天就建好了
[00:01:23.240 --> 00:01:25.320]  應該就完結了
[00:01:25.320 --> 00:01:26.760]  但是絕對不是
[00:01:26.760 --> 00:01:29.720]  如果只是有外在堅固的城牆
