
[00:00:00.000 --> 00:00:02.520]  今天是我去負責廣告
[00:00:02.520 --> 00:00:04.720]  當我準備今天的廣告的時候
[00:00:04.720 --> 00:00:07.880]  我都在想2019年是最後一個星期
[00:00:07.880 --> 00:00:09.640]  如果回想2019年的時候
[00:00:09.640 --> 00:00:11.160]  我不知道大家的感覺如何
[00:00:11.160 --> 00:00:13.040]  我自己覺得2019年
[00:00:13.040 --> 00:00:13.920]  特別是下半年
[00:00:13.920 --> 00:00:15.160]  覺得很不容易過
[00:00:15.160 --> 00:00:16.240]  是嗎?OK
[00:00:16.240 --> 00:00:17.360]  所以我就在想
[00:00:17.360 --> 00:00:19.280]  如果在我這樣的狀況裏面
[00:00:19.280 --> 00:00:20.920]  如果我要說一句話
[00:00:20.920 --> 00:00:22.840]  繼續去鼓勵我身邊的弟兄姐妹
[00:00:22.840 --> 00:00:24.600]  或者祝福我旁邊的朋友
[00:00:24.600 --> 00:00:26.480]  我會說一句什麼話呢?
[00:00:26.480 --> 00:00:28.200]  弟兄姐妹你會說什麼話?
[00:00:28.200 --> 00:00:30.720]  今天我就會教大家說
[00:00:30.720 --> 00:00:33.160]  耶穌時代的信徒
[00:00:33.160 --> 00:00:34.680]  跟隨耶穌的人
[00:00:34.680 --> 00:00:36.680]  他們會說這句話彼此鼓勵
[00:00:36.680 --> 00:00:38.200]  這句話就是
[00:00:38.200 --> 00:00:39.360]  一起讀一次好嗎?
[00:00:39.360 --> 00:00:40.280]  你先聽我讀
[00:00:40.280 --> 00:00:41.600]  Maranatha
[00:00:41.600 --> 00:00:42.920]  Maranatha
[00:00:42.920 --> 00:00:44.000]  Maranatha
[00:00:44.000 --> 00:00:44.800]  Maranatha
[00:00:44.800 --> 00:00:47.760]  我和旁邊的人用這句話問安好嗎?
[00:00:47.760 --> 00:00:49.200]  Maranatha
[00:00:49.200 --> 00:00:51.520]  Maranatha
[00:00:51.520 --> 00:00:53.880]  Maranatha這句話其實是什麼意思呢?
[00:00:53.880 --> 00:00:56.000]  是解作主必要來
[00:00:56.000 --> 00:00:57.200]  或者可以另一個翻譯
[00:00:57.200 --> 00:00:58.640]  其實是一個祈禱
[00:00:58.640 --> 00:01:00.640]  主下願禰來的意思
[00:01:00.640 --> 00:01:02.760]  原來早期耶穌時代
[00:01:02.760 --> 00:01:03.920]  跟隨耶穌的人
[00:01:03.920 --> 00:01:05.520]  信耶穌的人並不容易
[00:01:05.520 --> 00:01:05.920]  爲什麼呢?
[00:01:05.920 --> 00:01:07.560]  因爲在羅馬的政權之下
[00:01:07.560 --> 00:01:11.040]  他們要維持跟隨耶穌教徒的身份
[00:01:11.040 --> 00:01:13.240]  很多時候面對着很多的迫害
[00:01:13.240 --> 00:01:14.920]  於是信還是不信
[00:01:14.920 --> 00:01:16.440]  不信就很簡單了
[00:01:16.440 --> 00:01:17.280]  沒有事情發生
[00:01:17.280 --> 00:01:19.200]  你堅持你的信仰的時候
[00:01:19.200 --> 00:01:22.840]  可能會抓你去鬥獸場那裏被批鬥
[00:01:22.840 --> 00:01:24.960]  於是經常在苦難裏面
[00:01:24.960 --> 00:01:28.040]  如果你用猶太人常用的問安
[00:01:28.040 --> 00:01:28.640]  就是Shalom
[00:01:28.640 --> 00:01:29.440]  你跟祂說平安
[00:01:29.440 --> 00:01:30.200]  不是不好
