
[00:00:00.000 --> 00:00:03.960]  當我剛剛來美國就遭遇到
[00:00:03.960 --> 00:00:09.540]  Charlie Kirk被殺死 一個這麼重大的新聞
[00:00:09.540 --> 00:00:13.400]  有時都覺得很悲哀
[00:00:13.400 --> 00:00:17.140]  本來很多事情是討論的問題 爭論的問題
[00:00:17.140 --> 00:00:20.680]  但是可以去殺死不同意見的人
[00:00:20.680 --> 00:00:23.140]  是很難接受的
[00:00:23.140 --> 00:00:27.980]  但是他也是我們很可愛的弟兄
[00:00:27.980 --> 00:00:31.280]  我未必完全同意他的觀點 我作為時事評論員
[00:00:31.280 --> 00:00:34.240]  但是我知道Kirk是偽主的
[00:00:34.240 --> 00:00:36.900]  他是真心偽主到傳福音的
[00:00:36.900 --> 00:00:41.340]  他保護了很多信仰的觀點 所以我也很紀念他
[00:00:41.340 --> 00:00:44.540]  一個很有名的人死去
[00:00:44.540 --> 00:00:47.400]  但是我也知道Kirk死去
[00:00:47.400 --> 00:00:51.820]  或者好像史提反也很年輕就死了
[00:00:51.820 --> 00:00:54.060]  但是之後保羅會來的
[00:00:54.060 --> 00:00:58.940]  我們也紀念美國會有更多新的基督徒領袖出來
[00:00:58.940 --> 00:01:02.860]  使這個國家復興 我們為美國祈禱
[00:01:02.860 --> 00:01:05.280]  美國是遭遇了很多難題
[00:01:05.280 --> 00:01:09.800]  我今天其實也是跟一些很有名的人去世
[00:01:09.800 --> 00:01:12.200]  去探討
[00:01:12.200 --> 00:01:21.560]  去探討生和死 人生的問題
[00:01:21.560 --> 00:01:27.820]  早段時間我們知道我們小時候經常看小說的那個瓊瑤的去世
[00:01:27.820 --> 00:01:34.100]  也知道她去世是因為自殺而死的
[00:01:34.100 --> 00:01:36.460]  她一生也很追求完美
[00:01:36.460 --> 00:01:41.340]  也很追求那種感性的男女感情
[00:01:41.340 --> 00:01:46.660]  她的故事本身也是非常瓊瑤的
[00:01:46.660 --> 00:01:50.260]  一個月到一個很欣賞她的平生徒
[00:01:50.260 --> 00:01:52.260]  但平生徒結了婚
[00:01:52.260 --> 00:01:55.660]  所以就陷入了窗外的那些故事
[00:01:55.660 --> 00:01:58.060]  那些瓊瑤的故事裡面
[00:01:58.060 --> 00:02:02.100]  為了喜歡她又離婚再娶她
[00:02:02.100 --> 00:02:05.180]  其實也是製造了很多困難
[00:02:05.180 --> 00:02:06.980]  但是這個欣賞她的男人
