
[00:00:00.000 --> 00:00:05.000]  這四樣東西是甚麼?第一,the bible is true
[00:00:05.000 --> 00:00:08.000]  你不要以為你翻學的東西就很真實
[00:00:08.000 --> 00:00:13.000]  其實,聖經是最真實的
[00:00:13.000 --> 00:00:16.000]  聖經裏面的話語可以
[00:00:16.000 --> 00:00:19.000]  耶穌說這個世界所有東西都會過去
[00:00:19.000 --> 00:00:22.000]  但是聖經裏面一點一滴,一定要成全
[00:00:22.000 --> 00:00:24.000]  聖經是最真實的
[00:00:24.000 --> 00:00:28.000]  第二樣東西,罪孽是最可怕的
[00:00:28.000 --> 00:00:31.000]  最可怕的東西不是人會病,人會死
[00:00:31.000 --> 00:00:33.000]  最可怕的東西不是
[00:00:33.000 --> 00:00:36.000]  我可能會很窮,可能我要餓死
[00:00:36.000 --> 00:00:40.000]  或者不餓死,不餓死更慘,更辛苦
[00:00:40.000 --> 00:00:42.000]  我們很怕這些東西,我們怕失敗
[00:00:42.000 --> 00:00:45.000]  我們怕沒有人那麼威風
[00:00:45.000 --> 00:00:48.000]  我們怕病,我們怕死
[00:00:48.000 --> 00:00:50.000]  但是我們不怕罪
[00:00:50.000 --> 00:00:52.000]  我們需要怕的是罪
[00:00:52.000 --> 00:00:54.000]  罪孽是最可怕,sin is the problem
[00:00:54.000 --> 00:00:57.000]  the bible is true,sin is the problem
[00:00:57.000 --> 00:01:01.000]  因為罪是最可怕的問題
[00:01:01.000 --> 00:01:04.000]  所以,耶穌是最寶貴的
[00:01:04.000 --> 00:01:06.000]  不是健康最寶貴
[00:01:06.000 --> 00:01:08.000]  我們很喜歡說一句
[00:01:08.000 --> 00:01:11.000]  你一去到新年又有什麼貴的東西
[00:01:11.000 --> 00:01:14.000]  大家最重要健康,不是的
[00:01:14.000 --> 00:01:16.000]  不是最重要健康的
[00:01:16.000 --> 00:01:18.000]  總有一天,你說得多
[00:01:18.000 --> 00:01:20.000]  總有一天都不健康的
[00:01:20.000 --> 00:01:22.000]  那沒有了健康
[00:01:22.000 --> 00:01:24.000]  難道我們就失去一切嗎
[00:01:24.000 --> 00:01:26.000]  不是的,耶穌最寶貴
[00:01:26.000 --> 00:01:28.000]  如果罪是那個問題
[00:01:28.000 --> 00:01:29.000]  sin is the problem
[00:01:29.000 --> 00:01:31.000]  Jesus is the answer
[00:01:31.000 --> 00:01:32.000]  耶穌是最寶貴
[00:01:32.000 --> 00:01:35.000]  第四,耶穌最寶貴的原因是因為
[00:01:35.000 --> 00:01:37.000]  地獄是火辣辣的
[00:01:37.000 --> 00:01:38.000]  這間教會很有趣
[00:01:38.000 --> 00:01:41.000]  你想想,那些人很少來過教會
[00:01:41.000 --> 00:01:43.000]  以前沒有去過教會
[00:01:43.000 --> 00:01:44.000]  竟然跟他講地獄
[00:01:44.000 --> 00:01:46.000]  你知道有些教會跟他說
[00:01:46.000 --> 00:01:49.000]  不可以講罪,不可以講地獄
[00:01:49.000 --> 00:01:53.000]  他呢,那些不應該講的東西都講了
[00:01:53.000 --> 00:01:54.000]  很有趣的
[00:01:54.000 --> 00:01:57.000]  我的子女都跟我說去英國的時候
[00:01:57.000 --> 00:02:00.000]  他發現在教會裏面是盡量避免
[00:02:00.000 --> 00:02:04.000]  因為英國已經離開了基督教的文化
[00:02:04.000 --> 00:02:05.000]  於是他經常都說
[00:02:05.000 --> 00:02:07.000]  盡量不要講罪那樣東西
[00:02:07.000 --> 00:02:10.000]  正面一點講耶穌,上帝是愛
[00:02:10.000 --> 00:02:13.000]  正面一點講上帝可以為你得到人生
[00:02:13.000 --> 00:02:16.000]  得到意義
[00:02:16.000 --> 00:02:19.000]  不要講罪地獄那些東西
[00:02:19.000 --> 00:02:22.000]  但是你發現這間教會很有趣
[00:02:22.000 --> 00:02:25.000]  他很簡單直接跟你講
[00:02:25.000 --> 00:02:26.000]  sin is the problem
[00:02:26.000 --> 00:02:28.000]  and hell is hot hot hot
[00:02:28.000 --> 00:02:32.000]  竟然有很多很多這些微信主
[00:02:32.000 --> 00:02:34.000]  還是很奇怪的人
[00:02:34.000 --> 00:02:39.000]  我意思是全身去紋身那些人
[00:02:39.000 --> 00:02:41.000]  竟然他們很有興趣
[00:02:41.000 --> 00:02:45.000]  有心去聽這個福音
[00:02:45.000 --> 00:02:47.000]  是真實的,是真實的
[00:02:47.000 --> 00:02:51.000]  就是因為罪是那個問題
[00:02:51.000 --> 00:02:54.000]  因為罪的公解乃是死死後且有
[00:02:54.000 --> 00:02:56.000]  審判地獄是火辣
[00:02:56.000 --> 00:02:58.000]  因為這些都是真實的
[00:02:58.000 --> 00:03:03.000]  於是那個福音才是好消息
[00:03:03.000 --> 00:03:06.000]  於是上帝才是愛
[00:03:06.000 --> 00:03:08.000]  如果上帝純粹是愛
[00:03:08.000 --> 00:03:10.000]  因為我們都很乖兒乖女
[00:03:10.000 --> 00:03:12.000]  上帝又不用做任何東西
[00:03:12.000 --> 00:03:14.000]  就可以原諒我們的罪
[00:03:14.000 --> 00:03:16.000]  那上帝的愛都不是那麼大
[00:03:16.000 --> 00:03:22.000]  上帝是要奉上他自己獨生的兒子
[00:03:22.000 --> 00:03:24.000]  成就這個救恩的認許
[00:03:24.000 --> 00:03:25.000]  對於我們來說
[00:03:25.000 --> 00:03:27.000]  這個才是上帝的愛
[00:03:27.000 --> 00:03:30.000]  有四樣東西這間教會教
[00:03:30.000 --> 00:03:33.000]  這幾天我加多一樣東西
[00:03:33.000 --> 00:03:35.000]  因為我們的題目叫回應認許
[00:03:35.000 --> 00:03:36.000]  所以我加多一點
[00:03:36.000 --> 00:03:38.000]  我加多一點是甚麼呢
[00:03:38.000 --> 00:03:41.000]  就是認許救恩的認許
[00:03:41.000 --> 00:03:43.000]  需回應
[00:03:43.000 --> 00:03:45.000]  必須要回應
[00:03:45.000 --> 00:03:47.000]  那個認許越大
[00:03:47.000 --> 00:03:50.000]  那個回應應該是更大
[00:03:50.000 --> 00:03:52.000]  所以我們現在在哪裏
[00:03:52.000 --> 00:03:54.000]  我們現在是在御虎期
[00:03:54.000 --> 00:03:55.000]  還有兩個星期
[00:03:55.000 --> 00:03:56.000]  耶穌會上十字架
[00:03:56.000 --> 00:03:58.000]  認許將要成全
[00:03:58.000 --> 00:04:01.000]  認許之地大門為我們打開
[00:04:01.000 --> 00:04:03.000]  接著耶穌下一個做甚麼呢
[00:04:03.000 --> 00:04:04.000]  成就了認許
[00:04:04.000 --> 00:04:08.000]  就是我們要回應
[00:04:08.000 --> 00:04:10.000]  那個認許那麼大
[00:04:10.000 --> 00:04:12.000]  那個救恩那麼大
[00:04:12.000 --> 00:04:15.000]  我們的回應是應該怎樣呢
[00:04:15.000 --> 00:04:18.000]  我們的回應就是要更大
[00:04:18.000 --> 00:04:19.000]  昨天我們讀文書記
[00:04:19.000 --> 00:04:22.000]  今天我們會進入約書亞記
[00:04:22.000 --> 00:04:25.000]  約書亞記文書記是四阿哥
[00:04:25.000 --> 00:04:29.000]  約書亞記是排第六的
[00:04:29.000 --> 00:04:32.000]  我們進入約書亞記的時候
[00:04:32.000 --> 00:04:33.000]  我想和你看一句
[00:04:33.000 --> 00:04:36.000]  先提一節很關鍵的字句
[00:04:36.000 --> 00:04:39.000]  約書亞記的金句中的金句
