
[00:00:00.000 --> 00:00:04.000]  主,我們知道祢是那位豐盛的主
[00:00:04.000 --> 00:00:10.000]  豐盛到一個地步我們想不到,無邊界
[00:00:10.000 --> 00:00:18.000]  就因為這樣,我們才可以在祢面前放膽去求
[00:00:18.000 --> 00:00:22.000]  求祢讓我們有智慧,有聰明
[00:00:22.000 --> 00:00:25.000]  去明白以前我們不明白的東西
[00:00:25.000 --> 00:00:28.000]  去看到我們以前看不到的東西
[00:00:28.000 --> 00:00:31.000]  去聽到我們以前聽不到的東西
[00:00:31.000 --> 00:00:33.000]  主,我們相信祢能夠
[00:00:33.000 --> 00:00:36.000]  我們今天就在祢面前去求
[00:00:36.000 --> 00:00:39.000]  也求祢寶貝的保衛師聖靈
[00:00:39.000 --> 00:00:42.000]  在我們心中去工作
[00:00:42.000 --> 00:00:45.000]  容我們各人樂意打開我們的心
[00:00:45.000 --> 00:00:47.000]  打開我們的生命
[00:00:47.000 --> 00:00:50.000]  容讓你自己去工作,去感動
[00:00:50.000 --> 00:00:52.000]  去觸摸,觸動我們的心
[00:00:52.000 --> 00:00:54.000]  多謝主你聽我們的祈禱
[00:00:54.000 --> 00:00:56.000]  奉我教主耶穌基督的名求
[00:00:58.000 --> 00:01:00.000]  不知道大家今天早上回來
[00:01:00.000 --> 00:01:05.000]  有沒有時間看程序表的封面文章
[00:01:05.000 --> 00:01:07.000]  因為是我寫的
[00:01:07.000 --> 00:01:10.000]  還有是因為講三幅
[00:01:10.000 --> 00:01:12.000]  講三幅,過去兩個星期
[00:01:12.000 --> 00:01:14.000]  主的恩典很大
[00:01:14.000 --> 00:01:17.000]  主透過一些青年人
[00:01:17.000 --> 00:01:19.000]  參加了暑期活動四師
[00:01:19.000 --> 00:01:22.000]  我們有二十多個青年人
[00:01:22.000 --> 00:01:24.000]  一起去參加
[00:01:24.000 --> 00:01:26.000]  當中有十多個是新朋友
[00:01:26.000 --> 00:01:28.000]  未回教會的
[00:01:28.000 --> 00:01:33.000]  是因為大義理團的青年人同學邀請回來
[00:01:33.000 --> 00:01:35.000]  晚會當中
[00:01:35.000 --> 00:01:38.000]  我記得臨去澳洲前
[00:01:38.000 --> 00:01:41.000]  那一晚是八月七日晚
[00:01:41.000 --> 00:01:44.000]  我、閻姑娘和大妹就去了亞洲博覽館
[00:01:44.000 --> 00:01:46.000]  最大的那個
[00:01:46.000 --> 00:01:48.000]  即是開演唱會的那個
[00:01:48.000 --> 00:01:52.000]  坐滿了,坐到八成,很悶
[00:01:52.000 --> 00:01:55.000]  當晚主題是講愛的
[00:01:55.000 --> 00:01:58.000]  關愛,愛父母,愛家人
[00:01:58.000 --> 00:02:01.000]  當主持人在台上發出邀請
[00:02:01.000 --> 00:02:05.000]  有沒有青年人願意將生命交給主的時候
[00:02:05.000 --> 00:02:09.000]  我看到很多很多的年青人走到前面
[00:02:09.000 --> 00:02:11.000]  回應主
[00:02:11.000 --> 00:02:14.000]  因為我們坐在很前
[00:02:14.000 --> 00:02:16.000]  導師坐在很前
[00:02:16.000 --> 00:02:18.000]  我看到很多青年人
[00:02:18.000 --> 00:02:21.000]  哭了,很感動
[00:02:21.000 --> 00:02:24.000]  我知道主觸摸了他們的心
[00:02:24.000 --> 00:02:28.000]  我再回頭看一看
[00:02:28.000 --> 00:02:31.000]  因為我們知道青年人坐在哪裡
[00:02:31.000 --> 00:02:35.000]  我再看一看他們的位置
[00:02:35.000 --> 00:02:38.000]  我發覺很多位置都空了
[00:02:38.000 --> 00:02:41.000]  他們坐的那部分位置都空了
[00:02:41.000 --> 00:02:44.000]  即是說他們很多都走下來
[00:02:44.000 --> 00:02:48.000]  他們大部分在當天都回應了主的呼召
[00:02:48.000 --> 00:02:52.000]  有些在當晚就決志順主
[00:02:52.000 --> 00:02:55.000]  我們當然要講Hallelujah讚美主
[00:02:55.000 --> 00:02:59.000]  但更重要的是跟進和栽培
[00:02:59.000 --> 00:03:01.000]  跟進栽培一定要快
[00:03:01.000 --> 00:03:04.000]  並且要打鐵趁熱
[00:03:04.000 --> 00:03:07.000]  否則有一個會比你更快
[00:03:07.000 --> 00:03:08.000]  是誰?
[00:03:08.000 --> 00:03:10.000]  魔鬼撒旦
[00:03:10.000 --> 00:03:13.000]  很多人當晚信完耶穌
[00:03:13.000 --> 00:03:15.000]  回到家就想一想
[00:03:15.000 --> 00:03:18.000]  都不是去想一想,是撒旦去想一想
[00:03:18.000 --> 00:03:20.000]  好像不太好
[00:03:20.000 --> 00:03:23.000]  所以一定要快
[00:03:23.000 --> 00:03:28.000]  魔鬼用的方法就是懷疑
[00:03:28.000 --> 00:03:30.000]  因為你想一想
[00:03:30.000 --> 00:03:34.000]  當天魔鬼去試探亞當和夏娃都是懷疑
[00:03:34.000 --> 00:03:36.000]  你的神是否真的那麼好?
[00:03:36.000 --> 00:03:38.000]  他真的叫你不敢寫?
[00:03:38.000 --> 00:03:39.000]  你就開始懷疑了
[00:03:39.000 --> 00:03:41.000]  即是不要寫
[00:03:41.000 --> 00:03:43.000]  決志的人都是一樣
[00:03:43.000 --> 00:03:46.000]  因為這樣我們有三福隊
[00:03:46.000 --> 00:03:50.000]  我們訓練了那麼久,立即要出
[00:03:50.000 --> 00:03:55.000]  前兩星期就有不同的弟兄姊妹
[00:03:55.000 --> 00:03:58.000]  跟青年人講三福
[00:03:58.000 --> 00:04:01.000]  有些是缺志的
[00:04:01.000 --> 00:04:06.000]  有些可能還未成功
[00:04:06.000 --> 00:04:09.000]  但他們都有機會聽過
[00:04:09.000 --> 00:04:11.000]  究竟三福是甚麼呢?
[00:04:11.000 --> 00:04:13.000]  你看完今天的封面文章
[00:04:13.000 --> 00:04:16.000]  可能會幫助你了解更多
[00:04:16.000 --> 00:04:24.000]  不過希望用當中三福兩條很核心的問題
[00:04:24.000 --> 00:04:26.000]  再加上今天的經文
[00:04:26.000 --> 00:04:28.000]  跟大家分享一下
[00:04:28.000 --> 00:04:30.000]  我的分享文章當中都有說
[00:04:30.000 --> 00:04:32.000]  三福出隊是個人報道
[00:04:32.000 --> 00:04:34.000]  即是三福隊可能有三個人
[00:04:34.000 --> 00:04:38.000]  跟一個福音對象去講福音
[00:04:38.000 --> 00:04:41.000]  究竟怎樣引入福音呢?
[00:04:41.000 --> 00:04:44.000]  我想大部份人當中
[00:04:44.000 --> 00:04:48.000]  都有機會跟朋友講過福音
[00:04:48.000 --> 00:04:51.000]  但當你講福音的時候
[00:04:51.000 --> 00:04:53.000]  可能你覺得自己不夠講
[00:04:53.000 --> 00:04:55.000]  你只會說
[00:04:55.000 --> 00:04:57.000]  「你相信吧,很好的」
[00:04:57.000 --> 00:04:59.000]  「你回教會吧,很好的」
[00:04:59.000 --> 00:05:00.000]  「那些人很好的」
[00:05:00.000 --> 00:05:02.000]  然後再說
[00:05:02.000 --> 00:05:05.000]  你可能不太知道怎樣說
[00:05:05.000 --> 00:05:07.000]  但三福就是一個訓練
[00:05:07.000 --> 00:05:09.000]  很整全地把福音講完
[00:05:09.000 --> 00:05:14.000]  那怎樣引入福音呢?
[00:05:14.000 --> 00:05:17.000]  有兩條問題
[00:05:17.000 --> 00:05:19.000]  你聽過或受過訓練
[00:05:19.000 --> 00:05:21.000]  就知道那兩條問題是甚麼
[00:05:21.000 --> 00:05:24.000]  但透過這兩條問題
[00:05:24.000 --> 00:05:26.000]  這兩條叫做診斷問題
[00:05:26.000 --> 00:05:27.000]  甚麼是診斷問題呢?
[00:05:27.000 --> 00:05:29.000]  你問了就知道
[00:05:29.000 --> 00:05:32.000]  大概你的信仰狀況是怎樣
[00:05:32.000 --> 00:05:34.000]  透過這兩條問題
[00:05:34.000 --> 00:05:36.000]  你會知道大概那個人
[00:05:36.000 --> 00:05:40.000]  怎樣看自己的人生和生命
[00:05:40.000 --> 00:05:42.000]  我今天主要跟大家分享
[00:05:42.000 --> 00:05:44.000]  這兩條問題的第一條
[00:05:44.000 --> 00:05:45.000]  第一條是甚麼呢?
[00:05:45.000 --> 00:05:47.000]  讀過三福或聽過三福的
[00:05:47.000 --> 00:05:50.000]  你知道是甚麼嗎?
[00:05:50.000 --> 00:05:52.000]  假如今天晚上
[00:05:52.000 --> 00:05:54.000]  你就要離開這個世界
[00:05:54.000 --> 00:05:58.000]  按照你現在的想法和信仰
[00:05:58.000 --> 00:06:03.000]  你肯不肯定自己可以上天堂?
[00:06:03.000 --> 00:06:05.000]  這個問題很有意思
[00:06:05.000 --> 00:06:08.000]  對未認識福音的人來說
[00:06:08.000 --> 00:06:10.000]  固然很有意思
[00:06:10.000 --> 00:06:12.000]  想想究竟
[00:06:12.000 --> 00:06:14.000]  因為每個人都會離開這個世界
[00:06:14.000 --> 00:06:16.000]  誰不會離開這個世界呢?
[00:06:16.000 --> 00:06:18.000]  一定會的
[00:06:18.000 --> 00:06:20.000]  只是差在甚麼時間
[00:06:20.000 --> 00:06:23.000]  當你要離開的時候
[00:06:23.000 --> 00:06:25.000]  之後是怎樣呢?
[00:06:25.000 --> 00:06:29.000]  之後你肯不肯定自己會上天堂呢?
[00:06:29.000 --> 00:06:33.000]  所以對一個未信或未聽過福音的人來說
