
[00:00:00.000 --> 00:00:04.360]  多謝敬拜隊帶領我們剛才的詩歌
[00:00:04.360 --> 00:00:06.240]  主必快來
[00:00:06.240 --> 00:00:09.720]  我們求神幫助我們今天在疫情當中
[00:00:09.720 --> 00:00:12.960]  沒有忘記主已經復活
[00:00:12.960 --> 00:00:17.000]  讓我們通過今天我們所聽到的訊息
[00:00:17.000 --> 00:00:21.200]  我們的生命能夠得到幫助
[00:00:21.200 --> 00:00:24.000]  相信大家在星期五晚
[00:00:24.000 --> 00:00:28.440]  我們肺腑之言的受難節聚會裡
[00:00:28.440 --> 00:00:31.840]  我們很感受到耶穌基督的受苦
[00:00:31.840 --> 00:00:34.520]  也感受到神的愛
[00:00:34.520 --> 00:00:36.320]  在今天這個時間
[00:00:36.320 --> 00:00:40.440]  我們願意通過耶穌基督復活的訊息
[00:00:40.440 --> 00:00:42.600]  帶給我們每一個人
[00:00:42.600 --> 00:00:47.160]  特別當中可能有我們邀請一起
[00:00:47.160 --> 00:00:51.680]  去看這個錄播的朋友、未信的家人
[00:00:51.680 --> 00:00:54.080]  求神通過今天的訊息
[00:00:54.080 --> 00:00:56.560]  讓我們更清楚知道
[00:00:56.560 --> 00:00:59.680]  復活節的訊息跟你很有關係
[00:01:27.560 --> 00:01:34.560]  那日就是七日的第一日晚上
[00:01:34.560 --> 00:01:36.760]  門徒所在的地方
[00:01:36.760 --> 00:01:40.960]  因怕猶太人門都關了
[00:01:40.960 --> 00:01:45.120]  耶穌來站在當中對他們說
[00:01:45.120 --> 00:01:47.480]  「願你們平安」
[00:01:47.480 --> 00:01:49.080]  說了這話
[00:01:49.080 --> 00:01:53.560]  就把手和肋旁指給他們看
[00:01:53.560 --> 00:01:57.880]  門道看見主,就喜樂了
[00:01:57.880 --> 00:02:00.280]  耶穌又對他們說
[00:02:00.280 --> 00:02:04.560]  「願你們平安,父怎樣差遣了我
[00:02:04.560 --> 00:02:07.720]  我也照樣差遣你們」
[00:02:07.720 --> 00:02:09.400]  說了這話
[00:02:09.400 --> 00:02:12.160]  就向他們吹一口氣
[00:02:12.160 --> 00:02:15.160]  說:你們受聖靈
[00:02:15.160 --> 00:02:19.880]  你們赦免誰的罪,誰的罪就赦免了
