
[00:00:00.000 --> 00:00:03.940]  頂至會平安,請我們先一齊祈禱
[00:00:03.940 --> 00:00:06.860]  周天,我們感謝祢至於恩典
[00:00:06.860 --> 00:00:10.240]  在主的精神,祢讓我們可以一同聚集
[00:00:10.240 --> 00:00:11.720]  敬拜祢
[00:00:11.720 --> 00:00:14.600]  主,我們求聖靈幫助我們
[00:00:14.600 --> 00:00:16.780]  能夠明白祢的心意
[00:00:16.780 --> 00:00:19.680]  能夠學習,來認識祢更多
[00:00:19.680 --> 00:00:20.980]  愛祢更多
[00:00:20.980 --> 00:00:23.980]  奉主耶穌基督的名祈禱,阿門
[00:00:28.840 --> 00:00:32.460]  今天是2022年的第一個主日
[00:00:32.460 --> 00:00:37.040]  很高興能夠和大家分享聖經的訊息
[00:00:37.040 --> 00:00:41.840]  首先祝大家有一個健康、平安的新年
[00:00:41.840 --> 00:00:47.120]  由於近來的染疫人數急劇上升
[00:00:47.120 --> 00:00:50.780]  因此主任牧師決定這兩個星期
[00:00:50.780 --> 00:00:53.920]  改為網上崇拜
[00:00:53.920 --> 00:00:58.260]  等情況穩定下來之後,再恢復實體崇拜
[00:00:59.020 --> 00:01:01.660]  剛剛過了聖誕節
[00:01:01.660 --> 00:01:08.700]  聖誕節當然會聚焦思考主耶穌的誕生和影響
[00:01:08.700 --> 00:01:14.700]  但很多科幻派教會,對聖靈是比較少講
[00:01:14.700 --> 00:01:20.480]  以致很多信徒對聖靈的認識,都是比較模糊
[00:01:20.480 --> 00:01:24.520]  很高興我們教會決定,在新的一年開始
[00:01:24.520 --> 00:01:29.320]  要花四個主日去講有關聖靈的事
[00:01:29.320 --> 00:01:34.660]  並且這個系列的主題是「順著聖靈而行」
[00:01:34.660 --> 00:01:42.660]  我鼓勵大家在這個月裏面多些思想有關聖靈的事
[00:01:42.660 --> 00:01:46.120]  如果有任何相關的問題
[00:01:46.120 --> 00:01:50.740]  可以向我或一張傳道提問
[00:01:50.740 --> 00:01:54.020]  我們一定會盡力幫助大家
[00:01:54.640 --> 00:01:57.380]  今日讓我先從《約翰福音》
[00:01:57.380 --> 00:02:00.540]  主耶穌對聖靈的介紹
[00:02:00.540 --> 00:02:03.080]  和在主耶穌的禱告當中
[00:02:03.080 --> 00:02:05.720]  了解聖靈的主要工作
[00:02:05.720 --> 00:02:10.640]  和與聖徒同在
[00:02:10.640 --> 00:02:15.460]  要帶出一個很重要的結果
[00:02:15.460 --> 00:02:20.560]  《約翰福音》13至14章
[00:02:20.560 --> 00:02:25.780]  是主耶穌與門徒在吃如月節晚餐時的對話記錄
[00:02:25.780 --> 00:02:27.320]  不是全部的
[00:02:27.320 --> 00:02:31.400]  只是聖靈感動使徒約翰記得的對話
[00:02:31.400 --> 00:02:34.600]  和認為重要的記載了下來
[00:02:34.600 --> 00:02:37.800]  在15至16章
[00:02:37.800 --> 00:02:42.440]  就是主耶穌帶著門徒離開吃晚飯的房屋
[00:02:42.440 --> 00:02:47.280]  行路去赫西瑪利園路途中的講話
[00:02:47.680 --> 00:02:51.720]  而17章是在赫西瑪利園中的一段禱告
[00:02:51.720 --> 00:02:54.200]  在《約翰福音》14章
[00:02:54.200 --> 00:02:57.580]  主耶穌一開始介紹聖靈時
[00:02:57.580 --> 00:03:03.100]  祂說「要求天父賜給門徒另一位保衛師」
[00:03:03.100 --> 00:03:06.440]  這個詞也可以譯作「勸慰者」
[00:03:06.440 --> 00:03:11.160]  英文聖經一般會譯作Counselor或Helper
[00:03:11.160 --> 00:03:17.360]  聖靈勸慰者會住在信徒身上
[00:03:17.760 --> 00:03:21.800]  並且根據《約翰福音》14章26節
[00:03:21.800 --> 00:03:26.480]  聖靈會把一切的事指示我們
[00:03:26.480 --> 00:03:30.680]  並且使我們記起主耶穌對我們所說的一切話
[00:03:30.680 --> 00:03:33.760]  此外主耶穌還提到
[00:03:33.760 --> 00:03:36.000]  聖靈是「真理的靈」
[00:03:36.000 --> 00:03:38.720]  在15章26節提過
[00:03:38.720 --> 00:03:42.720]  今日讀過的經文16章13節亦提到
[00:03:42.720 --> 00:03:45.040]  「真理的靈」的工作
[00:03:45.040 --> 00:03:48.640]  就是要引導你們進入一切真理
[00:03:48.640 --> 00:03:54.280]  我們先來看看《約翰福音》16章7至15節
[00:03:54.280 --> 00:03:57.240]  提到的兩項聖靈的工作
[00:03:57.240 --> 00:04:02.080]  很多牧師都很喜歡引用16章8節說
[00:04:02.080 --> 00:04:06.960]  「他來的時候要為罪、為義、為審判、指證世人」
[00:04:06.960 --> 00:04:09.800]  這是和合本修訂版的翻譯
[00:04:09.800 --> 00:04:12.480]  和合本的翻譯是
[00:04:12.480 --> 00:04:17.600]  「他既來了,就要叫世人為罪、為義、為審判
[00:04:17.600 --> 00:04:19.760]  自己責備自己」
[00:04:19.760 --> 00:04:24.120]  和修版的翻譯比較弱了一點
[00:04:24.120 --> 00:04:29.800]  因為指證的涵義好像是提出證據
[00:04:29.800 --> 00:04:36.200]  但原文用的字是有「最後判決」和「定罪」的意思
[00:04:36.200 --> 00:04:39.440]  英文聖經會用「convict」
[00:04:39.440 --> 00:04:41.600]  就是「定罪」的意思
[00:04:42.800 --> 00:04:45.720]  聖靈會在人心裡工作
[00:04:45.720 --> 00:04:48.440]  使人知罪、認罪、悔改
[00:04:48.440 --> 00:04:49.840]  這是肯定的
[00:04:49.840 --> 00:04:52.680]  其實如果沒有聖靈的工作
[00:04:52.680 --> 00:04:55.000]  沒有人可以信到耶穌
