
[00:00:00.000 --> 00:00:02.360]  我們一起看今天的經文
[00:00:02.360 --> 00:00:04.480]  剛才大家讀的是其中一個部份
[00:00:04.480 --> 00:00:08.880]  但今天我想跟大家特別留意
[00:00:08.880 --> 00:00:13.080]  《馬太福音》十三章整章的經文
[00:00:13.080 --> 00:00:14.840]  如果你是用唐容聖經的
[00:00:14.840 --> 00:00:19.480]  請你打開聖經一千四百七十四頁
[00:00:19.480 --> 00:00:23.120]  一四七四
[00:00:23.120 --> 00:00:25.040]  《馬太福音》第十三章
[00:00:25.040 --> 00:00:38.720]  記載了主耶穌所說的很多天國福音的比喻
[00:00:38.720 --> 00:00:40.240]  《馬太福音》十三章裡面
[00:00:40.240 --> 00:00:44.800]  記載了主耶穌說了四組的比喻
[00:00:44.800 --> 00:00:46.920]  今天我們從這四組的比喻裡面
[00:00:46.920 --> 00:00:52.920]  看看天國福音很重要的四方面的真理
[00:00:52.920 --> 00:00:59.520]  時間不多,我們直接跟大家一起思想這段聖經
[00:00:59.520 --> 00:01:02.200]  我們的經文也不會跟大家慢慢讀
[00:01:02.200 --> 00:01:04.600]  大家看到的時候你自己看,好嗎?
[00:01:04.600 --> 00:01:06.440]  但你打開聖經
[00:01:06.440 --> 00:01:10.000]  首先第一個,第一組的比喻
[00:01:10.000 --> 00:01:12.280]  剛才我們已經剛剛讀過了
[00:01:12.280 --> 00:01:15.760]  就是說到有人殺種
[00:01:15.760 --> 00:01:17.480]  去到不同的情況下
[00:01:17.480 --> 00:01:20.240]  有些是好的土,有些是淺的土
[00:01:20.240 --> 00:01:22.760]  有些是路旁,有些有荊棘
[00:01:22.760 --> 00:01:24.880]  於是生起上來的時候
[00:01:24.880 --> 00:01:27.520]  有很不同的結果
[00:01:27.520 --> 00:01:29.200]  這一組的比喻裡面
[00:01:29.200 --> 00:01:33.480]  我相信很想跟大家一起分享
[00:01:33.480 --> 00:01:36.240]  大家都很熟悉不同的情況
[00:01:36.240 --> 00:01:39.440]  如果我們深入來分析的時候
[00:01:39.440 --> 00:01:42.600]  其實在這一組的比喻裡面
[00:01:42.600 --> 00:01:46.360]  所顯示的情況
[00:01:46.360 --> 00:01:50.560]  主耶穌提醒了我們有四種的力量
[00:01:50.560 --> 00:01:53.120]  當人要願意去親近神
[00:01:53.120 --> 00:01:56.120]  和神建立關係、信主
[00:01:56.120 --> 00:01:58.960]  甚至屬靈的成長的時候
[00:01:58.960 --> 00:02:01.640]  主耶穌提醒我們有四種的力量
[00:02:01.640 --> 00:02:05.560]  兩種是人心靈裡面的力量
[00:02:05.560 --> 00:02:09.120]  兩種是屬靈的力量
[00:02:09.120 --> 00:02:13.000]  那你看看究竟是哪四種的力量呢?
[00:02:13.000 --> 00:02:19.560]  第一種的力量是人心靈裡面的渴慕和滋潤
[00:02:19.560 --> 00:02:23.760]  其實人的心是有需要去親近神
[00:02:23.760 --> 00:02:25.320]  想相信神的
[00:02:25.320 --> 00:02:27.160]  這個神做我們的時候
[00:02:27.160 --> 00:02:29.680]  我們心靈裡面留下的那種渴慕
[00:02:29.680 --> 00:02:32.520]  不過很多時候我們沒有留意
[00:02:32.520 --> 00:02:34.440]  很多時候我們沒有鼓勵
[00:02:34.440 --> 00:02:37.920]  這就是聖經裡面主耶穌所提到的
[00:02:37.920 --> 00:02:39.760]  同一個種子
[00:02:39.760 --> 00:02:43.560]  神所布下的福音的種子
[00:02:43.560 --> 00:02:45.840]  有些是路旁的,沒有了
[00:02:45.840 --> 00:02:48.200]  有些是很淺的泥土
[00:02:48.200 --> 00:02:50.720]  它生得很好,不過很快就凋謝
[00:02:50.720 --> 00:02:54.320]  有些生出來,但是有荊棘阻攔
[00:02:54.320 --> 00:02:55.840]  有些是好的
[00:02:55.840 --> 00:02:56.880]  一路生出來的時候
[00:02:56.880 --> 00:02:58.840]  一百倍、六十倍、三十倍
[00:02:58.840 --> 00:03:00.200]  就是說有不同的結果
[00:03:00.200 --> 00:03:02.680]  其實是因為那些泥土不同
[00:03:02.680 --> 00:03:06.160]  只要你不要忽視我們的心靈
[00:03:06.160 --> 00:03:08.720]  其實都是有這種對神的渴慕
[00:03:08.720 --> 00:03:11.560]  不過很多時候我們沒有留心去栽培
[00:03:11.560 --> 00:03:12.960]  我們提醒我們自己
[00:03:12.960 --> 00:03:15.040]  我們要給神一個空間
[00:03:15.040 --> 00:03:18.800]  要多機會讓我們去渴慕神
[00:03:18.800 --> 00:03:20.400]  如果我們有弟弟的時候
[00:03:20.400 --> 00:03:22.520]  你不要小看你從小到大
[00:03:22.520 --> 00:03:25.360]  讓他多接觸信仰
[00:03:25.360 --> 00:03:26.800]  帶他來禮拜堂
[00:03:26.800 --> 00:03:28.280]  或者他們的性格
[00:03:28.280 --> 00:03:30.240]  其實一直影響他相信神
[00:03:30.240 --> 00:03:32.560]  我們這麼多年,我自己的經驗看見
[00:03:32.560 --> 00:03:35.120]  有些人他小時候
[00:03:35.120 --> 00:03:38.560]  他一直是背逆神,他不肯聽神話的
[00:03:38.560 --> 00:03:40.760]  發覺他信耶穌之後特別難搞
[00:03:40.760 --> 00:03:42.480]  你不要以為的,一樣的
[00:03:42.480 --> 00:03:44.120]  他對神都是不聽話的
[00:03:44.120 --> 00:03:46.320]  搞很久才聽話
[00:03:46.320 --> 00:03:48.400]  有些人他小時候
[00:03:48.400 --> 00:03:52.560]  他心地善良,他願意去跟從神的時候
[00:03:52.560 --> 00:03:56.920]  他又很容易去聽神的說話
[00:03:56.920 --> 00:04:00.040]  所以我們要留意我們的心田是怎樣
[00:04:00.040 --> 00:04:02.320]  我們身邊的人的心田是怎樣
[00:04:02.320 --> 00:04:04.840]  我們的小朋友的心田是怎樣
[00:04:04.840 --> 00:04:06.200]  主耶穌說我們要留意的
[00:04:06.200 --> 00:04:08.840]  因為我們的心本來就是渴慕神的
[00:04:08.840 --> 00:04:14.720]  我們要多些滋潤這種向神渴慕的心境
[00:04:14.720 --> 00:04:16.840]  但是只是向神渴慕是不夠的
[00:04:16.840 --> 00:04:17.720]  還有更重要的
[00:04:17.720 --> 00:04:20.240]  當然就是一種屬靈的拉力
[00:04:20.240 --> 00:04:22.520]  就是神自己的完美
[00:04:22.520 --> 00:04:24.040]  祂自己的完美
