
[00:00:00.000 --> 00:00:03.000]  今天想和大家思想菲律賓書第九講
[00:00:03.000 --> 00:00:06.000]  「我們是天上的國民嗎?」
[00:00:06.000 --> 00:00:10.000]  保羅在菲律賓書都是身處一個艱難的時代坐牢
[00:00:10.000 --> 00:00:14.000]  但是他心願就是讓一眾弟兄姊妹
[00:00:14.000 --> 00:00:17.000]  都能夠好像他一樣效法耶穌基督
[00:00:17.000 --> 00:00:20.000]  然後逃避那些不好的榜樣
[00:00:20.000 --> 00:00:25.000]  讓他們認定他們的生命是一個天國的子民的生命
[00:00:25.000 --> 00:00:28.000]  所以保羅很想他們好像保羅自己一樣
[00:00:28.000 --> 00:00:31.000]  看萬事如意奮土
[00:00:31.000 --> 00:00:34.000]  要得著基督一個活著的基督生命
[00:00:34.000 --> 00:00:36.000]  這是不是我們追求呢?
[00:00:36.000 --> 00:00:37.000]  我們看今天的經文
[00:00:37.000 --> 00:00:39.000]  菲律賓書第三章十五到二十一節
[00:00:39.000 --> 00:00:42.000]  我請弟兄讀單數節,姊妹讀雙數節
[00:00:42.000 --> 00:00:45.000]  我們先讀一段聖經,弟兄開始
[00:00:45.000 --> 00:00:49.000]  所以我們中間凡是完全人
[00:00:49.000 --> 00:00:51.000]  總要存這樣的心
[00:00:51.000 --> 00:00:54.000]  若在什麼事上存別樣的心
[00:00:54.000 --> 00:00:57.000]  神也必以此指示你們
[00:00:57.000 --> 00:01:06.000]  弟兄們,你們要一同效法我
[00:01:06.000 --> 00:01:11.000]  也當留意看那些照我們榜樣行的人
[00:01:11.000 --> 00:01:23.000]  他們的結局就是沉淪
[00:01:23.000 --> 00:01:26.000]  他們的神就是自己的禱福
[00:01:26.000 --> 00:01:29.000]  他們以自己的羞辱為榮耀
[00:01:29.000 --> 00:01:40.000]  專以地上的事為念
[00:01:40.000 --> 00:01:43.000]  他要按著那能叫萬有
[00:01:43.000 --> 00:01:44.000]  歸服自己的大能
[00:01:44.000 --> 00:01:48.000]  將我們這卑賤的身體改變形象
[00:01:48.000 --> 00:01:52.000]  和他自己榮耀的身體相似
[00:01:52.000 --> 00:01:56.000]  每個世代裡面都有很多混亂紛爭
[00:01:56.000 --> 00:01:58.000]  甚至很多險惡的人的世代
