
[00:00:00.000 --> 00:00:03.800]  我很多時候都會看History Channel那些東西的
[00:00:03.800 --> 00:00:06.500]  我經常都會追看一個叫做
[00:00:06.500 --> 00:00:08.000]  軟股外星人的
[00:00:08.000 --> 00:00:09.720]  其實是考古節目的
[00:00:09.720 --> 00:00:11.800]  不過他做到好像連續劇一樣
[00:00:11.800 --> 00:00:13.760]  經已去到season 5(第五季)了
[00:00:13.760 --> 00:00:17.860]  大家是追其他的嘛
[00:00:17.860 --> 00:00:19.020]  他一路做的
[00:00:19.020 --> 00:00:20.820]  來來去去,經常都去找那些
[00:00:20.820 --> 00:00:22.320]  剛剛這個禮拜
[00:00:22.320 --> 00:00:23.340]  平時很多時候
[00:00:23.340 --> 00:00:25.780]  晚上11點我看我老婆睡了
[00:00:25.780 --> 00:00:28.780]  但是師母那天還沒睡
[00:00:28.780 --> 00:00:30.780]  竟然坐在我旁邊一起看
[00:00:30.780 --> 00:00:33.940]  這次是說南美某高原
[00:00:33.940 --> 00:00:35.160]  我不記得是什麼高原
[00:00:35.160 --> 00:00:37.280]  上面有幾張圖
[00:00:37.280 --> 00:00:40.400]  大蜘蛛,要在高天望才能看到
[00:00:40.400 --> 00:00:42.980]  有八十幾個這樣的圖
[00:00:42.980 --> 00:00:45.000]  你要知道那些
[00:00:45.000 --> 00:00:46.600]  是什麼
[00:00:46.600 --> 00:00:47.760]  我真的不記得那些名字
[00:00:47.760 --> 00:00:49.640]  納斯卡斯是吧
[00:00:49.640 --> 00:00:50.380]  OK OK
[00:00:50.380 --> 00:00:53.160]  那時候是納斯卡斯
[00:00:53.160 --> 00:00:55.860]  好,接着不止這些,還有很多東西
[00:00:55.860 --> 00:00:56.600]  一路看
[00:00:56.600 --> 00:00:58.120]  很快有些印象出來了
[00:00:58.120 --> 00:01:00.120]  咦,好像不知道第幾個季節
[00:01:00.120 --> 00:01:01.560]  第幾集也是說過那樣的
[00:01:01.560 --> 00:01:02.480]  又來了
[00:01:02.480 --> 00:01:05.020]  接着,永遠一路說的時候
[00:01:05.020 --> 00:01:06.000]  答案都是
[00:01:06.000 --> 00:01:08.100]  這些遠古人
[00:01:08.100 --> 00:01:09.160]  做出來的東西
[00:01:09.160 --> 00:01:11.940]  不是人做到的
[00:01:11.940 --> 00:01:14.960]  而答案通常和衛斯理小說一樣
[00:01:14.960 --> 00:01:16.120]  外星人啊
[00:01:16.120 --> 00:01:17.720]  我這麼說不是說一定沒有
[00:01:17.720 --> 00:01:19.240]  我沒有這樣的智慧和把握
