
[00:00:00.000 --> 00:00:04.000]  我們在來聽神的話語之前再次祈禱
[00:00:04.000 --> 00:00:12.000]  感謝主的恩典帶領
[00:00:12.000 --> 00:00:14.200]  讓我們在主日
[00:00:14.200 --> 00:00:17.800]  亦都是農曆新年的大年初一
[00:00:17.800 --> 00:00:20.100]  我們可以來相聚
[00:00:20.100 --> 00:00:22.600]  來彼此祝賀
[00:00:22.600 --> 00:00:26.400]  亦來見證神的恩典在我們當中
[00:00:26.400 --> 00:00:28.800]  求主繼續賜福帶領
[00:00:29.300 --> 00:00:30.600]  夕陽主的話語
[00:00:30.600 --> 00:00:33.000]  時常在我們的心裏
[00:00:33.000 --> 00:00:35.500]  亦都成為我們的力量與指引
[00:00:35.500 --> 00:00:37.400]  感謝主聽我們的禱告
[00:00:37.400 --> 00:00:39.600]  直賴主耶穌基督的聖名而求
[00:00:39.600 --> 00:00:40.700]  阿門
[00:00:40.700 --> 00:00:48.200]  相信都不用多說
[00:00:48.200 --> 00:00:52.200]  大家都知道按照十二生肖的牌序
[00:00:52.200 --> 00:00:54.400]  今年就是蛇年
[00:00:54.400 --> 00:00:58.300]  因此在這個日子當中
[00:00:58.500 --> 00:01:00.700]  藉著這個機會和大家分享一下
[00:01:00.700 --> 00:01:03.300]  蛇在聖經當中
[00:01:03.300 --> 00:01:06.200]  被形容為一種什麼樣的動物
[00:01:06.200 --> 00:01:09.400]  首先讓我們去看看
[00:01:09.400 --> 00:01:12.200]  中國的文化對於蛇
[00:01:12.200 --> 00:01:14.300]  有些什麼樣的評價
[00:01:14.300 --> 00:01:20.300]  通常都是看來一些比較負面的感覺
[00:01:20.300 --> 00:01:21.200]  比較重
[00:01:21.200 --> 00:01:24.200]  我們從一些用語裏面就知道了
[00:01:24.200 --> 00:01:26.500]  例如
[00:01:26.500 --> 00:01:27.900]  蛇蠍心腸
[00:01:28.600 --> 00:01:29.700]  佛口蛇心
[00:01:29.700 --> 00:01:31.400]  牛鬼蛇腎
[00:01:31.400 --> 00:01:33.700]  蛇頭鼠眼
[00:01:33.700 --> 00:01:35.400]  蛇鼠一窩
[00:01:35.400 --> 00:01:36.900]  龍蛇混雜
[00:01:36.900 --> 00:01:39.300]  虎頭蛇尾
[00:01:39.300 --> 00:01:41.300]  人心不足
[00:01:41.300 --> 00:01:42.500]  蛇吞象
[00:01:42.500 --> 00:01:44.000]  懶過跳蛇
[00:01:44.000 --> 00:01:46.000]  和做兩頭蛇
[00:01:46.000 --> 00:01:49.300]  很多人最擅長的兩件事
[00:01:49.300 --> 00:01:50.700]  都是與蛇有關的
[00:01:50.700 --> 00:01:51.300]  是什麼呢?
[00:01:51.300 --> 00:01:53.800]  畫蛇添足和蛇王
[00:01:55.500 --> 00:01:59.700]  這些全部看來都是很負面的
[00:01:59.700 --> 00:02:03.800]  雖然我們對於蛇的評價
[00:02:03.800 --> 00:02:05.600]  似乎不多好
[00:02:05.600 --> 00:02:07.800]  不過中國人
[00:02:07.800 --> 00:02:10.600]  對那件事的評價不好
[00:02:10.600 --> 00:02:11.800]  就不代表扔掉了
[00:02:11.800 --> 00:02:14.000]  雖然評價不是很好
[00:02:14.000 --> 00:02:16.200]  不過食用的價值就不錯
[00:02:16.200 --> 00:02:18.900]  所以蛇就可以拿來吃了
[00:02:18.900 --> 00:02:20.600]  秋風起
[00:02:20.600 --> 00:02:22.200]  除了要吃臘味
[00:02:22.200 --> 00:02:23.100]  還有
[00:02:23.100 --> 00:02:24.900]  我們知道三蛇肥
[00:02:25.200 --> 00:02:26.400]  這個時節
[00:02:26.400 --> 00:02:28.800]  最適合吃蛇羹了
[00:02:28.800 --> 00:02:32.200]  除了蛇肉之外
[00:02:32.200 --> 00:02:36.400]  蛇的蛇腿
[00:02:36.400 --> 00:02:40.000]  一般來說可以用於小兒的定驚
[00:02:40.000 --> 00:02:41.600]  而蛇膽
[00:02:41.600 --> 00:02:44.800]  還可以有驅寒止咳的作用
[00:02:44.800 --> 00:02:46.900]  所以食用的價值
[00:02:46.900 --> 00:02:48.700]  似乎是相當的高
[00:02:48.700 --> 00:02:52.600]  雖然蛇看來不是很好
[00:02:53.000 --> 00:02:56.300]  不過我們知道蛇在國際上
[00:02:56.300 --> 00:02:59.100]  是會經常令人聯想起
[00:02:59.100 --> 00:03:01.100]  醫療和救護的
[00:03:01.100 --> 00:03:06.700]  其中世界衛生組織的會徽是其中一個例子
[00:03:06.700 --> 00:03:11.100]  大家看看這個世界衛生組織的會徽是怎麼樣的
[00:03:11.100 --> 00:03:15.200]  這個會徽大家似乎應該不會陌生了
[00:03:15.200 --> 00:03:18.000]  尤其是世衛組織的總幹事
[00:03:18.000 --> 00:03:19.600]  就是一位香港人
[00:03:19.600 --> 00:03:21.200]  陳馮富珍醫生
[00:03:21.500 --> 00:03:24.000]  所以這個標誌我們都很熟悉了
[00:03:24.000 --> 00:03:25.900]  這個標誌
[00:03:25.900 --> 00:03:27.900]  外面的部分
[00:03:27.900 --> 00:03:29.700]  其實就是聯合國的標誌
[00:03:29.700 --> 00:03:31.200]  中間
[00:03:31.200 --> 00:03:32.800]  是一條蛇
[00:03:32.800 --> 00:03:36.000]  纏繞著一支拳杖
[00:03:36.000 --> 00:03:40.000]  這個就是很多國際性的醫療組織
[00:03:40.000 --> 00:03:42.100]  或者大家在救護車上
[00:03:42.100 --> 00:03:43.400]  都會看到的
[00:03:43.400 --> 00:03:45.400]  有人就認為
