
[00:00:00.000 --> 00:00:04.080]  頂姐妹早晨,又是和大家分享聖經的時候
[00:00:04.080 --> 00:00:05.800]  今日的題目是
[00:00:05.800 --> 00:00:08.960]  平原補訓之逆轉人生
[00:00:08.960 --> 00:00:13.840]  經文是《路加福音》的六章十七到二十八節
[00:00:13.840 --> 00:00:18.480]  今日想和大家在幾方面來分享
[00:00:18.480 --> 00:00:23.200]  在裡面我們去了解一下什麼叫逆向思維
[00:00:23.200 --> 00:00:25.640]  或者在當中我們看這段經文的時候
[00:00:25.640 --> 00:00:28.720]  這群群體的指望是什麼呢?
[00:00:28.720 --> 00:00:32.880]  在裡面耶穌所說的福與禍的逆轉性
[00:00:32.880 --> 00:00:37.480]  並且這個逆轉的行為的意義是什麼
[00:00:37.480 --> 00:00:40.760]  就讓我們先去了解
[00:00:40.760 --> 00:00:44.880]  什麼叫逆向思維或者逆轉思維的事情
[00:00:44.880 --> 00:00:48.680]  就讓我在這段時間和大家分享一個故事
[00:00:48.680 --> 00:00:52.920]  或者這個故事是一般打工仔所遇到的事情
[00:00:52.920 --> 00:00:56.360]  話說有一個二十多歲的年輕女孩
[00:00:56.360 --> 00:00:59.840]  去到一間新的公司做一個營運助理
[00:00:59.840 --> 00:01:02.800]  大概做了半年的時候,她就發現
[00:01:02.800 --> 00:01:09.040]  其實在每一晚她都被老闆電郵或者打電話來轟炸
[00:01:09.040 --> 00:01:14.080]  甚至在半夜的時候她接到老闆的電話
[00:01:14.080 --> 00:01:17.200]  除了安排她做一些瑣碎的事情
[00:01:17.200 --> 00:01:20.840]  老闆還會和她談一些其他人和事的事情
[00:01:20.840 --> 00:01:24.000]  並且要她保持聯絡
[00:01:24.000 --> 00:01:28.960]  這個女孩認為她快要瘋了,被折磨死了
[00:01:28.960 --> 00:01:31.360]  她猶豫究竟應不應該辭職
[00:01:31.360 --> 00:01:36.840]  不知道這個會不會是一般打工仔所面對的情形
[00:01:36.840 --> 00:01:39.920]  她就嘗試去找一些輔導
[00:01:39.920 --> 00:01:45.400]  希望藉著這個輔導能夠幫助她解決這個問題
[00:01:45.400 --> 00:01:48.800]  當輔導員仔細聽了她的情況之後
[00:01:48.800 --> 00:01:51.440]  他問了這個女孩一個問題
[00:01:51.440 --> 00:01:56.720]  你覺得這種折磨是好事還是壞事?
[00:01:56.720 --> 00:01:59.800]  是有好還是有壞?
[00:01:59.800 --> 00:02:04.760]  這個女孩想了一會,她說大概有三分好七分壞
[00:02:04.760 --> 00:02:10.200]  輔導員繼續問,她說三分好是好在哪裏呢?
[00:02:10.200 --> 00:02:12.720]  這個女孩想了一會,她說
[00:02:12.720 --> 00:02:18.960]  其實這個老闆可能是在培養我的耐性
[00:02:18.960 --> 00:02:22.240]  第二,就是在裏面,有時候我發覺
[00:02:22.240 --> 00:02:24.920]  我一聽她說一點話的時候
[00:02:24.920 --> 00:02:27.400]  我就已經猜到她接下來會說什麼
[00:02:27.400 --> 00:02:32.720]  可能這種就是培養了我一種
[00:02:32.720 --> 00:02:37.920]  懂得看別人的眉頭眼,可以察言觀色的能力
[00:02:37.920 --> 00:02:41.960]  那個輔導員繼續問,那七分壞在哪裏呢?
[00:02:41.960 --> 00:02:44.120]  她就說我真的受不了
[00:02:44.120 --> 00:02:48.600]  就因為她在私人時間裏都霸佔了我
[00:02:48.600 --> 00:02:53.080]  特別在周末的時候,你知道我正在拍拖
[00:02:53.080 --> 00:02:57.440]  連拍拖時間都沒有了,她都要霸佔,要我去工作
[00:02:57.440 --> 00:03:02.920]  那個輔導員問,其實她挑戰了你的底線是什麼呢?
[00:03:02.920 --> 00:03:05.000]  她就說,我的底線是什麼?
[00:03:05.000 --> 00:03:07.560]  就是在上班時間以外
[00:03:07.560 --> 00:03:13.200]  還要在每一個星期裏用自己的時間去服侍老闆
[00:03:13.200 --> 00:03:18.840]  讓他霸佔了我的私人時間,這就是我的底線
[00:03:18.840 --> 00:03:20.880]  弟兄姊妹,你有沒有看到這個輔導員
[00:03:20.880 --> 00:03:27.040]  他用了一個逆向思考,讓這個女生去想一想她的問題呢?
[00:03:27.040 --> 00:03:30.720]  這個輔導員想那個女生去審視一下
[00:03:30.720 --> 00:03:34.240]  她現在的困難,那個折磨是什麼
[00:03:34.240 --> 00:03:40.360]  這個女生說,在裏面這個折磨是有三分好處,七分壞處
[00:03:40.360 --> 00:03:45.080]  這一種三分的好處是可以培養她的一些能力
[00:03:45.080 --> 00:03:52.080]  而七分的壞處就是可以接觸到她的底線
