
[00:00:00.000 --> 00:00:03.840]  各位姐妹,眨眼又一天,又來讀聖經了
[00:00:03.840 --> 00:00:06.400]  生命樹和大家看聖經人、聖經事
[00:00:06.400 --> 00:00:09.120]  看背後上帝的工作
[00:00:09.120 --> 00:00:12.320]  這一篇沒有往,以色列沒有往
[00:00:12.320 --> 00:00:15.360]  管國人入意而行,來到第五集了
[00:00:15.360 --> 00:00:19.760]  哇,最後那五章裡面真的很多醜態
[00:00:19.760 --> 00:00:24.080]  基比亞的匪徒,是什麼來的呢?
[00:00:24.080 --> 00:00:26.000]  一會兒下去就會知道了
[00:00:26.000 --> 00:00:32.560]  竟然是「空淫醜陋」,這是《史詩記》十九章一到二十六節
[00:00:32.560 --> 00:00:37.440]  我把經節也放出來,比較容易找到
[00:00:37.440 --> 00:00:40.400]  《史詩記》十九章一到二十六節
[00:00:40.400 --> 00:00:42.880]  是說到一個地方叫基比亞
[00:00:42.880 --> 00:00:48.240]  基比亞有一群匪徒,他們「空淫醜陋」
[00:00:48.240 --> 00:00:53.840]  這四個字不是我說的,這四個字是聖經裡面的字
[00:00:53.840 --> 00:00:58.000]  說他們「空淫醜陋」,不過這一集沒說,下一集說
[00:00:58.000 --> 00:01:02.560]  就用這四個字,這四個字出現在下一集,第六集
[00:01:02.560 --> 00:01:05.920]  看看基比亞的匪徒是怎樣
[00:01:05.920 --> 00:01:11.600]  故事很長,二十六節,讀完已經很長了,大家忍耐了
[00:01:11.600 --> 00:01:14.080]  《史詩記》十九章第一節,基比亞的匪徒
[00:01:14.080 --> 00:01:18.240]  「當以色列中沒有王的時候」
[00:01:18.240 --> 00:01:20.800]  一說就是另一件新事了
[00:01:20.800 --> 00:01:24.000]  「以色列中沒有王」是另一件事
[00:01:24.000 --> 00:01:28.400]  上次是說彈,說米家怎樣私設神壇
[00:01:28.400 --> 00:01:32.160]  米家也不是好人,是個很頑皮的兒子,不過有錢
[00:01:32.160 --> 00:01:37.040]  就自設神壇,開請了祭司
[00:01:37.040 --> 00:01:41.920]  結果被彈人搶了,又去殺了,令人拉抑
[00:01:41.920 --> 00:01:48.000]  名字也改了,然後整個神堂私自造的
[00:01:48.000 --> 00:01:52.800]  跟士羅神的殿對抗,或者對立
[00:01:52.800 --> 00:02:00.400]  「當以色列中沒有王的時候,有住以法連山地那邊的一個利美人」
[00:02:00.400 --> 00:02:04.720]  一個利美人,住在以法連的山地
[00:02:04.720 --> 00:02:09.200]  「就娶了一個猶大伯里衡的女子為妾」
[00:02:09.200 --> 00:02:11.920]  做妾,妾即是甚麼呢?
