
[00:00:00.000 --> 00:00:05.200]  什麼叫做一個基督徒
[00:00:05.200 --> 00:00:06.440]  我看這篇雜誌的時候
[00:00:06.440 --> 00:00:12.600]  他講到有兩個不同人生命的見證
[00:00:12.600 --> 00:00:14.320]  第一個是一個女孩
[00:00:14.320 --> 00:00:16.160]  這個女孩叫Jennifer
[00:00:16.160 --> 00:00:19.960]  Jennifer以前是做律師的
[00:00:19.960 --> 00:00:21.920]  做了律師之後
[00:00:21.920 --> 00:00:23.080]  她發覺有一個感動
[00:00:23.080 --> 00:00:24.280]  我都不喜歡做律師了
[00:00:24.280 --> 00:00:25.920]  於是我就去Richmond College
[00:00:25.920 --> 00:00:27.160]  在Chicago
[00:00:27.160 --> 00:00:29.880]  去讀一個輔導學
[00:00:29.880 --> 00:00:34.880]  Jennifer在Chicago郊區的教會里
[00:00:34.880 --> 00:00:36.400]  是一個很活躍的基督徒
[00:00:36.400 --> 00:00:37.960]  在裏面做領袖
[00:00:37.960 --> 00:00:39.360]  每天讀聖經
[00:00:39.360 --> 00:00:41.160]  每天祈禱
[00:00:41.160 --> 00:00:43.160]  不單如此
[00:00:43.160 --> 00:00:44.880]  當她放工休息的時間
[00:00:44.880 --> 00:00:47.120]  通常她都參加教會的聚會
[00:00:47.120 --> 00:00:48.880]  查經班
[00:00:48.880 --> 00:00:50.960]  所以除了個人領修之外
[00:00:50.960 --> 00:00:52.680]  她還會做很多
[00:00:52.680 --> 00:00:54.440]  和其他基督徒一起
[00:00:54.440 --> 00:00:57.080]  學習成長的一些事情
[00:00:57.080 --> 00:00:58.120]  不單如此
[00:00:58.120 --> 00:01:00.880]  這個女孩每隔幾個月
[00:01:00.880 --> 00:01:04.080]  就會找一個時間自己去靜修
[00:01:04.080 --> 00:01:06.200]  因爲她覺得當你這樣做的時候
[00:01:06.200 --> 00:01:08.120]  自己與神獨處
[00:01:08.120 --> 00:01:10.080]  能夠讓你的心你的靈
[00:01:10.080 --> 00:01:12.320]  和上帝的心意
[00:01:12.320 --> 00:01:15.120]  可以協調得好一點
[00:01:15.120 --> 00:01:18.000]  這個是Jennifer
[00:01:18.000 --> 00:01:19.960]  另外一個基督徒
[00:01:19.960 --> 00:01:21.280]  起碼他說自己是基督徒
[00:01:21.280 --> 00:01:22.520]  他叫James
[00:01:22.520 --> 00:01:24.560]  James都說自己是基督徒
[00:01:24.560 --> 00:01:25.920]  都說自己是耶穌
[00:01:25.920 --> 00:01:29.120]  他小時候就跟很多以前的美國人一樣
[00:01:29.120 --> 00:01:32.760]  跟爹地媽咪去教這邊聚會
[00:01:32.760 --> 00:01:34.640]  但是長大之後出來做工
[00:01:34.640 --> 00:01:36.200]  開始忙
[00:01:36.200 --> 00:01:37.920]  因爲忙於工作
[00:01:37.920 --> 00:01:39.880]  根本就很少去教會
[00:01:39.880 --> 00:01:42.200]  他偶爾都會去一下
[00:01:42.200 --> 00:01:44.880]  紐約有一個叫Redeemer Presbyterian Church
[00:01:44.880 --> 00:01:46.720]  很出名的 大家有沒有聽過
