
[00:00:00.000 --> 00:00:04.620]  今日的題目叫「參與神國計劃的秘訣」
[00:00:04.620 --> 00:00:09.600]  秘訣即是有些方法我們可以進入到這種狀態
[00:00:09.600 --> 00:00:14.900]  首先想問大家你想不想參與神國的計劃
[00:00:14.900 --> 00:00:16.400]  想不想?
[00:00:16.400 --> 00:00:18.600]  好像有四分之一人想
[00:00:18.600 --> 00:00:19.600]  想不想?
[00:00:19.600 --> 00:00:20.600]  想
[00:00:20.600 --> 00:00:21.600]  和你旁邊的人說
[00:00:21.600 --> 00:00:22.600]  聽到了
[00:00:22.600 --> 00:00:24.400]  我們都想參與的
[00:00:24.400 --> 00:00:25.600]  因為我們秘術
[00:00:25.600 --> 00:00:28.400]  我們很想經歷上帝的計劃並且行卒
[00:00:28.400 --> 00:00:31.700]  當這個計劃要慢慢進入
[00:00:31.700 --> 00:00:33.000]  積極的進入
[00:00:33.000 --> 00:00:34.000]  熱心的進入
[00:00:34.000 --> 00:00:36.400]  當然這也是上帝的準備
[00:00:36.400 --> 00:00:38.100]  先說說引言
[00:00:38.100 --> 00:00:39.700]  不知道大家知不知道
[00:00:39.700 --> 00:00:43.400]  近來我跑了兩次10K
[00:00:43.400 --> 00:00:45.700]  嚴格來說不是跑了兩次10K
[00:00:45.700 --> 00:00:48.200]  是走了
[00:00:48.200 --> 00:00:50.900]  太部分跑了少部分兩次10K
[00:00:50.900 --> 00:00:55.300]  我發現做完運動身體都是非常舒服的
[00:00:55.300 --> 00:00:57.900]  但不知道為什麼做之前都不是很想做
[00:00:57.900 --> 00:00:59.500]  我不知道大家知不知道
[00:00:59.500 --> 00:01:03.200]  其實我自小都有一個運動我經常做
[00:01:03.200 --> 00:01:05.600]  大家知不知道是什麼
[00:01:05.600 --> 00:01:06.400]  不太知道
[00:01:06.400 --> 00:01:07.800]  就是壁球行不行
[00:01:07.800 --> 00:01:08.600]  有沒有人打過壁球
[00:01:08.600 --> 00:01:10.000]  這裡舉手
[00:01:10.000 --> 00:01:11.200]  壁球很有趣
[00:01:11.200 --> 00:01:12.800]  壁球可以一個人打兩個人打
[00:01:12.800 --> 00:01:14.900]  通常比賽也兩個人打
[00:01:14.900 --> 00:01:17.100]  而壁球你要練得好
[00:01:17.100 --> 00:01:18.800]  你會全程投入的
[00:01:18.800 --> 00:01:23.600]  並且你有時候這個動作是不斷去嘗試的
[00:01:23.600 --> 00:01:25.400]  例如打反手
[00:01:25.400 --> 00:01:28.200]  我們打不是打一次打五次
[00:01:28.200 --> 00:01:30.000]  而是打十次
[00:01:30.000 --> 00:01:31.500]  五十次
[00:01:31.500 --> 00:01:33.100]  一百次同一個動作
[00:01:33.100 --> 00:01:36.600]  你練到每一個位置都可以打得到
[00:01:36.600 --> 00:01:37.600]  正手也是
[00:01:37.600 --> 00:01:41.400]  還有我們知道有些長
[00:01:41.400 --> 00:01:41.900]  不是有些長
[00:01:41.900 --> 00:01:44.200]  所有長都有長角的
[00:01:44.200 --> 00:01:45.300]  直橫
[00:01:45.300 --> 00:01:47.200]  我們通常練球是什麼
[00:01:47.200 --> 00:01:50.700]  就是練球打進角落裡
[00:01:50.700 --> 00:01:52.600]  讓它變形
[00:01:52.600 --> 00:01:55.200]  讓對方接不到
[00:01:55.200 --> 00:01:57.600]  當然練的時候都要有教練
[00:01:57.600 --> 00:01:58.600]  很多東西配合
[00:01:58.600 --> 00:02:02.600]  並且也要有人準備場地
[00:02:02.600 --> 00:02:03.800]  不過現在不知為何
[00:02:03.800 --> 00:02:06.400]  很多壁球場地變成乒乓球
[00:02:06.400 --> 00:02:08.000]  真是不懂事
[00:02:08.000 --> 00:02:09.400]  也很好玩的乒乓球
[00:02:09.400 --> 00:02:11.300]  還要有冷氣
[00:02:11.300 --> 00:02:12.600]  整個配套
[00:02:12.600 --> 00:02:17.200]  我找到一幅以前中學打壁球的照片
[00:02:17.200 --> 00:02:19.600]  大家順便看看是什麼樣子
[00:02:19.600 --> 00:02:22.500]  其實是我媽媽剪出來的
[00:02:22.500 --> 00:02:24.400]  就是這樣的樣子
[00:02:24.400 --> 00:02:25.600]  看到嗎
[00:02:25.600 --> 00:02:28.000]  可以吧
[00:02:28.000 --> 00:02:29.700]  我媽媽現在在加拿大聽導
[00:02:29.700 --> 00:02:30.500]  我知道
[00:02:30.500 --> 00:02:32.600]  當時我們都有很多比賽
[00:02:32.600 --> 00:02:36.800]  都有很多全港的比賽
[00:02:36.800 --> 00:02:39.500]  每晚都是今天的體育東岸銀禧
[00:02:39.500 --> 00:02:41.000]  邀請我們練球
[00:02:41.000 --> 00:02:42.000]  不過去到那一刻
[00:02:42.000 --> 00:02:43.400]  我就要讀書
[00:02:43.400 --> 00:02:44.700]  沒有打到
[00:02:44.700 --> 00:02:45.600]  樣子可以嗎
[00:02:45.600 --> 00:02:46.400]  可以吧
[00:02:46.400 --> 00:02:47.200]  都頗年輕
[00:02:47.200 --> 00:02:49.000]  十幾歲就是幾年前
[00:02:49.000 --> 00:02:50.300]  大家看看
[00:02:50.300 --> 00:02:51.300]  可以吧
[00:02:51.300 --> 00:02:52.900]  當然今天我們講
[00:02:52.900 --> 00:02:55.300]  這個瑪利亞進入的計劃
[00:02:55.300 --> 00:02:57.200]  更難看得多
[00:02:57.200 --> 00:02:57.900]  沒得比
[00:02:57.900 --> 00:02:59.000]  也要投入
[00:02:59.000 --> 00:03:00.800]  也要知道背後
[00:03:00.800 --> 00:03:04.700]  上帝先準備了很多很多的東西
[00:03:04.700 --> 00:03:06.000]  我們才可以
[00:03:06.000 --> 00:03:08.600]  將這個黑暗的世代
[00:03:08.600 --> 00:03:10.600]  當時完全的扭轉
[00:03:10.600 --> 00:03:12.400]  做一個大反擊
[00:03:12.400 --> 00:03:14.900]  如果今天我們這個世代
[00:03:14.900 --> 00:03:16.900]  是耶穌兩千年沒有來過
[00:03:16.900 --> 00:03:18.300]  我們很難想像
[00:03:18.300 --> 00:03:19.800]  今天我們怎樣面對
[00:03:19.800 --> 00:03:21.500]  每一天這麼大的挑戰
[00:03:21.500 --> 00:03:23.100]  我們立刻進入經文
