
[00:00:00.000 --> 00:00:04.680]  有人說人生是一連串的選擇
[00:00:04.680 --> 00:00:10.560]  當然很多人覺得要有選擇纔有意義
[00:00:10.560 --> 00:00:16.240]  但很多時候 當這些選擇真的擺在你眼前
[00:00:16.240 --> 00:00:19.640]  有時作出選擇又不是那麼容易
[00:00:19.640 --> 00:00:22.320]  我舉三個例子
[00:00:22.320 --> 00:00:25.240]  有兩份工作讓你選 你會選哪一份呢
[00:00:25.240 --> 00:00:27.960]  第一份是你夢寐以求的工作
[00:00:27.960 --> 00:00:30.400]  不過收入一點都不穩定
[00:00:30.400 --> 00:00:34.360]  第二份是你不是很有興趣的工作
[00:00:34.360 --> 00:00:39.400]  不過人工高 福利好 假期又多
[00:00:39.400 --> 00:00:42.640]  收入很穩定 那你會選哪一份呢
[00:00:42.640 --> 00:00:46.040]  有兩種生活讓你選 你會選哪一種生活呢
[00:00:46.040 --> 00:00:49.520]  第一種是超級富豪的生活
[00:00:49.520 --> 00:00:52.520]  極多的物質享受
[00:00:52.520 --> 00:00:55.360]  但是一個朋友都沒有
[00:00:55.360 --> 00:00:58.480]  第二種是你很多朋友
[00:00:58.480 --> 00:01:01.360]  每天都在愛和關懷裏面
[00:01:01.360 --> 00:01:04.760]  不過沒有錢 家徒四壁
[00:01:04.760 --> 00:01:07.520]  那你會選哪一種生活呢
[00:01:07.520 --> 00:01:10.080]  第三個 有兩種人讓你選
[00:01:10.080 --> 00:01:13.080]  你會選哪一種人做你的配偶呢
[00:01:13.080 --> 00:01:19.520]  第一種 有錢 聰明 交友廣闊 人緣很好的
[00:01:19.520 --> 00:01:22.080]  不過一點都不關心你
[00:01:22.080 --> 00:01:27.240]  第二種 沒有錢 資質普通 人緣一般
[00:01:27.240 --> 00:01:32.200]  不過很關心你 很愛你 呵護彼此
[00:01:32.200 --> 00:01:35.400]  那你會選哪一種人做你的配偶呢
[00:01:35.400 --> 00:01:40.160]  有時候擺在你面前很難選擇
[00:01:40.160 --> 00:01:46.280]  也有人說 你的選擇決定你的人生
[00:01:46.280 --> 00:01:48.960]  爲什麼呢 因爲選擇有兩個特點
[00:01:48.960 --> 00:01:52.080]  第一個特點 就是你選擇了一樣東西
[00:01:52.080 --> 00:01:55.680]  其實同一時間你就要放棄另一樣東西
[00:01:55.680 --> 00:02:00.880]  所以約書亞在約書亞記最後一章的聖經裏面
[00:02:00.880 --> 00:02:05.680]  千丁萬足入了迦南地打完仗的伊斯蘭人
[00:02:05.680 --> 00:02:10.600]  約書亞這樣說 我們看約書亞記二十四章十五節
[00:02:10.600 --> 00:02:12.600]  等一會我們一起讀 一二三
[00:02:12.600 --> 00:02:16.400]  若是你們以侍奉耶和華爲不好
[00:02:16.400 --> 00:02:20.440]  今天就可以選擇所要侍奉的
[00:02:20.440 --> 00:02:25.080]  是你們列祖在大河那邊所侍奉的神
[00:02:25.080 --> 00:02:30.000]  是你們所住這地的阿摩利人的神
[00:02:30.000 --> 00:02:35.080]  神要以聖人 要清清楚楚做一個選擇
[00:02:35.080 --> 00:02:37.080]  你要簡清楚楚
[00:02:37.080 --> 00:02:40.840]  你們究竟全心全意跟從我
[00:02:40.840 --> 00:02:43.840]  還是跟從這個世界的神呢
[00:02:43.840 --> 00:02:46.440]  你要清清楚楚做一個決定
[00:02:46.440 --> 00:02:49.600]  千萬不要玩模糊 什麼叫玩模糊
[00:02:49.600 --> 00:02:54.320]  又是 又不是 今時是 明天又不是 後日又是
[00:02:54.320 --> 00:02:59.400]  那些叫玩模糊 你要簡得很清楚 做一個明確的決定
[00:02:59.400 --> 00:03:02.880]  第二個選擇的特點就是
[00:03:02.880 --> 00:03:05.600]  每一個決定都有效果的
[00:03:05.600 --> 00:03:10.440]  我們看一看新命記 最後那一章神又是很清楚地說
[00:03:10.440 --> 00:03:14.240]  新命記十八章十三至十五節 一起讀
[00:03:40.440 --> 00:03:53.040]  那個後果是什麼呢
[00:03:53.040 --> 00:03:56.840]  神說如果你全心全意跟從我
[00:03:56.840 --> 00:04:01.040]  你就作首不作尾 但居上不居下
[00:04:01.040 --> 00:04:07.240]  意思是說 神會用他覺得對你最好的方式和時間去祝福你
[00:04:07.240 --> 00:04:10.640]  你的言語行爲會有影響力
[00:04:10.640 --> 00:04:15.440]  會影響其他人在神的面前做一個美好的見證
[00:04:15.440 --> 00:04:18.840]  但是如果你離開神
[00:04:18.840 --> 00:04:22.440]  神的祝福和保護也會離開你
[00:04:22.440 --> 00:04:25.040]  詛咒必追隨你的司系
[00:04:25.040 --> 00:04:30.240]  那些詛咒 那些攻擊 那些仇敵就會臨到你的面前
[00:04:30.240 --> 00:04:34.240]  大家會想想 神爲什麼重複說了這麼多次
[00:04:34.240 --> 00:04:38.440]  由新命記到約書下級 在新命記已經說了很多次
[00:04:38.440 --> 00:04:41.240]  你要選擇得很清楚 你選擇得對不要選錯
[00:04:41.240 --> 00:04:46.240]  到約書下級 最後那一章 就開始施忌了
[00:04:46.240 --> 00:04:48.840]  他不斷地重複苦口婆心
[00:04:48.840 --> 00:04:52.840]  你一定要在人生一連串的選擇裏選擇得對
[00:04:52.840 --> 00:04:55.240]  千萬不要選錯 爲什麼
[00:04:55.240 --> 00:05:01.240]  神的行爲是由我們神的心腸去啓動的
[00:05:01.240 --> 00:05:04.240]  我們要明白我們的神的心腸是怎樣
[00:05:04.240 --> 00:05:07.240]  我們的神是次平安的神
[00:05:07.240 --> 00:05:11.240]  所以他做的事是從他的心腸出發
[00:05:11.240 --> 00:05:13.240]  我們的神是次平安的神
[00:05:13.240 --> 00:05:19.240]  他很想我們永遠和神建立親密的關係
[00:05:19.240 --> 00:05:22.240]  讓我們一生行在神的旨意裏
[00:05:22.240 --> 00:05:26.240]  以至我們享受到神同在的平安喜樂
[00:05:26.240 --> 00:05:31.240]  以至我們所言所行都成爲神美好的見證
[00:05:31.240 --> 00:05:33.240]  這是神的心意
[00:05:33.240 --> 00:05:36.240]  就是這樣說 選擇
[00:05:36.240 --> 00:05:39.240]  可能有些人說選擇而已 可能很簡單
[00:05:39.240 --> 00:05:42.240]  但其實講深一點 又不是真的那麼簡單
[00:05:42.240 --> 00:05:45.240]  但是選擇也很重要 爲什麼呢
[00:05:45.240 --> 00:05:49.240]  因爲對的選擇是影響我們往後的人生
[00:05:49.240 --> 00:05:50.240]  是影響我們一生的
[00:05:50.240 --> 00:05:54.240]  今天我想和大家開始施忌的時候
[00:05:54.240 --> 00:05:56.240]  我們一起看史詩的第二章
[00:05:56.240 --> 00:05:58.240]  我們一起藉助第二章的信息
[00:05:58.240 --> 00:06:03.240]  讓我們更加明白神對我們有關選擇的兩個信息
[00:06:03.240 --> 00:06:05.240]  第一個信息
[00:06:05.240 --> 00:06:07.240]  神不斷提醒我們說
[00:06:07.240 --> 00:06:11.240]  兜兜轉轉的人生是沒有出路的
[00:06:11.240 --> 00:06:14.240]  所以神要在我們一連串的人生的決定裏
[00:06:14.240 --> 00:06:16.240]  一定要選擇對的
[00:06:16.240 --> 00:06:19.240]  當我們不斷選擇對的時候
[00:06:19.240 --> 00:06:21.240]  我們就在這個兜兜轉轉的人生裏
[00:06:21.240 --> 00:06:24.240]  可以突破這個人生
[00:06:24.240 --> 00:06:26.240]  讓我們先看
[00:06:26.240 --> 00:06:31.240]  史詩記這一章的聖經裏面的一些結構
[00:06:31.240 --> 00:06:35.240]  由史詩記的第三章至第十六章
[00:06:35.240 --> 00:06:36.240]  他其實是說
[00:06:36.240 --> 00:06:40.240]  史詩記裏面一共有十二個史詩的事蹟
[00:06:40.240 --> 00:06:43.240]  但其中有六個是主要的史詩
[00:06:43.240 --> 00:06:45.240]  這六個史詩
[00:06:45.240 --> 00:06:48.240]  當聖經講他們的事蹟的時候
[00:06:48.240 --> 00:06:51.240]  他有一句第一句
[00:06:51.240 --> 00:06:52.240]  是什麼呢
[00:06:52.240 --> 00:06:54.240]  以色列人行夜和話
[00:06:54.240 --> 00:06:56.240]  眼中看爲惡的事
[00:06:56.240 --> 00:06:59.240]  這六個描述都是從這一句開始
[00:06:59.240 --> 00:07:03.240]  這些描述的開始
[00:07:03.240 --> 00:07:07.240]  接着就會開始這六個的惡性循環
[00:07:07.240 --> 00:07:13.240]  這六個史詩其實是不斷地連續這六個惡性循環
[00:07:13.240 --> 00:07:15.240]  而這六個惡性循環
[00:07:15.240 --> 00:07:19.240]  在史詩記第二章的十一至十九節已經講了
[00:07:19.240 --> 00:07:20.240]  換句話說
[00:07:20.240 --> 00:07:22.240]  在第二章講了惡性循環
[00:07:22.240 --> 00:07:27.240]  接着很多章的聖經是不斷重複這六個惡性循環
[00:07:27.240 --> 00:07:30.240]  而這六個惡性循環是包括四個步驟
[00:07:30.240 --> 00:07:34.240]  第一就是以色列人離棄神去拜偶像
[00:07:34.240 --> 00:07:35.240]  第二
[00:07:35.240 --> 00:07:36.240]  因爲這樣
[00:07:36.240 --> 00:07:37.240]  以色列人離棄神
[00:07:37.240 --> 00:07:39.240]  神的保護也離開他們了
[00:07:39.240 --> 00:07:42.240]  所以四位仇敵就起來攻擊他們
[00:07:42.240 --> 00:07:45.240]  接着這羣以色列人就知錯了
[00:07:45.240 --> 00:07:46.240]  去悔改了
[00:07:46.240 --> 00:07:47.240]  去認罪了
[00:07:47.240 --> 00:07:48.240]  去呼求神了
[00:07:48.240 --> 00:07:50.240]  於是神就憐憫他們
[00:07:50.240 --> 00:07:52.240]  又興起士師去拯救他們
[00:07:52.240 --> 00:07:54.240]  但是拯救了他們之後
[00:07:54.240 --> 00:07:57.240]  這羣以色列人又回到拜偶像
[00:07:57.240 --> 00:07:59.240]  回到離棄神
[00:07:59.240 --> 00:08:03.240]  所以不斷地連續這六個循環
[00:08:03.240 --> 00:08:05.240]  這六個循環
[00:08:05.240 --> 00:08:08.240]  這六個惡性循環
[00:08:08.240 --> 00:08:11.240]  其實發生完一次又一次
[00:08:11.240 --> 00:08:12.240]  當中這羣以色列人
[00:08:12.240 --> 00:08:14.240]  好像從來都沒有吸取教訓
[00:08:14.240 --> 00:08:16.240]  從來都沒有學過功課
[00:08:16.240 --> 00:08:18.240]  好像沒有什麼發生一樣
[00:08:18.240 --> 00:08:20.240]  所以這羣以色列人
[00:08:20.240 --> 00:08:22.240]  其實當他們這樣的時候
[00:08:22.240 --> 00:08:23.240]  這樣的狀況的時候
[00:08:23.240 --> 00:08:24.240]  沒有學過功課
[00:08:24.240 --> 00:08:26.240]  沒有吸取教訓
[00:08:26.240 --> 00:08:29.240]  他們的屬靈生命就再也沒有成長
[00:08:29.240 --> 00:08:31.240]  沒有任何的突破
[00:08:31.240 --> 00:08:32.240]  沒有任何的長進
[00:08:32.240 --> 00:08:34.240]  大家看我這樣說的時候
[00:08:34.240 --> 00:08:36.240]  他們當然是我們經常說的
[00:08:36.240 --> 00:08:38.240]  屬靈的平原
[00:08:38.240 --> 00:08:41.240]  到了成長的某一段時間
[00:08:41.240 --> 00:08:43.240]  就放平了 向前了
[00:08:43.240 --> 00:08:45.240]  不是
[00:08:45.240 --> 00:08:47.240]  沒有屬靈的平原
[00:08:47.240 --> 00:08:49.240]  當我們不成長的時候
[00:08:49.240 --> 00:08:50.240]  我們就跌下來
[00:08:50.240 --> 00:08:53.240]  所以你看回士茲紀的結構
[00:08:53.240 --> 00:08:56.240]  這羣以色列人不是平原了
[00:08:56.240 --> 00:08:58.240]  他們沒有進步
[00:08:58.240 --> 00:08:59.240]  但是會跌下來
[00:08:59.240 --> 00:09:01.240]  我們叫做每放月下
[00:09:01.240 --> 00:09:03.240]  急轉直下
[00:09:03.240 --> 00:09:04.240]  我們看第二個結構
[00:09:04.240 --> 00:09:07.240]  就是士茲紀的一章至十六章
[00:09:07.240 --> 00:09:08.240]  在裏面
[00:09:08.240 --> 00:09:12.240]  其實你將這些士茲的事蹟
[00:09:12.240 --> 00:09:14.240]  排列在一起
[00:09:14.240 --> 00:09:16.240]  你會看到一個倒影的結構
[00:09:16.240 --> 00:09:20.240]  就是ABC CBD
