
[00:00:00.000 --> 00:00:04.000]  很多時候基督徒都說教會是我們屬靈的家
[00:00:04.000 --> 00:00:06.000]  大家聽到這個說法的時候
[00:00:06.000 --> 00:00:09.000]  你心裏面會不會感到開心
[00:00:09.000 --> 00:00:11.000]  或者感到很憂慮呢
[00:00:11.000 --> 00:00:13.000]  我相信大家不會否認
[00:00:13.000 --> 00:00:15.000]  神造人的設計
[00:00:15.000 --> 00:00:19.000]  不是讓人獨自去生活
[00:00:19.000 --> 00:00:21.000]  我們都是一個群體裏面
[00:00:21.000 --> 00:00:25.000]  歸屬一個群體的一種創造
[00:00:25.000 --> 00:00:28.000]  所以我們很肯定神並不是呼召我們
[00:00:28.000 --> 00:00:30.000]  但是相信耶穌那麼簡單
[00:00:30.000 --> 00:00:33.000]  神也呼召我們歸屬一個群體
[00:00:33.000 --> 00:00:38.000]  教會我們都認耶穌基督是我們教會的頭
[00:00:38.000 --> 00:00:40.000]  所以很明顯我們成為基督徒
[00:00:40.000 --> 00:00:42.000]  成為一個重生的基督徒的時候
[00:00:42.000 --> 00:00:47.000]  神呼召我們歸屬教會這個大家庭
[00:00:47.000 --> 00:00:55.000]  雖然基督徒並不是一個族類
[00:00:55.000 --> 00:01:00.000]  但是彼得在第二章裏面告訴我們
[00:01:00.000 --> 00:01:03.000]  基督徒是一個被揀損的族類
[00:01:03.000 --> 00:01:05.000]  這句話我們經常都聽
[00:01:05.000 --> 00:01:06.000]  什麼意思呢
[00:01:06.000 --> 00:01:08.000]  什麼叫被揀損的族類呢
[00:01:08.000 --> 00:01:16.000]  就是說我們縱然在地上屬於不同的種族
[00:01:16.000 --> 00:01:17.000]  有不同的文化
[00:01:17.000 --> 00:01:18.000]  有不同的社會階層
[00:01:18.000 --> 00:01:20.000]  不同的經濟板塊
[00:01:20.000 --> 00:01:22.000]  也都有可能不同的政治立場
[00:01:22.000 --> 00:01:25.000]  但是無論在地上有如何的分別
[00:01:25.000 --> 00:01:30.000]  但是我們神的裏面都是屬神的族群
[00:01:30.000 --> 00:01:31.000]  這就是那個意思
[00:01:31.000 --> 00:01:34.000]  今天這個我們剛才所讀的經文裏面
[00:01:34.000 --> 00:01:36.000]  使徒彼得教導我們
[00:01:36.000 --> 00:01:40.000]  如何在一個這樣屬靈的大家庭裏面
[00:01:40.000 --> 00:01:44.000]  超越了種族或者各界的分別
[00:01:44.000 --> 00:01:47.000]  來到活出神的旨意
