
[00:00:00.000 --> 00:00:03.580]  今年教會的主題,我們大家都看到
[00:00:03.580 --> 00:00:07.620]  "We are the Church, doing life together and beyond"
[00:00:07.620 --> 00:00:11.840]  有這個"Beyond",跟舊的很相似,不過加了個字,就是"Beyond"
[00:00:11.840 --> 00:00:14.780]  "Beyond"就是衝破這個界限
[00:00:14.780 --> 00:00:17.420]  衝破教會的聖報牆
[00:00:17.420 --> 00:00:19.580]  出去影響這個世界
[00:00:19.580 --> 00:00:22.500]  有一個神學家就說到有兩個字
[00:00:22.500 --> 00:00:25.160]  一個"Come",一個就是"Go"
[00:00:25.160 --> 00:00:28.700]  "Come and gather",我們一起聚集
[00:00:28.700 --> 00:00:31.660]  "Go and scatter",我們出去
[00:00:31.660 --> 00:00:34.280]  "Come",我們就來到一起,敬拜神
[00:00:34.280 --> 00:00:36.580]  教會是需要大家一齊來的
[00:00:36.580 --> 00:00:38.660]  來到這裡,來到敬拜主
[00:00:38.660 --> 00:00:41.820]  教會也需要出去,走出去,"Go"
[00:00:41.820 --> 00:00:46.540]  這個就是出去將福音傳開它
[00:00:46.540 --> 00:00:50.040]  所以我們來到敬拜的時候,來到教會當中
[00:00:50.040 --> 00:00:51.900]  我們就會成長了
[00:00:51.900 --> 00:00:53.280]  但是成長之後怎樣呢?
[00:00:53.280 --> 00:00:55.380]  我們會裝備我們自己
[00:00:55.380 --> 00:00:59.160]  敢出去這個世界裡面做基督的精兵
[00:00:59.160 --> 00:01:02.240]  來向人宣講福音
[00:01:02.240 --> 00:01:06.120]  所以教會的危機是什麼呢?
[00:01:06.120 --> 00:01:07.820]  教會的危機是什麼呢?
[00:01:07.820 --> 00:01:10.280]  是不是苦難呢?
[00:01:10.280 --> 00:01:11.580]  教會的危機不是苦難
[00:01:11.580 --> 00:01:14.700]  教會的危機就是太過舒服
[00:01:14.700 --> 00:01:16.660]  太舒服我們就在這裡享受
[00:01:16.660 --> 00:01:18.120]  享受是很好的
[00:01:18.120 --> 00:01:21.000]  如果你家裡很舒服,你經常回家享受
[00:01:21.000 --> 00:01:24.080]  你就不想外出了,不想去做工了
[00:01:24.080 --> 00:01:26.740]  神給我們在教會當中很多的享受
[00:01:26.740 --> 00:01:29.540]  來去敬拜神,來去唱詩
[00:01:29.540 --> 00:01:31.580]  弟兄姊妹敬愛
[00:01:31.580 --> 00:01:36.620]  我知道今晚有些小組在這裡火鍋
[00:01:36.620 --> 00:01:38.580]  有很多的享受
[00:01:38.580 --> 00:01:40.500]  但是我們更加要記得我們要出去
[00:01:40.500 --> 00:01:45.380]  教會的危機就是我們太過在教會當中享受彼此的享受
[00:01:45.380 --> 00:01:50.160]  但是我們不能被裝備出去這個世界
[00:01:50.160 --> 00:01:52.780]  我們要成為基督的精兵
[00:01:52.780 --> 00:01:54.280]  成為基督的精兵
[00:01:54.280 --> 00:01:59.160]  我們要將人從罪惡當中拯救出來
[00:01:59.160 --> 00:02:02.040]  所以今次我們講道的系列就是說
[00:02:02.040 --> 00:02:05.580]  我們能夠衝出教會的四面牆
[00:02:05.580 --> 00:02:08.380]  我們在這個建築物的以外
[00:02:08.380 --> 00:02:10.420]  我們要出去影響這個世界
[00:02:10.420 --> 00:02:12.540]  怎樣影響這個世界呢?
[00:02:12.540 --> 00:02:14.920]  今天我們的講題就是講道
[00:02:14.920 --> 00:02:18.080]  被主改變
[00:02:18.080 --> 00:02:21.920]  我們的生命被改變
[00:02:21.920 --> 00:02:26.240]  耶穌基督出來傳道的時候
[00:02:26.240 --> 00:02:28.740]  施震約翰出來傳道的時候
[00:02:28.740 --> 00:02:30.580]  他們同樣講一句話
[00:02:30.580 --> 00:02:32.920]  天國近了
[00:02:32.920 --> 00:02:36.460]  你們應當什麼呢?
[00:02:36.460 --> 00:02:37.540]  悔改
[00:02:37.540 --> 00:02:38.580]  記不記得?
[00:02:38.580 --> 00:02:41.120]  天國近了,你們應當悔改
[00:02:41.120 --> 00:02:44.500]  悔改是被主改變的意思
[00:02:44.500 --> 00:02:47.420]  天國近了,你們應當悔改
[00:02:47.420 --> 00:02:48.740]  所以教會裡面的信徒
[00:02:48.740 --> 00:02:53.040]  如果我們沒有經過悔改的程序的話
[00:02:53.040 --> 00:02:54.300]  我們不肯悔改的話
[00:02:54.300 --> 00:02:56.800]  我們其實還沒有信主
[00:02:56.800 --> 00:02:58.260]  一個真正信主的人
[00:02:58.260 --> 00:03:00.920]  是願意被神改變
[00:03:00.920 --> 00:03:02.340]  是悔改
[00:03:02.340 --> 00:03:05.920]  有些人以為悔改只是一次就搞定
[00:03:05.920 --> 00:03:08.960]  三十年前我們祈禱
[00:03:08.960 --> 00:03:10.920]  信耶穌,悔改
[00:03:10.920 --> 00:03:14.120]  自此之後就不再改了
[00:03:14.120 --> 00:03:15.620]  是不是這樣呢?
[00:03:15.620 --> 00:03:18.820]  悔改是一個生命方向的轉變
[00:03:18.820 --> 00:03:22.020]  我們不再靠自己,我們靠神了
[00:03:22.020 --> 00:03:25.260]  我們依靠神,我們跟從主了
[00:03:25.260 --> 00:03:26.780]  這是悔改
[00:03:26.780 --> 00:03:29.140]  我們求主今天讓我們明白
[00:03:29.140 --> 00:03:30.800]  什麼是被改變
[00:03:30.800 --> 00:03:32.180]  被主改變
[00:03:32.180 --> 00:03:33.980]  說到改變
[00:03:33.980 --> 00:03:36.580]  其實我們人也很不喜歡改變
[00:03:36.580 --> 00:03:38.460]  你想想
[00:03:38.460 --> 00:03:40.620]  香港最有名的一句話
[00:03:40.620 --> 00:03:43.000]  九七之後五十年不變
[00:03:43.000 --> 00:03:44.360]  很不想改變
[00:03:44.360 --> 00:03:46.460]  誰知道一切都變了
[00:03:46.460 --> 00:03:49.100]  我們人很不想改變
[00:03:49.100 --> 00:03:51.700]  結婚之後很不想改變
[00:03:51.700 --> 00:03:55.660]  很想太太和丈夫永遠都那麼青春美麗
[00:03:55.660 --> 00:03:58.420]  誰知道歲月又改變了
[00:03:58.420 --> 00:04:00.700]  說到改變,有兩方面的改變
[00:04:00.700 --> 00:04:02.500]  一方面的改變是
[00:04:02.500 --> 00:04:05.620]  由好變壞的改變
[00:04:05.620 --> 00:04:07.980]  是不需要做任何事情的
[00:04:07.980 --> 00:04:09.580]  由好變壞
[00:04:09.580 --> 00:04:14.380]  你把一個很漂亮的手錶放在這裡,放了二十年之後
[00:04:14.380 --> 00:04:16.220]  買了一個很漂亮的手錶
[00:04:16.220 --> 00:04:18.660]  變成長壽了,不能用了
[00:04:18.660 --> 00:04:21.740]  好變壞是不需要做任何事情的
[00:04:21.740 --> 00:04:23.220]  人的本性
[00:04:23.220 --> 00:04:24.580]  你想變壞
[00:04:24.580 --> 00:04:26.020]  什麼都不用做
[00:04:26.020 --> 00:04:28.580]  一個字就撇就行了
[00:04:28.580 --> 00:04:31.380]  你一定會越做越壞的
[00:04:31.380 --> 00:04:34.220]  但是由壞變好
[00:04:34.220 --> 00:04:36.420]  這個改變需要努力
[00:04:36.420 --> 00:04:37.780]  所以悔改
[00:04:37.780 --> 00:04:40.260]  天國近了,悔改了
[00:04:40.260 --> 00:04:43.420]  這個悔改不是一個被動式的悔改
[00:04:43.420 --> 00:04:46.020]  不是主啊,你喜歡改,我怎樣改呢?
[00:04:46.020 --> 00:04:48.580]  是我們要與主來配合的
