
[00:00:00.000 --> 00:00:03.000]  我們會有一個新的講道系列
[00:00:03.000 --> 00:00:07.200]  這個系列叫做「侍奉生命的塗灶」
[00:00:07.200 --> 00:00:08.960]  「侍奉生命的塗灶」以利亞
[00:00:08.960 --> 00:00:12.520]  今天我們會講到一個叫做「破口中的伏事」
[00:00:12.520 --> 00:00:15.520]  在我們的《述靈生命》當中有很多破口
[00:00:15.520 --> 00:00:16.960]  弟兄姊妹你要知道
[00:00:16.960 --> 00:00:19.680]  不是那麼如意的
[00:00:19.680 --> 00:00:21.880]  很多時候 無論是突如其來
[00:00:21.880 --> 00:00:24.600]  或者是長期的一些
[00:00:24.600 --> 00:00:25.800]  在破口中的時候
[00:00:25.800 --> 00:00:29.080]  我不知道你用什麼去堵塞這個破口
[00:00:29.080 --> 00:00:30.920]  你會用什麼
[00:00:30.920 --> 00:00:33.000]  廁所堵塞了 當然會
[00:00:33.000 --> 00:00:36.400]  你們會怎樣弄它通呢
[00:00:36.400 --> 00:00:40.760]  叫老公是不是
[00:00:40.760 --> 00:00:41.640]  無論如何
[00:00:41.640 --> 00:00:42.680]  我們感謝神
[00:00:42.680 --> 00:00:43.400]  我們基督徒
[00:00:43.400 --> 00:00:45.640]  我們生命有很多破口的時候
[00:00:45.640 --> 00:00:47.200]  我們有《聖經》
[00:00:47.200 --> 00:00:53.560]  成為我們堵塞這個破口的一個很重要的渠道
[00:00:53.560 --> 00:00:55.480]  對《聖經》的認識
[00:00:55.480 --> 00:00:58.520]  很多時候我們都是漸進
[00:00:58.520 --> 00:01:01.440]  譬如你是未信主的時候
[00:01:01.440 --> 00:01:03.920]  我們當中有人可能還未認識神
[00:01:03.920 --> 00:01:06.120]  如果跟你講《聖經》是什麼的時候
[00:01:06.120 --> 00:01:09.320]  可能你的印象只不過是
[00:01:09.320 --> 00:01:10.280]  咦 《聖經》啊
[00:01:10.280 --> 00:01:11.800]  《聖經》是什麼來的
[00:01:11.800 --> 00:01:13.840]  是不是硬和軟的
[00:01:13.840 --> 00:01:16.200]  有些硬皮和軟皮
[00:01:16.200 --> 00:01:18.600]  或者只能夠講到
[00:01:18.600 --> 00:01:21.000]  我們《聖經》是分舊約和新約
[00:01:21.000 --> 00:01:21.840]  是不是
[00:01:21.840 --> 00:01:23.240]  如果你信了耶穌
[00:01:23.240 --> 00:01:24.640]  信得久一點
