
[00:00:00.000 --> 00:00:02.000]  鄧小平晚安
[00:00:02.000 --> 00:00:05.320]  很快我們來到文掃記第十九章
[00:00:05.320 --> 00:00:11.280]  利未記十一章到十五章
[00:00:11.280 --> 00:00:14.740]  如果我們有看過舊約這本書
[00:00:14.740 --> 00:00:19.860]  裡面很詳細記載了人因為食物病患
[00:00:19.860 --> 00:00:22.520]  或者生產的原因
[00:00:22.520 --> 00:00:26.500]  而引致在神所頒佈的律例面前
[00:00:26.500 --> 00:00:30.160]  被認定在禮儀上不潔
[00:00:30.160 --> 00:00:31.760]  那不是罪
[00:00:31.760 --> 00:00:35.540]  是在禮儀上被看為不潔
[00:00:35.540 --> 00:00:39.060]  於是他們要向神獻上贖罪祭、
[00:00:39.060 --> 00:00:41.840]  犯祭和掃祭
[00:00:41.840 --> 00:00:46.760]  讓他們在神面前再一次被看為潔淨
[00:00:46.760 --> 00:00:47.720]  這是很重要的
[00:00:47.720 --> 00:00:49.980]  因為被認為不潔的人
[00:00:49.980 --> 00:00:52.400]  聖經告訴我們是不能親近神
[00:00:52.400 --> 00:00:53.820]  即是他沒有犯罪
[00:00:53.820 --> 00:00:56.940]  但在宗教禮儀上
[00:00:56.940 --> 00:00:59.340]  神說這樣是不潔
[00:00:59.340 --> 00:01:00.960]  當他們不潔就不能親近神
[00:01:00.960 --> 00:01:04.520]  於是他們就要獻祭
[00:01:04.520 --> 00:01:06.760]  來到今天我們看的這章經文
[00:01:06.760 --> 00:01:08.360]  同樣提到不潔
[00:01:08.360 --> 00:01:14.100]  但與食物病患生產無關
[00:01:14.100 --> 00:01:18.980]  而是與人的死亡有關
[00:01:18.980 --> 00:01:25.060]  或許有時我們會問為何死亡在神體內是不潔
[00:01:25.060 --> 00:01:31.340]  我們好像每個人都經歷
[00:01:31.340 --> 00:01:33.820]  我們知道神是生命的主
[00:01:33.820 --> 00:01:37.640]  所以死亡其實是與祂對立
[00:01:37.640 --> 00:01:39.200]  因此是不潔
[00:01:39.200 --> 00:01:43.920]  不能夠親近祂
[00:01:43.920 --> 00:01:46.420]  一位聖經學者金恩是這樣說的
[00:01:46.420 --> 00:01:50.200]  古代以色列人處理身體上的禮儀不潔
[00:01:50.200 --> 00:01:52.380]  背後有一套理論
[00:01:52.380 --> 00:01:55.880]  人類由出生到死亡的循環
[00:01:55.880 --> 00:01:58.400]  涉及必然死亡的特性
[00:01:58.400 --> 00:02:01.180]  即是沒有人有例外
[00:02:01.180 --> 00:02:05.480]  幾個星期前有一個
[00:02:05.480 --> 00:02:07.840]  我不記得是哪個特輯
[00:02:07.840 --> 00:02:09.520]  按照醫療的發達
[00:02:09.520 --> 00:02:13.640]  人類如果一直醫療的發展都很好
[00:02:13.640 --> 00:02:16.100]  人真的可以活到六百多歲
[00:02:16.100 --> 00:02:18.920]  不過依然沒有永生
[00:02:18.920 --> 00:02:24.260]  即是告訴我們人出生後必然死亡是一件事實
[00:02:24.260 --> 00:02:25.820]  是一個特性
[00:02:25.820 --> 00:02:31.220]  而這個特性是與神的神性相違背
[00:02:31.220 --> 00:02:34.920]  人的死亡與神的神性相違背
[00:02:34.920 --> 00:02:39.700]  因為神的神性的特徵就是永生
[00:02:39.700 --> 00:02:41.220]  就是生命
[00:02:41.220 --> 00:02:44.160]  我們說神無始無終
[00:02:44.160 --> 00:02:53.580]  所以死亡、生命有終結與神的神性的特性是有違背
[00:02:53.580 --> 00:02:54.960]  因此我們可以這樣說
[00:02:54.960 --> 00:03:01.620]  沒有任何東西比一個人的屍體更加能夠代表死亡
[00:03:01.620 --> 00:03:05.860]  因此古代以色列人他們看如何處理死屍帶來的不潔
[00:03:05.860 --> 00:03:11.580]  是非常之重要和嚴肅
[00:03:11.580 --> 00:03:13.240]  我們記得在文素記十三十四章
[00:03:13.240 --> 00:03:14.920]  告訴我們十二探子當中
[00:03:14.920 --> 00:03:19.540]  十個探子去完迦南地帶來一個錯誤的信息
[00:03:19.540 --> 00:03:23.080]  認為攻打迦南地以色列人必死無疑
[00:03:23.080 --> 00:03:26.100]  因此引發了以色列民對神的抱怨
[00:03:26.100 --> 00:03:29.140]  結果神懲罰他們
[00:03:29.140 --> 00:03:32.060]  布厄遜那十個人都遭瘟疫而死
[00:03:32.060 --> 00:03:34.060]  抱怨的以色列人神說
[00:03:34.060 --> 00:03:37.220]  當中二十歲以上的都要死在曠野
[00:03:37.220 --> 00:03:40.240]  所以在那四十年的曠野旅程當中
[00:03:40.240 --> 00:03:43.680]  每天以色列民都面對他們當中的人
[00:03:43.680 --> 00:03:45.680]  陸陸續續地死去
[00:03:45.680 --> 00:03:50.880]  然後當以色列人聽到摩西村告
[00:03:50.880 --> 00:03:51.800]  摩西說
[00:03:51.800 --> 00:03:52.720]  漢娜
[00:03:52.720 --> 00:03:56.520]  摩西村告說神聽到他們的埋怨
[00:03:56.520 --> 00:03:58.520]  不會再帶領他們進迦南地
