
[00:00:00.000 --> 00:00:09.000]  幾個星期前,盧博士帶領我們從宏觀的角度去看《馬太福音》這段經文
[00:00:09.000 --> 00:00:18.000]  今天我會用一個微觀的角度去進入探索經文的整體意義
[00:00:18.000 --> 00:00:23.000]  很多人都會經常問「思貪」和「思念」有什麼分別?
[00:00:23.000 --> 00:00:27.000]  其實原文都是同一個字
[00:00:27.000 --> 00:00:33.000]  但是我們中文有幾個:翻譯、思貪、思厭、忍憂和思念
[00:00:33.000 --> 00:00:35.000]  我們華人教會還有一個特色
[00:00:35.000 --> 00:00:40.000]  通常在「德性思貪」之後就會翻譯成「思念」
[00:00:40.000 --> 00:00:44.000]  通常在失敗之後就會叫「思貪」
[00:00:44.000 --> 00:00:46.000]  我們也有一個特色
[00:00:46.000 --> 00:00:49.000]  如果是由上帝所發出的
[00:00:49.000 --> 00:00:51.000]  我們就會叫「思厭」
[00:00:51.000 --> 00:00:57.000]  例如《創世紀》、《阿伯拉罕》就叫「神思厭」
[00:00:57.000 --> 00:01:03.000]  我們先看看耶穌受試探這一幕文學的結構
[00:01:03.000 --> 00:01:07.000]  其實有很工整的文學結構
[00:01:07.000 --> 00:01:13.000]  有主題、地點、日期和時間
[00:01:13.000 --> 00:01:16.000]  耶穌受針之後準備傳道士宮
[00:01:16.000 --> 00:01:19.000]  也在餓了四十天之後
[00:01:19.000 --> 00:01:23.000]  特別要大家看一看人物方面
[00:01:23.000 --> 00:01:24.000]  在這個故事裡面
[00:01:24.000 --> 00:01:32.000]  人物是有聖靈、耶穌、魔鬼和天使
[00:01:32.000 --> 00:01:35.000]  只要我們一看這四個人物的時候
[00:01:35.000 --> 00:01:38.000]  你就會發覺其實他們不是人
[00:01:38.000 --> 00:01:43.000]  他們這群的級數和我們真的差很遠
[00:01:43.000 --> 00:01:46.000]  不是我們人世間的等級
[00:01:46.000 --> 00:01:48.000]  聖靈、耶穌、魔鬼和天使
[00:01:48.000 --> 00:01:51.000]  我們沒有辦法跟他們相比
[00:01:51.000 --> 00:01:53.000]  所以我們可以看到
[00:01:53.000 --> 00:01:58.000]  這個試探就是一群高手在過招
[00:01:58.000 --> 00:02:00.000]  我們不要走太近
[00:02:00.000 --> 00:02:03.000]  現在在看《倚天屠龍記》就知道了
[00:02:03.000 --> 00:02:06.000]  走近一點我們也會沒命的
[00:02:06.000 --> 00:02:12.000]  所以我們不要隨便將自己代入這個場景對號入座
[00:02:12.000 --> 00:02:14.000]  這個也是在聖經記載裡面
[00:02:14.000 --> 00:02:17.000]  耶穌生平獨一無二的試探
[00:02:17.000 --> 00:02:20.000]  我們叫這個做最初的試探
[00:02:20.000 --> 00:02:23.000]  耶穌還有一個叫做最後的試探
[00:02:23.000 --> 00:02:25.000]  在哪裡呢?
[00:02:25.000 --> 00:02:27.000]  在喀西瑪利縣
[00:02:27.000 --> 00:02:31.000]  當時耶穌禱告汗如血點滴下來
[00:02:31.000 --> 00:02:36.000]  甚至乎求天父去挪開這個虎杯
[00:02:36.000 --> 00:02:39.000]  因為他憂傷幾乎要死
[00:02:39.000 --> 00:02:42.000]  當時和他最親密的支持小組
[00:02:42.000 --> 00:02:46.000]  彼得、雅各和約翰睡了
[00:02:46.000 --> 00:02:49.000]  其實沒有人支持他
[00:02:49.000 --> 00:02:52.000]  這個最後一程是相當難走的
[00:02:52.000 --> 00:02:55.000]  耶穌一生裡面有這兩個試探
[00:02:55.000 --> 00:02:57.000]  非常不簡單
[00:02:57.000 --> 00:02:59.000]  不是常人可以面對的
[00:02:59.000 --> 00:03:03.000]  很感恩這兩個試探他都得勝了
[00:03:03.000 --> 00:03:07.000]  我們就看一下在第一個引誘裡面
[00:03:07.000 --> 00:03:12.000]  就是要他將石頭變做餅
[00:03:12.000 --> 00:03:14.000]  在三個試探裡面
[00:03:14.000 --> 00:03:16.000]  石頭都用了兩次
[00:03:16.000 --> 00:03:20.000]  「你若是神的兒子」做開頭
[00:03:20.000 --> 00:03:24.000]  很清楚耶穌是神的兒子
[00:03:24.000 --> 00:03:26.000]  我想他比誰都清楚
[00:03:26.000 --> 00:03:30.000]  所以這個問題不是衝著耶穌基督的身份而來
[00:03:30.000 --> 00:03:32.000]  提醒他
[00:03:32.000 --> 00:03:36.000]  你是唯一證明你是神的兒子的辦法
[00:03:36.000 --> 00:03:39.000]  就行一些神蹟吧
[00:03:39.000 --> 00:03:44.000]  這是針對耶穌當時身體的狀況
[00:03:44.000 --> 00:03:48.000]  因為早期基督教裡面都有一個爭議
[00:03:48.000 --> 00:03:51.000]  他們不願意相信耶穌是人
[00:03:51.000 --> 00:03:52.000]  為什麼
[00:03:52.000 --> 00:03:53.000]  這樣不給面子
[00:03:53.000 --> 00:03:55.000]  也不夠尊貴
[00:03:55.000 --> 00:03:56.000]  他們認為耶穌是神
[00:03:56.000 --> 00:03:58.000]  怎麼可能是人呢
[00:03:58.000 --> 00:04:00.000]  耶穌會肚餓
[00:04:00.000 --> 00:04:03.000]  所以證明耶穌百分百是人
[00:04:03.000 --> 00:04:06.000]  而猶太教就不肯相信耶穌是神
[00:04:06.000 --> 00:04:08.000]  因為神不可能是這樣
[00:04:08.000 --> 00:04:10.000]  也不可能是彌賽亞
[00:04:10.000 --> 00:04:12.000]  撒旦用這一招
[00:04:12.000 --> 00:04:14.000]  如果在原文的文法
[00:04:14.000 --> 00:04:16.000]  「你若是神的兒子」
[00:04:16.000 --> 00:04:18.000]  更好的翻譯是
[00:04:18.000 --> 00:04:21.000]  「你既是神的兒子」
[00:04:21.000 --> 00:04:26.000]  我覺得廣東話翻譯得更加全神
[00:04:26.000 --> 00:04:28.000]  你不是神的兒子嗎
[00:04:28.000 --> 00:04:30.000]  其實這是一個挑釁
[00:04:30.000 --> 00:04:32.000]  挑釁就是說
[00:04:32.000 --> 00:04:34.000]  魔鬼用這一招是一種激將法
[00:04:34.000 --> 00:04:37.000]  如果耶穌不是神的兒子
[00:04:37.000 --> 00:04:41.000]  他根本不可能將石頭變餅
[00:04:41.000 --> 00:04:44.000]  如果魔鬼還叫他從墊頂跳下來
[00:04:44.000 --> 00:04:47.000]  是不是魔鬼有病呢
[00:04:47.000 --> 00:04:49.000]  如果你明知他不是神的兒子
[00:04:49.000 --> 00:04:51.000]  他不可能將石頭變餅
[00:04:51.000 --> 00:04:55.000]  也不可能從墊頂跳下來
[00:04:55.000 --> 00:04:57.000]  所以一清二楚
[00:04:57.000 --> 00:05:00.000]  耶穌絕對做得到
[00:05:00.000 --> 00:05:03.000]  不需要證明他是否神的兒子
[00:05:03.000 --> 00:05:07.000]  就用這些方法
[00:05:07.000 --> 00:05:09.000]  耶穌做得到
[00:05:09.000 --> 00:05:13.000]  在馬可三章十一節也有這樣說
[00:05:13.000 --> 00:05:15.000]  「你是神的兒子」
[00:05:15.000 --> 00:05:17.000]  其實連污名一見到耶穌都知道
[00:05:17.000 --> 00:05:22.000]  所以不會有人懷疑神的兒子的身份
[00:05:22.000 --> 00:05:25.000]  其實第一個試探回答了基督教的疑問
[00:05:25.000 --> 00:05:27.000]  耶穌禁食四十天
[00:05:27.000 --> 00:05:29.000]  餓是一個正常人的反應
[00:05:29.000 --> 00:05:32.000]  他百分百是一個人的反應
[00:05:32.000 --> 00:05:35.000]  其實餓了需要食物充飢
[00:05:35.000 --> 00:05:37.000]  是沒有什麼大不了的事
[00:05:37.000 --> 00:05:39.000]  很正常
[00:05:39.000 --> 00:05:41.000]  四十天不吃東西一定會餓
[00:05:41.000 --> 00:05:46.000]  魔鬼的第一擊是針對耶穌基督的身體狀況和需要
[00:05:46.000 --> 00:05:48.000]  看來沒有什麼特別
[00:05:48.000 --> 00:05:54.000]  耶穌有能力將石頭變餅
