
[00:00:00.000 --> 00:00:04.180]  我記得我出來工作時在醫院實習
[00:00:04.180 --> 00:00:07.220]  在行內有一句說話
[00:00:07.220 --> 00:00:08.940]  當然是英文,我是英國醫院
[00:00:08.940 --> 00:00:11.740]  他說「See one, do one, teach one」
[00:00:11.740 --> 00:00:13.380]  那年代很流行的
[00:00:13.380 --> 00:00:16.820]  就是你看一次,自己做一次
[00:00:16.820 --> 00:00:19.340]  下一次你就去教別人
[00:00:19.340 --> 00:00:21.260]  真的很花學,大家知道嗎?
[00:00:21.260 --> 00:00:24.180]  我讀了五年書,其實是書本上的知識
[00:00:24.180 --> 00:00:27.300]  實習上的其實是很少很少的
[00:00:27.300 --> 00:00:29.060]  因為都沒有時間去教你
[00:00:29.060 --> 00:00:31.420]  尤其是在倫敦那些大的醫院
[00:00:31.420 --> 00:00:33.660]  大家有看《白色強人》,是嗎?
[00:00:33.660 --> 00:00:36.460]  有些很高級,一直下來下來下來的
[00:00:36.460 --> 00:00:39.100]  到那些學生根本不出鏡的,知道嗎?
[00:00:39.100 --> 00:00:41.340]  才不會有時間去教你
[00:00:41.340 --> 00:00:42.460]  那怎麼辦呢?
[00:00:42.460 --> 00:00:44.620]  一出來實習的時候,第一天
[00:00:44.620 --> 00:00:45.660]  晚上
[00:00:45.660 --> 00:00:47.220]  我記得我做過weekend
[00:00:47.220 --> 00:00:48.580]  一開始已經做weekend
[00:00:48.580 --> 00:00:50.540]  就是由星期五上班
[00:00:50.540 --> 00:00:55.380]  一直到星期一晚上才可以下班
[00:00:55.380 --> 00:00:57.900]  所以on call不止72小時
[00:00:57.900 --> 00:01:01.420]  根本半夜三更,叫我突然間和別人插口插口
[00:01:01.420 --> 00:01:05.020]  書本有說過,但是沒試過
[00:01:05.020 --> 00:01:07.180]  他說「我教你一次啦」
[00:01:07.180 --> 00:01:08.580]  他就看著了
[00:01:08.580 --> 00:01:11.740]  真的,看一次,做一次
[00:01:11.740 --> 00:01:13.740]  下一次就去教別人一次
[00:01:13.740 --> 00:01:16.100]  以前我們是很多人在學車
[00:01:16.100 --> 00:01:17.540]  現在香港是沒有機會的
[00:01:17.540 --> 00:01:19.540]  以前的規矩就是你考到車
[00:01:19.540 --> 00:01:21.420]  你第二天可以教人的,英國
[00:01:21.420 --> 00:01:23.380]  英國不一定要教車師傅的
[00:01:23.380 --> 00:01:24.700]  你有牌就可以教人
