
[00:00:00.000 --> 00:00:02.520]  大家知道通常年底做一個主日
[00:00:02.520 --> 00:00:03.880]  我們都有一些時間
[00:00:03.880 --> 00:00:05.800]  通常都喜歡做一件事就是
[00:00:05.800 --> 00:00:09.920]  都開始來反省一下我們今年所做過的一切
[00:00:09.920 --> 00:00:12.520]  反省我們今年的生活過程如何
[00:00:12.520 --> 00:00:15.240]  然後也為明年做一些計劃
[00:00:15.240 --> 00:00:19.320]  當然我們可以從很多不同的角度來反思我們的人生
[00:00:19.320 --> 00:00:22.800]  無論是我們的人際關係、婚姻、親子關係
[00:00:22.800 --> 00:00:26.920]  你的事業、各樣生活的態度
[00:00:26.920 --> 00:00:32.560]  但是其中一樣反而我想和大家去稍微反省一下的就是
[00:00:32.560 --> 00:00:34.560]  我們跟神的關係
[00:00:34.560 --> 00:00:39.600]  如果今年過了你跟神的關係
[00:00:39.600 --> 00:00:42.520]  在這一方面如果你想和自己打一個分數的話
[00:00:42.520 --> 00:00:44.520]  我不知道你會打多少分呢
[00:00:44.520 --> 00:00:48.480]  C、C+、B+
[00:00:48.480 --> 00:00:50.320]  有些人可能是A+
[00:00:50.320 --> 00:00:52.720]  我今年經歷了一個大的復興
[00:00:52.720 --> 00:00:55.520]  跟神的關係感覺非常之近
[00:00:55.520 --> 00:00:58.080]  明年怎樣呢 明年只要保持這個高位
[00:00:58.080 --> 00:01:00.080]  我已經很滿意了
[00:01:00.080 --> 00:01:02.240]  不知道你自己有沒有想過這個問題
[00:01:02.240 --> 00:01:03.280]  你跟神的關係
[00:01:03.280 --> 00:01:06.880]  今年你覺得分數比在哪裏呢
[00:01:06.880 --> 00:01:09.680]  如果不是太高的話
[00:01:09.680 --> 00:01:13.800]  可見可能明年還有很多進步的空間
[00:01:13.800 --> 00:01:16.680]  今天我們會看的一段經文也是
[00:01:16.680 --> 00:01:21.120]  在聖誕節期間大部份人都會讀到的一段經文
[00:01:21.120 --> 00:01:23.520]  就是在《馬太福音》的第二章
[00:01:23.520 --> 00:01:27.000]  講到在東方有一群博士
[00:01:27.000 --> 00:01:28.520]  聖上家
[00:01:28.520 --> 00:01:37.120]  來尋找出生大約一、兩歲以下的主耶穌基督
[00:01:37.120 --> 00:01:39.720]  去敬拜祂的一個故事
[00:01:39.720 --> 00:01:41.840]  這個故事很特別的
[00:01:41.840 --> 00:01:44.840]  因為這一群所謂的博士
[00:01:44.840 --> 00:01:48.200]  他們在短短的一個期間
[00:01:48.200 --> 00:01:50.600]  在聖誕節這個期間
[00:01:50.600 --> 00:01:55.760]  他們的人生跟神經歷了一個天翻地覆的改變
[00:01:55.760 --> 00:01:57.760]  他們從此之後我相信
[00:01:57.760 --> 00:02:00.440]  人生進入一個不同的境界
[00:02:00.440 --> 00:02:03.960]  我們就透過他們的一個故事
[00:02:03.960 --> 00:02:07.160]  來看看給我們有什麼啟示
