
[00:00:00.000 --> 00:00:02.000]  各位兄弟姊妹,新年快樂!
[00:00:02.000 --> 00:00:06.000]  這是二零二六年第一個的主日
[00:00:06.000 --> 00:00:09.000]  感恩我們一同來到神的面前
[00:00:09.000 --> 00:00:11.000]  一同敬拜主
[00:00:11.000 --> 00:00:15.000]  大家知不知道今年度的主題是什麼?
[00:00:15.000 --> 00:00:18.000]  大家可不可以一起讀出來?
[00:00:18.000 --> 00:00:21.000]  「結連傳承復興」
[00:00:21.000 --> 00:00:23.000]  在新年崇拜裡面
[00:00:23.000 --> 00:00:26.000]  我就說了這個題目
[00:00:26.000 --> 00:00:29.000]  這幾個主題說了一篇
[00:00:29.000 --> 00:00:35.000]  我特別用了哈巴谷書三章二節
[00:00:35.000 --> 00:00:38.000]  和若爾書二章二十八節
[00:00:38.000 --> 00:00:41.000]  另外有一節主題經文
[00:00:41.000 --> 00:00:43.000]  就是剛才主席讀出來
[00:00:43.000 --> 00:00:46.000]  四章十六節,已忽所書
[00:00:46.000 --> 00:00:53.000]  「靠著他,全身都連接得緊湊
[00:00:53.000 --> 00:01:00.000]  百折,各按各職,照著各體的功用彼此相助
[00:01:00.000 --> 00:01:04.000]  使身體漸漸增長,愛中建立自己」
[00:01:04.000 --> 00:01:07.000]  這個也是我們今年的主題經文
[00:01:07.000 --> 00:01:09.000]  其中一節
[00:01:09.000 --> 00:01:11.000]  所以今天兩節經文
[00:01:11.000 --> 00:01:13.000]  就和大家去思想
[00:01:13.000 --> 00:01:19.000]  結連跨代同行的呼召
[00:01:19.000 --> 00:01:22.000]  包括三方面
[00:01:22.000 --> 00:01:25.000]  第一是結連於基督
[00:01:25.000 --> 00:01:28.000]  第二是跨代同行的呼召
[00:01:28.000 --> 00:01:32.000]  第三是愛中建立合一
[00:01:32.000 --> 00:01:35.000]  這是保羅的監獄書信
[00:01:35.000 --> 00:01:37.000]  寫給二福所教會
[00:01:37.000 --> 00:01:39.000]  提醒這些信徒
[00:01:39.000 --> 00:01:41.000]  要在基督裡面合一
[00:01:41.000 --> 00:01:43.000]  在愛中裡面成長
[00:01:43.000 --> 00:01:45.000]  這個書信是強調了
[00:01:45.000 --> 00:01:48.000]  教會是基督的身體
[00:01:48.000 --> 00:01:50.000]  基督是元首
[00:01:50.000 --> 00:01:56.000]  早期教會面對猶太人和外邦人文化的差異
[00:01:56.000 --> 00:02:00.000]  年齡、背景不相同
[00:02:00.000 --> 00:02:03.000]  但是保羅是要指出
[00:02:03.000 --> 00:02:07.000]  合一不是靠一些外在的條件
[00:02:07.000 --> 00:02:09.000]  即使有差異
[00:02:09.000 --> 00:02:15.000]  但是最終是要靠在基督裡面的連繫
[00:02:15.000 --> 00:02:19.000]  所以第一方面說到連繫於基督
[00:02:19.000 --> 00:02:22.000]  這段經文第一句就這樣說
[00:02:22.000 --> 00:02:27.000]  靠著他,全身都連接得緊湊
[00:02:27.000 --> 00:02:31.000]  以往我們俄羅斯就說連接得合適
[00:02:31.000 --> 00:02:34.000]  修訂版就說緊湊
[00:02:34.000 --> 00:02:37.000]  聽起來更加緊湊
[00:02:37.000 --> 00:02:43.000]  保羅的比喻當然是強調教會不是一個獨立的個體
[00:02:43.000 --> 00:02:47.000]  而是因為基督而成為一個整體
[00:02:47.000 --> 00:02:52.000]  連接本身就有一個很緊密的連接的意思
[00:02:52.000 --> 00:02:55.000]  好像身體上
[00:02:55.000 --> 00:02:58.000]  我們發覺我們的筋骨的相連
[00:02:58.000 --> 00:03:00.000]  很緊密的連接
[00:03:00.000 --> 00:03:02.000]  彼此的支持
[00:03:02.000 --> 00:03:04.000]  不可以鬆散
[00:03:04.000 --> 00:03:09.000]  因為要有一個柔韌性
[00:03:09.000 --> 00:03:13.000]  要有一個力量在裡面
[00:03:13.000 --> 00:03:17.000]  但是如果看自己的身體
[00:03:17.000 --> 00:03:20.000]  都有些地方散散的
[00:03:20.000 --> 00:03:26.000]  譬如我們有一種叫做骨質疏鬆症
[00:03:26.000 --> 00:03:31.000]  大家知道骨質的密度降低了
[00:03:31.000 --> 00:03:34.000]  骨頭變得脆弱了
[00:03:34.000 --> 00:03:36.000]  容易骨折
[00:03:36.000 --> 00:03:39.000]  特別是長者或一些女士
[00:03:39.000 --> 00:03:43.000]  缺乏運動營養不足的人就容易
[00:03:43.000 --> 00:03:46.000]  但通常我們都不太知道
[00:03:46.000 --> 00:03:49.000]  因為我們覺得沒什麼問題
[00:03:49.000 --> 00:03:51.000]  但直至我們一跌倒
[00:03:51.000 --> 00:03:56.000]  有骨折我們就發覺原來患了骨質疏鬆
[00:03:56.000 --> 00:04:02.000]  無聲無息就讓我們有一個病痛
[00:04:02.000 --> 00:04:06.000]  另一種筋骨相連
[00:04:06.000 --> 00:04:09.000]  我自己也有這樣的情況
[00:04:09.000 --> 00:04:12.000]  就是韌帶斷裂了
[00:04:12.000 --> 00:04:17.000]  特別是膝蓋的前十字韌帶
[00:04:17.000 --> 00:04:21.000]  我曾經斷裂過
[00:04:21.000 --> 00:04:26.000]  斷裂了會影響膝蓋的穩定
[00:04:26.000 --> 00:04:32.000]  整體來說可能你會感覺到腳會鬆鬆的
[00:04:32.000 --> 00:04:34.000]  走路可能不穩定
[00:04:34.000 --> 00:04:37.000]  運動失去支撐
[00:04:37.000 --> 00:04:39.000]  很危險的
[00:04:39.000 --> 00:04:42.000]  所以做運動的人
[00:04:42.000 --> 00:04:46.000]  喜歡打籃球、羽毛球、踢球
[00:04:46.000 --> 00:04:49.000]  很多用足步急停
[00:04:49.000 --> 00:04:53.000]  很容易會發生韌帶撕裂或斷裂
[00:04:53.000 --> 00:04:56.000]  當然在年紀大
[00:04:56.000 --> 00:05:02.000]  過勞勞損都會影響到這樣的情況
[00:05:02.000 --> 00:05:04.000]  如果我們不及時治療
[00:05:04.000 --> 00:05:07.000]  就會加速關節的退化
[00:05:07.000 --> 00:05:09.000]  所以在身體裏面
[00:05:09.000 --> 00:05:13.000]  是令我們體會到保羅所說
[00:05:13.000 --> 00:05:16.000]  教會用身體做一個比喻
[00:05:16.000 --> 00:05:22.000]  要全身靠著基督連繫緊湊
[00:05:22.000 --> 00:05:24.000]  我們回想身體
[00:05:24.000 --> 00:05:27.000]  真的,我們也會發覺這樣的問題
[00:05:27.000 --> 00:05:30.000]  為什麼保羅會這樣說呢?
[00:05:30.000 --> 00:05:35.000]  因為以弗所教會是有鬆散
[00:05:35.000 --> 00:05:39.000]  骨質疏鬆或韌帶串裂
[00:05:39.000 --> 00:05:43.000]  以弗所是羅馬亞細亞的首府
[00:05:43.000 --> 00:05:45.000]  人口大約有25萬
[00:05:45.000 --> 00:05:52.000]  是商貿、學術、娛樂或偶像敬拜的中心
[00:05:52.000 --> 00:05:55.000]  當時教會的挑戰是什麼呢?
[00:05:55.000 --> 00:05:57.000]  教會有猶太人
[00:05:57.000 --> 00:06:00.000]  外邦人
[00:06:00.000 --> 00:06:03.000]  存在在文化、宗教上
[00:06:03.000 --> 00:06:05.000]  很多背景的差異
[00:06:05.000 --> 00:06:08.000]  很多初信的外邦人
[00:06:08.000 --> 00:06:12.000]  他們可能脫離了異教的生活
[00:06:12.000 --> 00:06:16.000]  但仍然有很多的影響當中
[00:06:16.000 --> 00:06:19.000]  所以他們的靈命或品格
[00:06:19.000 --> 00:06:22.000]  都是參差不齊的
[00:06:22.000 --> 00:06:25.000]  需要繼續教導,繼續培養
[00:06:25.000 --> 00:06:28.000]  但外藏的環境是很大壓力的
[00:06:28.000 --> 00:06:31.000]  信徒很容易受到引誘
[00:06:31.000 --> 00:06:34.000]  或者受到很多的掙扎
[00:06:34.000 --> 00:06:37.000]  其實在今天香港來說
[00:06:37.000 --> 00:06:40.000]  我們也會看到一個教會
[00:06:40.000 --> 00:06:42.000]  好像以弗所說的鬆散
