
[00:00:00.000 --> 00:00:01.720]  今天我們講一個題目
[00:00:01.720 --> 00:00:04.820]  就是如何來看待耶穌
[00:00:04.820 --> 00:00:08.640]  我們究竟跟耶穌有什麼關係呢?
[00:00:08.640 --> 00:00:10.340]  如何來看待耶穌呢?
[00:00:10.340 --> 00:00:11.820]  題目就是
[00:00:11.820 --> 00:00:14.540]  一個暴力冷血的守衛
[00:00:14.540 --> 00:00:16.780]  這個題目也很特別
[00:00:16.780 --> 00:00:19.220]  講到那些羅馬兵丁
[00:00:19.220 --> 00:00:21.340]  他們在耶穌的旁邊
[00:00:21.340 --> 00:00:23.260]  看到耶穌
[00:00:23.260 --> 00:00:25.500]  但是為什麼會這麼冷血呢?
[00:00:25.500 --> 00:00:28.660]  為什麼會釘耶穌在十字架上呢?
[00:00:28.660 --> 00:00:29.900]  我們很難明白
[00:00:29.900 --> 00:00:34.260]  所以我們教會特別預備了三個十字架
[00:00:34.260 --> 00:00:35.980]  特別是在壽福節期間
[00:00:35.980 --> 00:00:37.100]  不知道大家看不看到
[00:00:37.100 --> 00:00:38.140]  黑黑的
[00:00:38.140 --> 00:00:40.380]  我們看到
[00:00:40.380 --> 00:00:43.220]  主耶穌今天跟我們有什麼關係呢?
[00:00:43.220 --> 00:00:47.260]  我們先去讀《路加福音》
[00:00:47.260 --> 00:00:52.060]  《路加福音》第二十二章四十四至四十五節
[00:00:52.060 --> 00:00:55.860]  這裡講到耶穌在極大的痛苦當中
[00:00:55.860 --> 00:00:58.180]  禱告更加的恆切
[00:00:58.180 --> 00:01:01.180]  祂的汗珠變得像大血滴
[00:01:01.180 --> 00:01:02.460]  落在地上
[00:01:02.460 --> 00:01:03.660]  禱告完了
[00:01:03.660 --> 00:01:05.580]  祂就起身到門徒那裡去
[00:01:05.580 --> 00:01:09.460]  看見他們因為憂傷都睡著了
[00:01:09.460 --> 00:01:13.340]  這篇經文講到耶穌基督在最憂傷的時候
[00:01:13.340 --> 00:01:15.540]  祂還沒有上十字架之先
[00:01:15.540 --> 00:01:19.060]  祂很想門徒跟祂一起祈禱
[00:01:19.060 --> 00:01:21.660]  但是門徒卻睡了覺
[00:01:21.660 --> 00:01:27.940]  其實也講到我們現在很多教會信徒的一個光景
[00:01:28.220 --> 00:01:31.500]  我們其實也很想跟耶穌一起
[00:01:31.500 --> 00:01:34.060]  不過我們就疲倦眼睏了
[00:01:34.060 --> 00:01:37.980]  所以很多人在祈禱會當中都會睡著覺的
[00:01:37.980 --> 00:01:40.500]  有沒有試過這樣呢?
[00:01:40.500 --> 00:01:44.980]  我們問心那句是有試過的
[00:01:44.980 --> 00:01:49.380]  我記得有一次香港有一群牧師去到韓國
[00:01:49.380 --> 00:01:52.060]  那裡開通宵祈禱會
[00:01:52.060 --> 00:01:55.660]  韓國搞的就是將幾百個牧師放在台上
[00:01:55.660 --> 00:01:58.060]  到晚上三點多的時候
[00:01:58.060 --> 00:01:59.820]  一半的牧師就睡著了
[00:01:59.820 --> 00:02:02.140]  因為撐不住那麼晚
[00:02:02.140 --> 00:02:06.580]  我們知道這些故事講到我們人祈禱
[00:02:06.580 --> 00:02:12.060]  我們不明白原來耶穌很想跟我們一起祈禱
[00:02:12.060 --> 00:02:13.780]  很想跟我們一起祈禱
[00:02:13.780 --> 00:02:16.340]  所以我們剛才在奉獻的時候唱了一首歌
[00:02:16.340 --> 00:02:20.180]  主我願意來祈禱
[00:02:20.180 --> 00:02:21.860]  是我們的心願
[00:02:21.860 --> 00:02:24.020]  我們真的很想來祈禱
[00:02:24.020 --> 00:02:26.660]  主耶穌基督在祂最痛苦的時候
[00:02:26.660 --> 00:02:29.860]  祂想有人在祈禱當中來支持祂
[00:02:29.860 --> 00:02:32.060]  你知不知道有人為你祈禱
[00:02:32.060 --> 00:02:34.660]  那種感覺是何等的好
[00:02:34.660 --> 00:02:36.660]  如果有人說我為你祈禱
[00:02:36.660 --> 00:02:37.980]  他真是為你祈禱
[00:02:37.980 --> 00:02:39.500]  當你最需要的時候
[00:02:39.500 --> 00:02:40.980]  你最困難的時候
[00:02:40.980 --> 00:02:43.460]  原來知道在後面有人為你祈禱
[00:02:43.460 --> 00:02:45.740]  當你最軟弱的時候
[00:02:45.740 --> 00:02:47.860]  可能你的父母為你祈禱
[00:02:47.860 --> 00:02:49.740]  當你未信耶穌之先
[00:02:49.740 --> 00:02:52.460]  可能你有一些人已經為你祈禱
[00:02:52.460 --> 00:02:54.460]  使得你能夠相信耶穌基督
[00:02:54.740 --> 00:02:58.780]  我們再看看《馬達福音》第十一章
[00:02:58.780 --> 00:03:01.540]  這裡有一段經文講到
[00:03:01.540 --> 00:03:05.420]  耶穌斥責當時在當中行了許多神蹟
[00:03:05.420 --> 00:03:07.740]  歧視裡面的一些城市
[00:03:07.740 --> 00:03:10.420]  他們裡面的人不肯悔改
