
[00:00:00.000 --> 00:00:07.960]  確立目標,今天是第一個主題,經文是十四章二十到二十八節
[00:00:07.960 --> 00:00:24.560]  說到人生目標,坊間有很多方法,最重要找到自己的passion,找到自己的潛能,然後加以發揮,這個就是你的人生目標
[00:00:24.560 --> 00:00:34.640]  舉我自己的例子,我很喜歡踩單車,但我到今天都不能成為一個職業的單車運動員
[00:00:34.640 --> 00:00:40.400]  所以有passion,你喜歡做的事情未必就是你人生的目標,神有神當中的計劃
[00:00:40.400 --> 00:00:46.880]  所以今天我們作為基督徒,並不是只為自己個人去做
[00:00:46.880 --> 00:00:58.960]  你還記得我在第三堂的時候說過一個題目叫做向夢想出發,當時借用Rick Lawren的purpose during life裡面的目的
[00:00:58.960 --> 00:01:06.080]  就是你的目的是it's a plan behind you,神在做你的時候有一個目的在裡面
[00:01:06.080 --> 00:01:16.240]  所以我們今天信耶穌,我們的人生目標,如果不跟耶穌拉上關係的話,我們的人生目標是沒有意義的,是沒有價值的
[00:01:16.240 --> 00:01:24.880]  所以今天我們始終都要回去看我們的經文,究竟今天在經文裡面怎樣帶我們去確立我們人生的目標
[00:01:24.880 --> 00:01:30.160]  特別現在來到我們要進入這個直路,要建立這個教會
[00:01:30.160 --> 00:01:35.920]  很想跟大家分享的就是channel教會的成立其中有一個很大的目的
[00:01:35.920 --> 00:01:44.240]  就是我們怎樣幫助信徒來到我們當中,你願意投入channel的時候,我們有一個責任
[00:01:44.240 --> 00:01:52.560]  我們的意思就不只是我,或者是call team的弟兄姊妹,而是我們有份參與成為會員
[00:01:52.560 --> 00:02:02.880]  上個禮拜開始說我們現在開始申請會員,你成為當中一份子的時候,怎樣去幫助其他人找到一個正確的人生的目標
[00:02:02.880 --> 00:02:11.920]  這個就是我們channel希望能夠做,也是我們一定要做的東西
[00:02:11.920 --> 00:02:24.160]  十幾年前我開始問一個問題,我就說我做一個IT的engineer,跟我的人生目標有什麼關係
[00:02:24.160 --> 00:02:32.480]  跟耶穌call我做,當時我還沒有認識commit去做一個全世界的傳導人
[00:02:32.480 --> 00:02:40.160]  但是當時我在問,究竟我日常的工作裡面,跟我的信仰有什麼關係
[00:02:40.160 --> 00:02:48.880]  我一直都找不到一個答案,但是我慢慢開始有一個東西成立,就是神做我的時候,是把這個職業給我的
[00:02:48.880 --> 00:02:54.800]  今天你可能有些在讀書,有些已經出來工作,我可以跟你分享過往的經歷
[00:02:54.800 --> 00:03:06.960]  就是神給你的這個職業不是貿貿然,是白費的,永遠跟你的生命和你將來的成長是有關係的
[00:03:06.960 --> 00:03:15.280]  可以說過往這二十幾年裡面,我的教會生活加上我的工作是息息相關的
[00:03:15.280 --> 00:03:25.040]  如果我沒有這個工作的經驗,我今天有很多的東西,我只是單方面將那些經文的文字讀一次給你聽
[00:03:25.040 --> 00:03:29.200]  但是因為我有這個工作的經驗,我人生的經歷裡面
[00:03:29.200 --> 00:03:37.600]  我就能夠將經文裡面所講的原則,能夠實實在在在我的生活環境裡面去演繹出來
[00:03:37.600 --> 00:03:47.920]  今天我嘗試在經文裡面,去怎樣去幫助我們去看到我人生的一個目標裡面
[00:03:47.920 --> 00:03:53.040]  我們需要建立一個根基,而這個根基是從經文開始的
[00:03:53.040 --> 00:04:00.560]  我們嘗試在經文裡面大概講一個故事,十四章二十到二十八節
[00:04:00.560 --> 00:04:05.360]  我用我的方法讀一次給你們聽,讓你們不要太悶
[00:04:05.360 --> 00:04:11.120]  二十節了,他說門徒正圍著他們的時候,圍著他就是保羅
[00:04:11.120 --> 00:04:18.240]  保羅就起來了,走進城裡面,第二天就和巴拿巴去到特比這個地方
[00:04:18.240 --> 00:04:27.120]  和城裡的人傳了福音之後,就令到很多人信了耶穌,他就回去路斯德,以歌念安提阿
[00:04:27.120 --> 00:04:31.120]  堅固門徒的信心,勸他們行守所信的道
[00:04:31.120 --> 00:04:36.960]  又說我們進入神的國,是必須要經歷很多的艱難的
[00:04:36.960 --> 00:04:44.240]  兩個人就在國教裡面選立長老,又禁食禱告,又將他們交託給所信的主
[00:04:44.240 --> 00:04:54.160]  兩個人經過西底來到龐菲利亞,在別家講了道之後,就去到亞大利
[00:04:54.160 --> 00:05:00.240]  從那裡坐船往安提阿,這裡要停一停
[00:05:00.240 --> 00:05:07.760]  因為意思是安提阿這個地方就是當初被教會差拜出去的地方
[00:05:07.760 --> 00:05:17.760]  所以二十七節就說他到了那裡聚集會眾,述說神曾經在他身上所作的一切事情
[00:05:17.760 --> 00:05:22.960]  接著他和門徒住了幾天
[00:05:22.960 --> 00:05:26.560]  看看背景,幫大家去了解一下整個故事
[00:05:26.560 --> 00:05:34.400]  這個比較沉氣,但是我們仍然要看整個神的大計劃裡面
[00:05:34.400 --> 00:05:37.120]  還記得一章八字嗎?
[00:05:37.120 --> 00:05:40.400]  當耶穌離開這個世界升天的時候,就和門徒說
[00:05:40.400 --> 00:05:44.160]  「聖靈降臨到你們身上,你們必得著能力」
[00:05:44.160 --> 00:05:49.200]  從哪裡呢?耶路撒冷,猶大全地,撒瑪利亞,地極作我的見證
[00:05:49.200 --> 00:05:54.160]  很明顯,今天我們就成為地極裡面的一份子
[00:05:54.160 --> 00:05:58.400]  神有沒有違背過祂的應許?沒有
[00:05:58.400 --> 00:06:03.040]  從一章到十四章裡面,是一頁一頁
[00:06:03.040 --> 00:06:09.600]  是神將祂自己所應許的事情,是透過人一直發生
[00:06:09.600 --> 00:06:14.240]  有一個人物,很出名的,保羅出現之前,是誰人物呢?
[00:06:14.240 --> 00:06:23.280]  彼得,彼得就是在他猶太人裡面,在他自己同胞裡面傳福音的大弟子
[00:06:23.280 --> 00:06:28.960]  接著就將棒交給了保羅
[00:06:28.960 --> 00:06:33.360]  保羅本身是一個迫使教會的人,後期神將他在大馬適路上
[00:06:33.360 --> 00:06:39.200]  將他一百百度改變成為一個為神去死的使徒
[00:06:39.200 --> 00:06:45.760]  而且將福音傳遍整個當時的外邦世界
[00:06:45.760 --> 00:06:52.000]  首先看看地圖,保羅曾經有三次宣教
[00:06:52.000 --> 00:06:58.080]  第一次宣教是從安提阿教會,還記得安提阿有什麼出名嗎?
[00:06:58.080 --> 00:07:00.640]  信眾記為基督徒
[00:07:00.640 --> 00:07:04.240]  信眾記為基督徒是從安提阿開始
[00:07:04.240 --> 00:07:08.720]  這是第一個外邦人教會的地方
[00:07:08.720 --> 00:07:14.320]  所以安提阿教會很出名,如果你像Douglas那樣讀神學就知道一定要讀安提阿
[00:07:14.320 --> 00:07:19.840]  安提阿有什麼特別,就是外邦人教會的神學開始
[00:07:19.840 --> 00:07:23.920]  保羅在安提阿是被差派出去
[00:07:23.920 --> 00:07:30.000]  去到居比路南下,再北上去另一個城市叫安提阿
[00:07:30.000 --> 00:07:33.440]  然後經過以歌念路斯德特比
[00:07:33.440 --> 00:07:36.080]  剛才在經文裏面看過這些字眼
[00:07:36.080 --> 00:07:39.360]  我不是要你全部記下這些字眼,起碼你有個印象
[00:07:39.360 --> 00:07:41.360]  這些是什麼呢?是一些城市
[00:07:41.360 --> 00:07:46.800]  透過這些城市之後,將福音傳遍安提阿
[00:07:46.800 --> 00:07:50.800]  保羅用了大概十多年的時間
[00:07:50.800 --> 00:07:55.280]  十多年的時間,當然不是他自己的團隊
[00:07:55.280 --> 00:07:59.600]  他走遍了四個省份
[00:07:59.600 --> 00:08:04.720]  包括加拉泰、馬其頓、阿哥亞和艾西亞,四個省份裏面
[00:08:04.720 --> 00:08:07.360]  建立了很多間教會
[00:08:07.360 --> 00:08:11.440]  很厲害,不止厲害
[00:08:11.440 --> 00:08:17.600]  他的教會不止多,不止快,而且是有質素有穩固的教會
[00:08:17.600 --> 00:08:20.000]  為什麼呢?
[00:08:20.000 --> 00:08:23.520]  今天我們就想從三方面和大家去研究
[00:08:23.520 --> 00:08:25.840]  或者是幫助我們
[00:08:25.840 --> 00:08:28.960]  打強我們基礎的心
[00:08:28.960 --> 00:08:36.000]  願意我們的教會向前走的時候,有這些質素在裏面,行不行?
[00:08:36.000 --> 00:08:42.080]  第一個,第一點,教導
[00:08:42.080 --> 00:08:47.520]  教導大家都不是很難明白
[00:08:47.520 --> 00:08:53.600]  但是我想從一些你們少聽的角度去明白
[00:08:53.600 --> 00:08:58.480]  什麼叫做教導法,和我們channel怎樣去配合這件事
[00:08:58.480 --> 00:09:02.880]  教導他在這裡說一件事,十四章二十二節這樣說
[00:09:02.880 --> 00:09:07.520]  堅固門徒的心,勸他們行守所信的道
[00:09:07.520 --> 00:09:11.200]  這個心不是說信心
[00:09:11.200 --> 00:09:14.400]  這個心是在說一種生命力
[00:09:14.400 --> 00:09:17.200]  在說我們內裡那種靈魂
[00:09:17.200 --> 00:09:20.000]  有時候呢
[00:09:20.000 --> 00:09:23.840]  有沒有試過起床的時候,你整天都沒有動力做事
[00:09:23.840 --> 00:09:25.120]  沒有心機
[00:09:25.120 --> 00:09:28.720]  你知道有時候我預備堂到
