
[00:00:00.000 --> 00:00:02.000]  今天是聖誕的前夕
[00:00:02.000 --> 00:00:05.960]  當然是要講一個有關聖誕的訊息
[00:00:05.960 --> 00:00:07.480]  當我在準備的時候
[00:00:07.480 --> 00:00:08.560]  我就在想
[00:00:08.560 --> 00:00:12.760]  究竟應該講一個甚麼訊息比較好呢
[00:00:12.760 --> 00:00:16.320]  隨即想到我們在講《但以理書》
[00:00:16.320 --> 00:00:19.880]  所以不如就講東方的博士
[00:00:19.880 --> 00:00:23.360]  來到朝見耶穌基督的訊息
[00:00:23.360 --> 00:00:28.720]  究竟東方的博士和耶穌基督
[00:00:28.720 --> 00:00:33.920]  和耶穌基督的誕生又有甚麼關係
[00:00:33.920 --> 00:00:39.160]  我們見到在講《但以理書》的時候
[00:00:39.160 --> 00:00:40.800]  我們曾經講過
[00:00:40.800 --> 00:00:44.120]  在尼布格尼撒身邊
[00:00:44.120 --> 00:00:46.280]  是有一群哲士
[00:00:46.280 --> 00:00:47.680]  一群哲士
[00:00:47.680 --> 00:00:48.680]  是吧
[00:00:48.680 --> 00:00:55.560]  這群哲士其實就是那一群博士
[00:00:55.560 --> 00:00:56.840]  是同一級的人
[00:00:56.840 --> 00:00:58.680]  是同一種人
[00:00:58.680 --> 00:01:02.400]  在今天的經文《馬太福音》第二章
[00:01:02.400 --> 00:01:03.920]  如果你看英文的話
[00:01:03.920 --> 00:01:07.120]  會告訴你是叫做Wiseman
[00:01:07.120 --> 00:01:09.320]  是很有智慧的人
[00:01:09.320 --> 00:01:12.680]  原文的希臘文是Megi
[00:01:12.680 --> 00:01:18.000]  Megi就是在《馬太福音》第二章的那些博士
[00:01:18.000 --> 00:01:21.400]  原來他們是出自米代這個地方
[00:01:21.400 --> 00:01:25.880]  我們知道米代和波斯日後會聯合
[00:01:25.880 --> 00:01:29.560]  然後一起滅了巴比倫
[00:01:29.560 --> 00:01:33.280]  這些Megi其實是從米代出來的
[00:01:33.280 --> 00:01:34.840]  米代在哪裡呢?
[00:01:34.840 --> 00:01:36.920]  就在吾爾這個地方
[00:01:36.920 --> 00:01:41.120]  我們知道吾爾是亞伯拉罕的家鄉
[00:01:41.120 --> 00:01:44.480]  是一個充滿偶像的地方
[00:01:44.480 --> 00:01:46.200]  所以這群博士
[00:01:46.200 --> 00:01:47.720]  這群Megi
[00:01:47.720 --> 00:01:52.680]  其實他們源出的地方就是吾爾
[00:01:52.680 --> 00:01:57.240]  他們就是成為了巴比倫
[00:01:57.240 --> 00:02:00.520]  尼布格尼撒身邊的一群哲士
[00:02:00.520 --> 00:02:02.680]  一群的智者
[00:02:02.680 --> 00:02:04.880]  其實他們是有祭司的身份
[00:02:04.880 --> 00:02:07.560]  他們在米代的時候是祭司
[00:02:07.560 --> 00:02:11.000]  和以色列人的利美人很相似
[00:02:11.000 --> 00:02:13.560]  但是他們是米代人的祭司
[00:02:13.560 --> 00:02:17.400]  而利美人就是以色列人的祭司
[00:02:17.400 --> 00:02:19.120]  他們是熟悉天文
[00:02:19.120 --> 00:02:20.960]  熟悉星座
