
[00:00:00.000 --> 00:00:03.000]  剛纔的詩歌提醒我們
[00:00:03.000 --> 00:00:06.000]  非倚靠勢力才能,乃是倚靠
[00:00:06.000 --> 00:00:09.000]  耶和華的靈方能成事。我們先一起來禱告
[00:00:09.000 --> 00:00:12.000]  親愛的天父
[00:00:12.000 --> 00:00:15.000]  求禰開啓我們的眼睛
[00:00:15.000 --> 00:00:18.000]  求禰的靈來光照我們的心靈
[00:00:18.000 --> 00:00:21.000]  主耶穌,我們願意多結出
[00:00:21.000 --> 00:00:24.000]  聖靈的果子。今天就求禰來
[00:00:24.000 --> 00:00:27.000]  幫助我們,來幫助我們多結良善的果子
[00:00:27.000 --> 00:00:30.000]  來幫助我們,開啓我們的心眼
[00:00:30.000 --> 00:00:33.000]  讓我們可以聽到禰所
[00:00:33.000 --> 00:00:36.000]  讓我們所講的話語。主耶穌
[00:00:36.000 --> 00:00:39.000]  就願禰與我們同在,願禰的靈在我們
[00:00:39.000 --> 00:00:42.000]  當中動功,願禰的旨意運行在
[00:00:42.000 --> 00:00:45.000]  這裏,如同運行在天上。謝謝主
[00:00:45.000 --> 00:00:48.000]  聽我們的禱告,奉耶穌基督的名
[00:00:48.000 --> 00:00:51.000]  阿們。好,今天我們的主題
[00:00:51.000 --> 00:00:54.000]  是多結良善的果子。首先呢
[00:00:54.000 --> 00:00:57.000]  我要跟大家講一個故事。這個故事呢
[00:00:57.000 --> 00:01:00.000]  是一個兒童繪本故事
[00:01:00.000 --> 00:01:03.000]  是講給小朋友聽的,但是我在想
[00:01:03.000 --> 00:01:06.000]  講給我們大人也同樣適合聽
[00:01:06.000 --> 00:01:09.000]  從前呢,有一個村子
[00:01:09.000 --> 00:01:12.000]  叫愛美克村
[00:01:12.000 --> 00:01:15.000]  村子裏呢,住着一羣人
[00:01:15.000 --> 00:01:18.000]  他們是什麼人呢?他們全部是一羣木頭人
[00:01:18.000 --> 00:01:21.000]  就是他們的身體全部是木頭造的
[00:01:21.000 --> 00:01:24.000]  好像有小朋友聽過這個
[00:01:24.000 --> 00:01:27.000]  好像每一個木頭人呢,都長得不一樣
[00:01:27.000 --> 00:01:30.000]  有的是大鼻子
[00:01:30.000 --> 00:01:33.000]  有的是眼睛很大,有的一個眼睛大
[00:01:33.000 --> 00:01:36.000]  有的一個眼睛小。他們做什麼呢?
[00:01:36.000 --> 00:01:39.000]  他們每天只做一件事
[00:01:39.000 --> 00:01:42.000]  就是互相貼貼紙
[00:01:42.000 --> 00:01:45.000]  那每一個人呢,都有兩盒貼紙
[00:01:45.000 --> 00:01:48.000]  一盒是星星貼紙
[00:01:48.000 --> 00:01:51.000]  一盒是灰點點貼紙
[00:01:51.000 --> 00:01:54.000]  他們每天在大街小巷裏呢
[00:01:54.000 --> 00:01:57.000]  就給遇到的人貼貼紙
[00:01:57.000 --> 00:02:00.000]  看到那些木質光滑,尤其顏色很漂亮的
[00:02:00.000 --> 00:02:03.000]  就給他們貼上星星貼紙
[00:02:03.000 --> 00:02:06.000]  看到那些很有才能的人
[00:02:06.000 --> 00:02:09.000]  上懂天文,下懂地理
[00:02:09.000 --> 00:02:12.000]  又能跳得很高,或者是力氣很大
[00:02:12.000 --> 00:02:15.000]  可以把木棍舉上頭頂的
