
[00:00:00.000 --> 00:00:04.440]  我們先看看二十六章經文的分段
[00:00:04.440 --> 00:00:09.800]  二十六章開始看到耶穌寓言自己被釘十字架
[00:00:09.800 --> 00:00:14.760]  而祭司長亦開始相依捉拿去殺害耶穌
[00:00:14.760 --> 00:00:21.920]  然後馬太記錄了瑪利亞用很貴重的香膏去告末耶穌
[00:00:21.920 --> 00:00:26.320]  然後就來到今天我們所分享的十四至三十五節
[00:00:26.320 --> 00:00:31.320]  裏面包含了猶大預計的預謀去出賣耶穌
[00:00:31.320 --> 00:00:35.640]  然後耶穌與門徒一起安排禦節的晚餐
[00:00:35.640 --> 00:00:37.600]  然後在禦節的晚餐裏面
[00:00:37.600 --> 00:00:40.200]  耶穌寓言自己將會被賣
[00:00:40.200 --> 00:00:43.160]  並且預言賣祂的人
[00:00:43.160 --> 00:00:47.480]  然後耶穌就在禦節的晚餐裏面
[00:00:47.480 --> 00:00:51.800]  與門徒一起設立聖餐和領聖餐
[00:00:51.800 --> 00:00:55.800]  亦預告之後門徒會跌倒、分散
[00:00:55.800 --> 00:00:57.800]  然後到耶穌復活的時候
[00:00:57.800 --> 00:00:59.640]  他們再度聚集
[00:00:59.640 --> 00:01:03.400]  然後最後幾節的經文提到
[00:01:03.400 --> 00:01:07.360]  耶穌預言彼得會三次不認耶穌
[00:01:07.360 --> 00:01:11.120]  剛才提到耶穌給我們的恩典是白白的
[00:01:11.120 --> 00:01:15.160]  但祂同樣地亦給我們人有一個自由的選擇
[00:01:15.160 --> 00:01:18.360]  這份禮物你要還是不要
[00:01:18.360 --> 00:01:20.840]  你可以選擇要,你可以選擇不要
[00:01:20.840 --> 00:01:25.280]  耶穌的兩個門徒出現了有兩個不同的選擇
[00:01:25.280 --> 00:01:28.360]  亦產生了兩個不同的結局
[00:01:28.360 --> 00:01:33.560]  今天的主題是耶穌設立聖餐
[00:01:33.560 --> 00:01:37.080]  但我們首先看看兩個門徒的分別
[00:01:37.080 --> 00:01:41.040]  第一,我們看看猶大預備出賣耶穌
[00:01:41.040 --> 00:01:44.960]  在二十六章的十四至十六節和二十五節
[00:01:44.960 --> 00:01:46.600]  我們一起讀出經文
[00:01:46.600 --> 00:01:52.040]  「當下十二個門徒裡有一個稱為加略人猶大的
[00:01:52.040 --> 00:01:56.240]  去見祭司長說我把他交給你們
[00:01:56.240 --> 00:01:59.080]  你們願意給我多少錢
[00:01:59.080 --> 00:02:01.960]  他們就給了他三十塊錢
