
[00:00:00.000 --> 00:00:03.200]  彼得前書第四章第十節
[00:00:03.200 --> 00:00:05.500]  這一節的聖經我們一同來唸
[00:00:05.500 --> 00:00:09.300]  個人要照所得的恩賜彼此服侍
[00:00:09.300 --> 00:00:12.000]  做神百般恩賜的好管家
[00:00:12.000 --> 00:00:13.000]  再讀一遍來
[00:00:13.000 --> 00:00:17.400]  個人要照所得的恩賜彼此服侍
[00:00:17.400 --> 00:00:20.100]  做神百般恩賜的好管家
[00:00:20.100 --> 00:00:22.100]  我們就讀到這裡
[00:00:22.100 --> 00:00:25.800]  這些年當我在服侍神的過程當中
[00:00:25.800 --> 00:00:30.400]  我越來越看見教會的重要性
[00:00:30.400 --> 00:00:34.300]  教會需要先被建造起來
[00:00:34.300 --> 00:00:39.600]  然後每一個信徒才能夠在其中被建造起來
[00:00:39.600 --> 00:00:43.700]  你知道過去中國教會常有一種錯誤的觀念
[00:00:43.700 --> 00:00:48.300]  那就是我們比較注重的是個人靈命的追求
[00:00:48.300 --> 00:00:53.100]  我們比較注重我們個人與主關係的一個建立
[00:00:53.100 --> 00:00:56.900]  我們很少注重教會的建造
[00:00:56.900 --> 00:00:59.600]  以至於在中國的教會當中
[00:00:59.600 --> 00:01:03.700]  你常常會看見一些很好的基督徒
[00:01:03.700 --> 00:01:05.700]  非常的進錢
[00:01:05.700 --> 00:01:07.700]  有非常好的生命
[00:01:07.700 --> 00:01:10.700]  生活非常有榜樣
[00:01:10.700 --> 00:01:14.700]  但教會卻沒有被建造起來
[00:01:14.700 --> 00:01:16.200]  所以在中國教會當中
[00:01:16.200 --> 00:01:20.100]  你很少看見一些強而有力的教會
[00:01:20.100 --> 00:01:25.700]  我們也看不見教會在社區當中能夠帶來怎麼樣的影響力
[00:01:25.700 --> 00:01:29.100]  但事實上今天神的心意
[00:01:29.100 --> 00:01:32.200]  不但是要得著更多的基督徒
[00:01:32.200 --> 00:01:34.900]  或是更好的基督徒
[00:01:34.900 --> 00:01:40.200]  神的心意乃是要興起一個有使命的群體
[00:01:40.200 --> 00:01:43.700]  來有效的影響世界
[00:01:43.700 --> 00:01:44.700]  我再次說
[00:01:44.700 --> 00:01:48.900]  神的心意不但是要得著更多的基督徒
[00:01:48.900 --> 00:01:52.200]  或者是更好的基督徒
[00:01:52.200 --> 00:01:58.900]  神的心意是要興起一個有使命的群體
[00:01:58.900 --> 00:02:01.000]  來有效的影響世界
