
[00:00:00.000 --> 00:00:02.000]  軍專的祭司
[00:00:02.000 --> 00:00:08.000]  西區浸信會都是浸信會的會友
[00:00:08.000 --> 00:00:11.000]  是不是回浸信會的?
[00:00:11.000 --> 00:00:13.000]  今天我們看到有些新來賓
[00:00:13.000 --> 00:00:15.000]  可能有些未必是回浸信會的
[00:00:15.000 --> 00:00:17.000]  浸信會的信徒
[00:00:17.000 --> 00:00:21.000]  我們很貫徹宗教改革的一些傳統
[00:00:21.000 --> 00:00:26.000]  今年是宗教改革的第五百年
[00:00:26.000 --> 00:00:29.000]  馬丁路德改革的時候
[00:00:29.000 --> 00:00:33.000]  將過往在天主教會
[00:00:33.000 --> 00:00:34.000]  基督教會
[00:00:34.000 --> 00:00:37.000]  其實天主教會都是屬於基督的教會
[00:00:37.000 --> 00:00:39.000]  不過到了中古世紀的時候
[00:00:39.000 --> 00:00:43.000]  就有很多黑暗腐敗
[00:00:43.000 --> 00:00:46.000]  其實我們每個信耶穌的人
[00:00:46.000 --> 00:00:48.000]  當主耶穌基督復活升天
[00:00:48.000 --> 00:00:51.000]  我們作為主耶穌基督的門徒
[00:00:51.000 --> 00:00:55.000]  我們一定更加確信
[00:00:55.000 --> 00:00:58.000]  耶穌是神的兒子
[00:00:58.000 --> 00:01:00.000]  因為祂復活升天
[00:01:00.000 --> 00:01:02.000]  我們這一班屬祂的人
[00:01:02.000 --> 00:01:06.000]  就義無反顧去跟隨
[00:01:06.000 --> 00:01:08.000]  但是教會歷史的發展
[00:01:08.000 --> 00:01:10.000]  從初期教會一班門徒
[00:01:10.000 --> 00:01:11.000]  他們很單純
[00:01:11.000 --> 00:01:15.000]  要去傳揚主耶穌基督的救恩
[00:01:15.000 --> 00:01:17.000]  祂的福音
[00:01:17.000 --> 00:01:21.000]  一直傳十二個門徒
[00:01:21.000 --> 00:01:23.000]  然後設立不同的教會
[00:01:23.000 --> 00:01:25.000]  繼續去發展
[00:01:25.000 --> 00:01:29.000]  但是到了中古世紀的時候
[00:01:29.000 --> 00:01:31.000]  教會的腐敗
[00:01:31.000 --> 00:01:34.000]  馬丁路德就去改革教會
[00:01:34.000 --> 00:01:39.000]  成為今天基督教會的一員
[00:01:39.000 --> 00:01:41.000]  弟兄姊妹
[00:01:41.000 --> 00:01:43.000]  我們應該要知道
[00:01:43.000 --> 00:01:46.000]  原來浸信會
[00:01:46.000 --> 00:01:51.000]  在美國是最多信徒的教會
[00:01:51.000 --> 00:01:52.000]  當然這幾年
[00:01:52.000 --> 00:01:57.000]  聽說信徒的數字都是下跌
[00:01:57.000 --> 00:01:59.000]  在香港浸信教會
[00:01:59.000 --> 00:02:03.000]  仍然是最多信徒的教會
[00:02:03.000 --> 00:02:09.000]  但是好像發展也不是很快
[00:02:09.000 --> 00:02:12.000]  我們就會想究竟是什麼原因
[00:02:12.000 --> 00:02:16.000]  我們作為浸信會的一份子
[00:02:16.000 --> 00:02:21.000]  我們怎樣去持守主耶穌基督
[00:02:21.000 --> 00:02:24.000]  祂復活升天給我們的救恩
[00:02:24.000 --> 00:02:25.000]  所以在《金糖道》
[00:02:25.000 --> 00:02:28.000]  起碼有幾樣我們一定要知道
[00:02:28.000 --> 00:02:29.000]  第一
[00:02:29.000 --> 00:02:32.000]  原來藉著主的道
[00:02:32.000 --> 00:02:34.000]  祂要我們去長進
[00:02:34.000 --> 00:02:36.000]  我們在生活、在行為裏面
[00:02:36.000 --> 00:02:38.000]  要長進
[00:02:38.000 --> 00:02:40.000]  第二就是
[00:02:40.000 --> 00:02:43.000]  藉主耶穌基督的犧牲
[00:02:43.000 --> 00:02:45.000]  其實你和我都已經蒙餘立了
[00:02:45.000 --> 00:02:48.000]  因為我們以前是有罪的
[00:02:48.000 --> 00:02:49.000]  我們是潑逆神的
[00:02:49.000 --> 00:02:50.000]  我們是不認識神的
[00:02:50.000 --> 00:02:53.000]  主耶穌基督的救恩、祂的犧牲
[00:02:53.000 --> 00:02:57.000]  叫我們得蒙餘立
[00:02:57.000 --> 00:02:59.000]  然後我們被揀選
[00:02:59.000 --> 00:03:00.000]  有一個身份
[00:03:00.000 --> 00:03:03.000]  我們都是作君尊的祭司
[00:03:03.000 --> 00:03:05.000]  在這個職事裏面
[00:03:05.000 --> 00:03:09.000]  我們藉此要傳揚福音
[00:03:09.000 --> 00:03:12.000]  所以我們就要問
[00:03:12.000 --> 00:03:17.000]  今天我們作為基督徒應該怎樣
[00:03:17.000 --> 00:03:21.000]  昔日彼得寫這封書信的時候
[00:03:21.000 --> 00:03:25.000]  被散居在小亞細亞的一幫基督徒
[00:03:25.000 --> 00:03:32.000]  在當時他們是在一個受迫害、受苦的處境
[00:03:32.000 --> 00:03:35.000]  彼得要鼓勵他們
[00:03:35.000 --> 00:03:38.000]  鼓勵他們要在生活、行為上
[00:03:38.000 --> 00:03:45.000]  有一個表現去活出基督徒應該有的樣式
[00:03:45.000 --> 00:03:49.000]  所以大家去讀第二章第一節的時候
[00:03:49.000 --> 00:03:52.000]  在這裏開始
[00:03:52.000 --> 00:03:53.000]  就是「所以」
[00:03:53.000 --> 00:03:56.000]  「所以」我們要除去一切惡毒
[00:03:56.000 --> 00:03:58.000]  「所以」是在說什麼呢?
[00:03:58.000 --> 00:04:03.000]  我們必須要看回第一章二十五節
[00:04:03.000 --> 00:04:07.000]  「唯有主的道永遠常傳
[00:04:07.000 --> 00:04:12.000]  這話就是傳給你們的福音」
[00:04:12.000 --> 00:04:19.000]  這個福音講述原來主的道是要常傳的
[00:04:19.000 --> 00:04:22.000]  常傳的意思是指什麼呢?
[00:04:22.000 --> 00:04:26.000]  是要直到永恆、直到永遠
[00:04:26.000 --> 00:04:30.000]  但是我們又怎樣呢?
[00:04:30.000 --> 00:04:35.000]  在二章一節就講述
[00:04:35.000 --> 00:04:43.000]  「所以」你們要除去一切惡毒
[00:04:43.000 --> 00:04:44.000]  看回我們自己
[00:04:44.000 --> 00:04:47.000]  看回我們未信和今天我們信了耶穌
[00:04:47.000 --> 00:04:50.000]  有沒有什麼的差別
[00:04:50.000 --> 00:04:55.000]  我們或許要在鏡子裏面看一看自己
[00:04:55.000 --> 00:04:57.000]  今天大家照了鏡子沒有?
[00:04:57.000 --> 00:04:59.000]  有沒有照鏡子?
[00:04:59.000 --> 00:05:06.000]  有的,雖然臉應該梳一下頭才出來照鏡
[00:05:06.000 --> 00:05:12.000]  照鏡子,你望一望鏡子,看看你自己
[00:05:12.000 --> 00:05:14.000]  一望鏡子的時候
[00:05:14.000 --> 00:05:19.000]  你看到你的自己和別人看你不一樣
[00:05:19.000 --> 00:05:22.000]  明白我的意思嗎?
[00:05:22.000 --> 00:05:26.000]  你照鏡子一望,望左邊的臉
[00:05:26.000 --> 00:05:28.000]  在鏡子的左邊
[00:05:28.000 --> 00:05:33.000]  但是人家望你,你的左邊是他的右邊
[00:05:33.000 --> 00:05:37.000]  很亂嗎?
[00:05:37.000 --> 00:05:42.000]  總之別人望你和你自己望自己是不一樣的
[00:05:42.000 --> 00:05:45.000]  當我們在鏡子裏面望自己的時候
[00:05:45.000 --> 00:05:50.000]  有時候我們望自己有些東西是不一樣的
[00:05:50.000 --> 00:05:58.000]  思想一下自己在這裏有沒有什麼的罪惡
[00:05:58.000 --> 00:06:01.000]  其實這一節彼得所提的
