
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹,願你們平安。
[00:00:03.000 --> 00:00:07.000]  在今天的護教主日,我想和大家思想一個問題,
[00:00:07.000 --> 00:00:11.000]  為什麼神會容許世上有苦難?
[00:00:11.000 --> 00:00:15.000]  這個問題,不知道在這裡的弟兄姊妹,
[00:00:15.000 --> 00:00:18.000]  有哪些人曾經被一些非基督徒問過?
[00:00:18.000 --> 00:00:22.000]  有沒有?我看到有很多人舉手。
[00:00:22.000 --> 00:00:26.000]  很多反對基督教的人,都會用這個問題,
[00:00:26.000 --> 00:00:29.000]  去質疑基督徒所信的神。
[00:00:29.000 --> 00:00:33.000]  他們說,你們不是說神愛世人嗎?
[00:00:33.000 --> 00:00:37.000]  你們不是說神是全能的嗎?
[00:00:37.000 --> 00:00:41.000]  如果神是全能的話,又愛世上的人,
[00:00:41.000 --> 00:00:44.000]  為什麼祂會容許世上有苦難?
[00:00:44.000 --> 00:00:50.000]  現在世上有苦難,不是已經否定了神的存在嗎?
[00:00:50.000 --> 00:00:54.000]  為什麼神會容許苦難?這個問題,
[00:00:54.000 --> 00:00:57.000]  不僅是非基督徒問,
[00:00:57.000 --> 00:01:00.000]  有很多信了主很多年的基督徒,
[00:01:00.000 --> 00:01:03.000]  也會問同樣的問題。
[00:01:03.000 --> 00:01:06.000]  不知道在這裡的弟兄姊妹,
[00:01:06.000 --> 00:01:09.000]  有哪些人自己曾經問過這個問題?
[00:01:09.000 --> 00:01:14.000]  有沒有?有人舉手。
[00:01:14.000 --> 00:01:18.000]  在1992年6月18日,
[00:01:18.000 --> 00:01:22.000]  我和很多在美國德州Dallas,
[00:01:22.000 --> 00:01:25.000]  基督徒中國教會的弟兄姊妹,
[00:01:25.000 --> 00:01:29.000]  都是哭著問神這個問題。
[00:01:29.000 --> 00:01:33.000]  在那天,教會一群年輕人,
[00:01:33.000 --> 00:01:37.000]  坐著三輛巴士去下令會。
[00:01:37.000 --> 00:01:42.000]  在途中,其中一輛巴士被碎泥車撞到,
[00:01:42.000 --> 00:01:44.000]  之後著火。
[00:01:44.000 --> 00:01:48.000]  其中有四個年輕人和一個導師死了。
[00:01:48.000 --> 00:01:51.000]  另外還有十個青年人受重傷。
[00:01:51.000 --> 00:01:54.000]  其中包括兩個牧師的女兒。
[00:01:54.000 --> 00:01:57.000]  在去世的年輕人裡面,
[00:01:57.000 --> 00:02:01.000]  有些在教會有很好的侍奉。
[00:02:01.000 --> 00:02:03.000]  我們不明白,也不願意接受,
[00:02:03.000 --> 00:02:07.000]  為什麼神會容許這件事發生。
[00:02:07.000 --> 00:02:09.000]  神不是全能的嗎?
[00:02:09.000 --> 00:02:11.000]  不是會保護那些年輕人嗎?
[00:02:11.000 --> 00:02:14.000]  神不是愛我們的神嗎?
[00:02:14.000 --> 00:02:17.000]  不是更加會保護外面的年輕人嗎?
[00:02:17.000 --> 00:02:21.000]  為什麼?
[00:02:21.000 --> 00:02:24.000]  在之後的五個安息禮拜裡面,
[00:02:24.000 --> 00:02:28.000]  教會的主任牧師,禮學牧師,
[00:02:28.000 --> 00:02:30.000]  沒有回答這個問題。
[00:02:30.000 --> 00:02:32.000]  在他講道的時候,
[00:02:32.000 --> 00:02:36.000]  很多次都一不成聲。
