
[00:00:00.000 --> 00:00:03.000]  今日我們分享的經文
[00:00:03.000 --> 00:00:05.500]  剛才鄧志廣弟兄為我們讀出
[00:00:05.500 --> 00:00:10.000]  是記載在列王記下第五章一至十四節
[00:00:10.000 --> 00:00:12.000]  同樣我們見到一個
[00:00:12.000 --> 00:00:15.000]  不信神的外邦人乃曼
[00:00:15.000 --> 00:00:17.000]  他怎樣去經歷神的醫治
[00:00:17.000 --> 00:00:19.000]  經歷神的恩典的一個故事
[00:00:19.000 --> 00:00:24.000]  今日很想和大家藉著乃曼得醫治乃曼
[00:00:24.000 --> 00:00:26.000]  去信著這個故事裏面
[00:00:26.000 --> 00:00:28.000]  同樣看看神是怎樣
[00:00:28.000 --> 00:00:31.000]  在人的生命裏面成就祂的作為
[00:00:31.000 --> 00:00:34.000]  我們在第一至三節裏面
[00:00:34.000 --> 00:00:36.000]  我們見到經文出現了兩個
[00:00:36.000 --> 00:00:38.000]  很強弱懸殊的國家
[00:00:38.000 --> 00:00:41.000]  一個就是阿蘭 一個就是以色列
[00:00:41.000 --> 00:00:45.000]  阿蘭國其實是一個很強大的國家
[00:00:45.000 --> 00:00:48.000]  而當時的以色列國其實是一個戰敗國
[00:00:48.000 --> 00:00:50.000]  歷史裏面告訴我們
[00:00:50.000 --> 00:00:52.000]  原來上一代的以色列王阿哈
[00:00:52.000 --> 00:00:56.000]  就是死在當時阿蘭王的手裏面
[00:00:56.000 --> 00:01:00.000]  所以當一個國家受制於一個強國的時候
[00:01:00.000 --> 00:01:03.000]  其實我相信以色列都不會有好日子過
[00:01:03.000 --> 00:01:08.000]  以色列在當時也是受著阿蘭國不斷的侵擾
[00:01:08.000 --> 00:01:12.000]  兩個國家勢力很懸殊
[00:01:12.000 --> 00:01:15.000]  而我們同樣見到有兩個人物
[00:01:15.000 --> 00:01:18.000]  他們的地位也都很懸殊
[00:01:18.000 --> 00:01:21.000]  一個就是大元帥 一個就是小女孩
[00:01:21.000 --> 00:01:26.000]  這個小女孩就是在以色列裏面被人擄去
[00:01:26.000 --> 00:01:29.000]  去到阿蘭國 去到一個阿蘭王
[00:01:29.000 --> 00:01:32.000]  一個乃曼的主帥裏面做一個小婢女
[00:01:32.000 --> 00:01:35.000]  她無權無勢 也都無依無靠
[00:01:35.000 --> 00:01:39.000]  她的生命就掌握在她的主母手裏面
[00:01:39.000 --> 00:01:42.000]  而這個大元帥 聖經告訴我們
[00:01:42.000 --> 00:01:43.000]  她是一個大人物
[00:01:43.000 --> 00:01:46.000]  她是國防部最高的負責人
[00:01:46.000 --> 00:01:48.000]  打贏了很多場的硬仗
[00:01:48.000 --> 00:01:54.000]  她有勇有謀 也都受到她上司很多的賞識和體寵
[00:01:54.000 --> 00:01:59.000]  可以說她是位高權重 一人之下萬人之上
[00:01:59.000 --> 00:02:03.000]  富貴榮華 風光 我們想像到都是一時無量
[00:02:03.000 --> 00:02:06.000]  但是這個我們看來位高權重
[00:02:06.000 --> 00:02:09.000]  甚至乎是威風冧冧的一個大元帥
[00:02:09.000 --> 00:02:14.000]  她生命裏面 她在這個時刻患上了大麻風
[00:02:14.000 --> 00:02:19.000]  大麻風其實在當時可以說是一種很難治好的皮膚病
[00:02:19.000 --> 00:02:23.000]  甚至乎在當時近東的國家裏面
[00:02:23.000 --> 00:02:26.000]  患大麻風甚至乎是要被隔離
[00:02:26.000 --> 00:02:29.000]  不能夠被當時的社群所接受
[00:02:29.000 --> 00:02:33.000]  一個大元帥生命裏面患了一個大麻風
[00:02:33.000 --> 00:02:37.000]  但是當這個小女孩知道她的主人患大麻風的時候
[00:02:37.000 --> 00:02:40.000]  這個小女孩竟然說了一句話
[00:02:40.000 --> 00:02:46.000]  巴不得我的主人可以去撒瑪利亞見那位先知
[00:02:46.000 --> 00:02:49.000]  我相信她一定能夠治好主人的病
[00:02:49.000 --> 00:02:52.000]  一個大人物 威風冧冧
[00:02:52.000 --> 00:02:56.000]  患了這個大麻風 患了這個不治之症
[00:02:56.000 --> 00:02:59.000]  古貴她應該都試了很多的方法
[00:02:59.000 --> 00:03:03.000]  但是她卻到最後竟然要透過一個小女孩的說話
[00:03:03.000 --> 00:03:06.000]  透過一個很卑微的生命
[00:03:06.000 --> 00:03:10.000]  在人看來看不起的一個小女孩的一句話
[00:03:10.000 --> 00:03:14.000]  才得到醫治 才找到醫治的方法
[00:03:14.000 --> 00:03:17.000]  我想今天的世界經常都告訴我們
[00:03:17.000 --> 00:03:22.000]  有名有望要成就超然才能夠得人的注目
[00:03:22.000 --> 00:03:23.000]  得人的欣賞
[00:03:23.000 --> 00:03:27.000]  世界告訴我們我們要有學識 有權勢
[00:03:27.000 --> 00:03:31.000]  我們做基督徒有時候都很容易受這種價值觀去影響
[00:03:31.000 --> 00:03:32.000]  去分逃
[00:03:32.000 --> 00:03:35.000]  有時候我們見到一些有名有望的人
[00:03:35.000 --> 00:03:38.000]  我們的眼睛就像閃閃發光
[00:03:38.000 --> 00:03:40.000]  覺得他們說的一些說話
[00:03:40.000 --> 00:03:42.000]  可能很簡單
[00:03:42.000 --> 00:03:44.000]  你都會覺得他們特別有份量
[00:03:44.000 --> 00:03:46.000]  特別有重量一樣
[00:03:46.000 --> 00:03:49.000]  我們覺得彷彿是這些有份量的人
[00:03:49.000 --> 00:03:52.000]  有權有勢 有名有望的人
[00:03:52.000 --> 00:03:55.000]  他們身上好像有光環在他們身上出現
[00:03:55.000 --> 00:03:57.000]  我們覺得這樣才像樣
[00:03:57.000 --> 00:03:59.000]  這樣才是好東西
[00:03:59.000 --> 00:04:03.000]  我們很容易都看輕一些身份卑微的人
[00:04:03.000 --> 00:04:07.000]  但是經文在這裡卻告訴我們
