
[00:00:00.000 --> 00:00:02.000]  丁姊妹早晨
[00:00:02.000 --> 00:00:04.000]  今日能夠跟大家一起
[00:00:04.000 --> 00:00:07.000]  在聖餐主日去分享訊息
[00:00:07.000 --> 00:00:09.000]  這個都是我心裏面
[00:00:09.000 --> 00:00:12.000]  一個很期盼的一個機會
[00:00:12.000 --> 00:00:15.000]  今日我想跟大家講聖餐
[00:00:15.000 --> 00:00:17.000]  大家我相信作為基督徒
[00:00:17.000 --> 00:00:19.000]  你都明白什麼叫聖餐
[00:00:19.000 --> 00:00:21.000]  不需要我解釋
[00:00:21.000 --> 00:00:22.000]  不過可能在心裏面
[00:00:22.000 --> 00:00:23.000]  都是在想一個問題
[00:00:23.000 --> 00:00:25.000]  為什麼我們基督徒
[00:00:25.000 --> 00:00:28.000]  是要定期舉行聖餐禮呢
[00:00:28.000 --> 00:00:30.000]  一個月一次
[00:00:30.000 --> 00:00:33.000]  有些教會每個禮拜都有
[00:00:33.000 --> 00:00:34.000]  為什麼要舉行這麼多
[00:00:34.000 --> 00:00:36.000]  究竟是什麼意思呢
[00:00:36.000 --> 00:00:39.000]  好,如果我們要明白這個意義
[00:00:39.000 --> 00:00:42.000]  我們要回到
[00:00:42.000 --> 00:00:46.000]  耶穌基督最後的晚餐那一晚
[00:00:46.000 --> 00:00:49.000]  來看看這個事件
[00:00:49.000 --> 00:00:52.000]  原來今天我們去守聖餐
[00:00:52.000 --> 00:00:54.000]  是按照耶穌基督
[00:00:54.000 --> 00:00:58.000]  在祂最後晚餐的吩咐裏面來做的
[00:00:58.000 --> 00:01:00.000]  那最後晚餐是何時呢
[00:01:00.000 --> 00:01:02.000]  我相信你看聖經都會知道
[00:01:02.000 --> 00:01:04.000]  就是耶穌基督就是上十字架了
[00:01:04.000 --> 00:01:06.000]  最後那一晚祂和門徒一起
[00:01:06.000 --> 00:01:08.000]  吃如預節的晚餐
[00:01:08.000 --> 00:01:10.000]  然後之後祂就去
[00:01:10.000 --> 00:01:11.000]  赫薩瑪麗園祈禱
[00:01:11.000 --> 00:01:12.000]  然後被人捉
[00:01:12.000 --> 00:01:14.000]  就去釘十字架了
