
[00:00:00.000 --> 00:00:03.980]  恭祝大家新年快樂 身體健康
[00:00:03.980 --> 00:00:05.860]  特別是我自己
[00:00:05.860 --> 00:00:11.500]  對提醒自己的座右銘有幾句說話
[00:00:11.500 --> 00:00:14.980]  我覺得很寶貴的 也跟你們分享
[00:00:14.980 --> 00:00:18.580]  我叫這個叫「靜觀覺醒」
[00:00:18.580 --> 00:00:22.740]  我們靜觀很多的事情 靜觀上帝的工作
[00:00:22.740 --> 00:00:25.420]  時常在生命裏面有覺醒
[00:00:25.420 --> 00:00:26.920]  一心主在
[00:00:26.920 --> 00:00:30.200]  無論我們的心怎樣分心其他的事情
[00:00:30.200 --> 00:00:34.320]  但一定要時常回到主裏面
[00:00:34.320 --> 00:00:36.320]  一心主在
[00:00:36.320 --> 00:00:38.320]  清心寡慾
[00:00:38.320 --> 00:00:41.560]  慢慢發覺到很多的痛苦
[00:00:41.560 --> 00:00:45.000]  很多我們人的執著
[00:00:45.000 --> 00:00:48.180]  帶來給我們很多的煩惱
[00:00:48.180 --> 00:00:51.640]  很多的痛苦 所以最好清心寡慾
[00:00:51.640 --> 00:00:55.320]  但最終是會誤神性
[00:00:55.320 --> 00:00:59.200]  我們能夠親近主是最寶貴的
[00:00:59.200 --> 00:01:02.120]  所以但願神都這樣提醒 祝福大家
[00:01:02.120 --> 00:01:04.120]  我們一起祈禱
[00:01:04.120 --> 00:01:06.840]  親愛的天父 願意祢自己的聖靈
[00:01:06.840 --> 00:01:10.440]  透過祢寶貴的話語對我們說話
[00:01:10.440 --> 00:01:15.240]  深深地將祢的話放在我們裏面
[00:01:15.240 --> 00:01:18.800]  變成我們裏面的養分
[00:01:18.800 --> 00:01:24.680]  變成我們生命的一些營養
[00:01:24.680 --> 00:01:28.120]  祢叫我們不斷地成長
[00:01:28.120 --> 00:01:30.440]  讓我們教會弟兄姊妹
[00:01:30.440 --> 00:01:33.720]  時常默念主的話語
[00:01:33.720 --> 00:01:38.120]  被祢的話語更新而改變
[00:01:38.120 --> 00:01:41.440]  以致我們在性情
[00:01:41.440 --> 00:01:44.000]  在言談
[00:01:44.000 --> 00:01:46.480]  在我們和人相處
[00:01:46.480 --> 00:01:49.680]  在人生的方向
[00:01:49.680 --> 00:01:51.480]  都能夠把得住
[00:01:51.480 --> 00:01:54.880]  都能夠對準主
[00:01:54.880 --> 00:02:00.240]  讓我們意識到人生每一天都是寶貴
[00:02:00.240 --> 00:02:03.320]  因為人生是短暫的
[00:02:03.320 --> 00:02:05.400]  更加讓我們珍惜每一天
[00:02:05.400 --> 00:02:08.200]  每一年 每一個月
[00:02:08.200 --> 00:02:11.000]  求主自己的聖靈
[00:02:11.000 --> 00:02:14.320]  在我們當中今朝自由的運行
[00:02:14.320 --> 00:02:16.520]  讓我們明白主的話語
[00:02:16.520 --> 00:02:20.040]  奉主的宿命給我們
[00:02:20.040 --> 00:02:22.600]  好像聽起來我沒什麼力氣
[00:02:22.600 --> 00:02:25.080]  的確是發燒了幾天
[00:02:25.080 --> 00:02:28.960]  所以今天是第一天出門口
[00:02:28.960 --> 00:02:31.760]  不過應該快好了
[00:02:31.760 --> 00:02:33.920]  所以大家不要介意
[00:02:33.920 --> 00:02:36.080]  不過陰聲細氣好一點
[00:02:36.080 --> 00:02:41.800]  還有說得短一點也是好一點
[00:02:41.800 --> 00:02:45.200]  有一次有一個小弟弟
[00:02:45.200 --> 00:02:47.640]  一個青年人
[00:02:47.640 --> 00:02:52.560]  我講完道的時候 他說:牧師今天你講得很精彩
[00:02:52.560 --> 00:02:54.440]  我說:怎樣精彩?
[00:02:54.440 --> 00:02:57.680]  夠短
[00:02:57.680 --> 00:03:03.040]  我相信今天應該也挺精彩的
[00:03:03.040 --> 00:03:07.000]  這段經文是大家都很熟悉的
[00:03:07.000 --> 00:03:08.280]  不過
[00:03:08.280 --> 00:03:12.880]  聖經也是擺在我們面前很久了
[00:03:12.880 --> 00:03:14.800]  我們聽道也好 看聖經也好
[00:03:14.800 --> 00:03:17.040]  都看到很多次
[00:03:17.040 --> 00:03:19.800]  不過年紀慢慢長大
[00:03:19.800 --> 00:03:22.640]  少年人看的時候
[00:03:22.640 --> 00:03:25.760]  和青年人看的時候
[00:03:25.760 --> 00:03:29.800]  單身看的時候和結了婚看的時候
[00:03:29.800 --> 00:03:33.560]  都有些不同
[00:03:33.560 --> 00:03:36.920]  特別當你看《雅歌書》
[00:03:36.920 --> 00:03:39.120]  The Song of Songs
[00:03:39.120 --> 00:03:43.120]  講到良人和媳婦
[00:03:43.120 --> 00:03:47.280]  他們彼此的追求追逐
[00:03:47.280 --> 00:03:51.600]  青年人看的時候會很不同
[00:03:51.600 --> 00:03:54.600]  但結了婚之後又很不同
[00:03:54.600 --> 00:03:58.160]  所以神的話語很精彩
[00:03:58.160 --> 00:04:01.120]  我自從中學信儲之後
[00:04:01.120 --> 00:04:04.280]  我每天早上拿著神的話語
[00:04:04.280 --> 00:04:08.280]  讀完聖經 祈願土 我才上學
[00:04:08.280 --> 00:04:10.960]  我記得那時候中四
[00:04:10.960 --> 00:04:15.720]  在騎樓 我們一個小小的單位
[00:04:15.720 --> 00:04:17.320]  五兄弟姐妹
[00:04:17.320 --> 00:04:18.960]  我都很早起床
[00:04:18.960 --> 00:04:22.800]  祈禱 讀經 然後上學
[00:04:22.800 --> 00:04:24.120]  都是這樣
[00:04:24.120 --> 00:04:25.680]  直到如今
[00:04:25.680 --> 00:04:28.680]  我覺得聖經還是很寶貴
