
[00:00:00.000 --> 00:00:03.000]  我們繼續去看馬可福音
[00:00:03.000 --> 00:00:06.000]  我們上次...這次已經是第五次了
[00:00:06.000 --> 00:00:08.000]  第五次講馬可福音的時候
[00:00:08.000 --> 00:00:11.000]  大家都開始很熟悉背景
[00:00:11.000 --> 00:00:14.000]  上一次主日就講到
[00:00:14.000 --> 00:00:20.000]  講到耶穌去到一個地方的時候
[00:00:20.000 --> 00:00:25.000]  醫了一個患了血瘤病十二年的婦女
[00:00:25.000 --> 00:00:30.000]  然後叫醒了一個十二歲的小朋友 從死裡叫醒了
[00:00:30.000 --> 00:00:34.000]  耶穌就提醒我們 千萬只要相信不要怕
[00:00:34.000 --> 00:00:39.000]  我們在生命中其實很多環境都有怕
[00:00:39.000 --> 00:00:41.000]  還有缺乏信心的時間
[00:00:41.000 --> 00:00:43.000]  這次也不例外
[00:00:43.000 --> 00:00:45.000]  剛才大家所讀的經文當中
[00:00:45.000 --> 00:00:48.000]  原來那些門徒都是在學習當中
[00:00:48.000 --> 00:00:50.000]  所以我們給大家一個鼓勵
[00:00:50.000 --> 00:00:55.000]  暫時還是信心未足夠的時候 我們有個成長的空間
[00:00:55.000 --> 00:00:57.000]  好像教會今年的主題
[00:00:57.000 --> 00:01:00.000]  我們都是以邁向成熟為主題
[00:01:00.000 --> 00:01:04.000]  我們是做門徒成長的生命
[00:01:04.000 --> 00:01:09.000]  我們現在在程序表內頁也有個報告
[00:01:09.000 --> 00:01:11.000]  綠色字的報告就說
[00:01:11.000 --> 00:01:16.000]  我們看到教會現在主耶穌基督要我們做的事情
[00:01:16.000 --> 00:01:19.000]  主題就是這樣
[00:01:20.000 --> 00:01:22.000]  是以主耶穌基督為我們的榜樣
[00:01:22.000 --> 00:01:25.000]  如果你看我們會議的報告的時候
[00:01:25.000 --> 00:01:29.000]  我們的行動就是以主耶穌基督為我們的榜樣
[00:01:29.000 --> 00:01:31.000]  去造就門徒
[00:01:31.000 --> 00:01:34.000]  在學象更加像主耶穌基督
[00:01:34.000 --> 00:01:36.000]  我們看今天的經文當中
[00:01:36.000 --> 00:01:38.000]  原來他們看回上文下理
[00:01:38.000 --> 00:01:42.000]  看回之前我們上次看到第五章
[00:01:42.000 --> 00:01:45.000]  去到第六章的開頭的時候
[00:01:45.000 --> 00:01:49.000]  第六章的開頭其實有幾個故事發生了
[00:01:49.000 --> 00:01:53.000]  才去到我們剛才所謂讀的五餅二魚的故事
[00:01:53.000 --> 00:01:55.000]  首先在第六章的時候
