
[00:00:00.000 --> 00:00:05.580]  今天的講題是未完的最後晚餐
[00:00:05.580 --> 00:00:09.000]  在開始之前我想問大家一個簡單的問題
[00:00:09.000 --> 00:00:12.560]  這個問題就是
[00:00:12.560 --> 00:00:15.440]  如果要你準備一個很難忘的晚餐
[00:00:15.440 --> 00:00:19.400]  這個晚餐可能你要求婚的
[00:00:19.400 --> 00:00:21.400]  可能這個晚餐是
[00:00:21.400 --> 00:00:24.800]  你為一個好朋友他博士畢業了
[00:00:24.800 --> 00:00:26.180]  大學畢業了
[00:00:26.180 --> 00:00:27.480]  你為他準備
[00:00:27.480 --> 00:00:32.720]  或者這個晚餐你是為你的父母結婚50週年
[00:00:32.720 --> 00:00:37.360]  或者你的子女進了一個好學校
[00:00:37.360 --> 00:00:42.400]  你想請這班朋友去準備一個難忘的晚餐
[00:00:42.400 --> 00:00:44.000]  我不知道你會想起什麼
[00:00:44.000 --> 00:00:47.000]  想起什麼地方請什麼人
[00:00:47.000 --> 00:00:48.680]  裡面有什麼內容
[00:00:48.680 --> 00:00:50.160]  有什麼東西吃
[00:00:50.160 --> 00:00:52.840]  有什麼道具
[00:00:52.840 --> 00:00:57.760]  例如我記得上年當我們三個木案目有Ken 門
[00:00:57.760 --> 00:00:59.320]  有Tim 門
[00:00:59.320 --> 00:01:01.200]  有John 門案目的時候
[00:01:01.200 --> 00:01:03.000]  我記得很多弟兄姊妹
[00:01:03.000 --> 00:01:04.640]  無論這個教會還是別的教會
[00:01:04.640 --> 00:01:05.800]  我們神學院
[00:01:05.800 --> 00:01:07.520]  他們為我們準備很多東西
[00:01:07.520 --> 00:01:09.160]  童工有一個Banner
[00:01:09.160 --> 00:01:10.160]  一家幾口
[00:01:10.160 --> 00:01:11.880]  我們有案目的時間
[00:01:11.880 --> 00:01:14.400]  我記得我父母從加拿大回來
[00:01:14.400 --> 00:01:16.080]  我姐姐從澳洲回來
[00:01:16.080 --> 00:01:19.920]  很多個童工弟兄姊妹來參與
[00:01:19.920 --> 00:01:22.960]  而在那幾天有很多晚餐
