
[00:00:00.000 --> 00:00:04.000]  剛才我們讀了三節經文
[00:00:04.000 --> 00:00:09.000]  這三節經文其實是跟我們說兩個很重要的人生的問題
[00:00:09.000 --> 00:00:11.000]  第一個問題
[00:00:11.000 --> 00:00:14.000]  就是什麼是成就
[00:00:14.000 --> 00:00:16.000]  什麼是價值
[00:00:16.000 --> 00:00:18.000]  第二個問題
[00:00:18.000 --> 00:00:22.000]  就是哪一個有資格來做一個結論
[00:00:22.000 --> 00:00:25.000]  說我們的生命有價值還是沒有價值
[00:00:25.000 --> 00:00:29.000]  我們的人生有成就還是沒有成就
[00:00:29.000 --> 00:00:33.000]  兩個很重要的人生的問題
[00:00:33.000 --> 00:00:37.000]  在中國傳統文化裡的成就觀
[00:00:37.000 --> 00:00:40.000]  是所視為本的成就觀
[00:00:40.000 --> 00:00:43.000]  什麼是所視為本
[00:00:43.000 --> 00:00:46.000]  就是一個人覺得自己有沒有價值
[00:00:46.000 --> 00:00:51.000]  是在於他是一個怎樣的人
[00:00:51.000 --> 00:00:53.000]  他是一個怎樣的人
[00:00:53.000 --> 00:00:56.000]  所謂安貧樂道的思想
[00:00:56.000 --> 00:01:00.000]  就是說榮華富貴不是最重要的
[00:01:00.000 --> 00:01:02.000]  決定一個人有沒有價值
[00:01:02.000 --> 00:01:05.000]  而是你是不是一個有品德
[00:01:05.000 --> 00:01:07.000]  有道德有品格的人
[00:01:07.000 --> 00:01:10.000]  你是一個怎樣的人
[00:01:10.000 --> 00:01:14.000]  去決定你生命的價值和意義
[00:01:14.000 --> 00:01:18.000]  不過這是一個文化的理想
[00:01:18.000 --> 00:01:20.000]  很少真的落實
[00:01:20.000 --> 00:01:24.000]  事實上在中國人幾千年的歷史裡
[00:01:24.000 --> 00:01:26.000]  這個文化的理想
[00:01:26.000 --> 00:01:28.000]  尤其是儒家文化
[00:01:28.000 --> 00:01:30.000]  所視為本的價值觀
[00:01:30.000 --> 00:01:33.000]  事實上是很少落實
[00:01:33.000 --> 00:01:38.000]  很少人真的保持這種成就觀
[00:01:38.000 --> 00:01:40.000]  在中國人的社會裡
[00:01:40.000 --> 00:01:45.000]  真正產生力量去影響我們的成就觀
[00:01:45.000 --> 00:01:46.000]  價值觀
[00:01:46.000 --> 00:01:49.000]  其實是所屬為本
[00:01:49.000 --> 00:01:52.000]  什麼叫做所屬為本
[00:01:52.000 --> 00:01:55.000]  就是一個人覺得自己有沒有價值
[00:01:55.000 --> 00:01:59.000]  是在乎他屬於一個怎樣的群體
[00:01:59.000 --> 00:02:02.000]  屬於一個怎樣的家庭
[00:02:02.000 --> 00:02:04.000]  屬於一個怎樣的家族
[00:02:04.000 --> 00:02:06.000]  屬於一個怎樣的社區
[00:02:06.000 --> 00:02:07.000]  一個鄉鎮
[00:02:07.000 --> 00:02:13.000]  甚至是屬於一個怎樣的民族國家
[00:02:13.000 --> 00:02:16.000]  所以我們中國人的思想
[00:02:16.000 --> 00:02:19.000]  光宗耀祖很重要
[00:02:19.000 --> 00:02:21.000]  自己做一些事
[00:02:21.000 --> 00:02:24.000]  令自己的家族有面子
[00:02:24.000 --> 00:02:26.000]  很重要
