
[00:00:00.000 --> 00:00:02.540]  繼續講阿伯拉罕
[00:00:02.540 --> 00:00:06.540]  阿伯拉罕之前講了兩講
[00:00:06.540 --> 00:00:12.980]  上一次講到阿伯拉罕逃難去埃及
[00:00:12.980 --> 00:00:15.340]  因為加拿大沒有食物飢荒
[00:00:15.340 --> 00:00:18.140]  去到埃及的時候
[00:00:18.140 --> 00:00:22.000]  怎知道差不多連老婆都沒有了
[00:00:22.000 --> 00:00:25.540]  最後神出手拯救他
[00:00:25.540 --> 00:00:27.900]  他就脫離了危難
[00:00:27.900 --> 00:00:29.900]  最後回到加拿大
[00:00:29.900 --> 00:00:33.160]  回到他以前捉彈的地方
[00:00:33.160 --> 00:00:35.160]  再次求告耶和華
[00:00:35.160 --> 00:00:39.820]  虛驚一場搞了下去埃及
[00:00:39.820 --> 00:00:41.820]  搞了個禍出來
[00:00:41.820 --> 00:00:43.820]  回去的時候
[00:00:43.820 --> 00:00:45.320]  終於安頓下來
[00:00:45.320 --> 00:00:49.000]  再次平靜
[00:00:49.000 --> 00:00:53.420]  今次是繼上一次這個故事之後
[00:00:53.420 --> 00:00:55.420]  再看他回到加拿大
[00:00:55.420 --> 00:00:56.660]  發生了甚麽事
[00:00:56.660 --> 00:00:59.620]  今次的經文叫《創世紀十三章》
[00:00:59.620 --> 00:01:01.620]  五到十八節
[00:01:01.620 --> 00:01:06.820]  大家一起讀
[00:01:06.820 --> 00:01:14.020]  與阿伯拿同行的羅德也有強群
[00:01:14.020 --> 00:01:16.620]  那地容不下他們
[00:01:16.620 --> 00:01:19.820]  因為他們的財物甚多
[00:01:19.820 --> 00:01:22.220]  與他們不能同居
[00:01:22.220 --> 00:01:27.820]  當時加拿人與比利西人在那地居住
[00:01:27.820 --> 00:01:32.420]  阿伯拿的牧人和羅德的牧人相爭
[00:01:32.420 --> 00:01:35.220]  阿伯拿就對羅德說
[00:01:35.220 --> 00:01:37.620]  你我不可相爭
[00:01:37.620 --> 00:01:41.820]  你的牧人和我的牧人也不可相爭
[00:01:41.820 --> 00:01:44.220]  因為我們是骨肉
[00:01:44.220 --> 00:01:47.820]  天地不都在你眼前嗎
[00:01:47.820 --> 00:01:49.820]  請你離開我
[00:01:49.820 --> 00:01:52.620]  你向左,我就向右
[00:01:52.620 --> 00:01:55.620]  你向右,我就向左
[00:01:55.620 --> 00:02:03.620]  羅德舉目看見若淡河的全平原
