
[00:00:00.000 --> 00:00:03.020]  我們嘗試在這幾年裏面
[00:00:03.020 --> 00:00:10.680]  在唐曆七月這個鬼節的月份
[00:00:10.680 --> 00:00:14.580]  講靈界講鬼的事
[00:00:14.580 --> 00:00:19.280]  我覺得不講又不好
[00:00:19.280 --> 00:00:23.000]  講得太多變成魔鬼成為主角
[00:00:23.000 --> 00:00:26.420]  或者甚至使我們驚恐也是不對的
[00:00:26.420 --> 00:00:28.920]  所以我嘗試一些平衡
[00:00:28.920 --> 00:00:32.460]  要講不是憑自己的經歷
[00:00:32.460 --> 00:00:37.000]  或者危言聳聽的人的傳說
[00:00:37.000 --> 00:00:39.800]  放在聖經裏面證實一下
[00:00:39.800 --> 00:00:41.560]  是有鬼的
[00:00:41.560 --> 00:00:45.380]  鬼最終也是要來搞鬼的
[00:00:45.380 --> 00:00:46.500]  你的生命
[00:00:46.500 --> 00:00:49.260]  又不是出奇又不用驚慌
[00:00:49.260 --> 00:00:50.760]  但也證實之後
[00:00:50.760 --> 00:00:53.260]  靠著耶穌必然得勝
[00:00:53.260 --> 00:00:55.260]  有著自由釋放
[00:00:55.260 --> 00:01:00.100]  今天所講的就是講一下這個鬼
[00:01:00.100 --> 00:01:03.940]  或者鬼符的入鬼
[00:01:03.940 --> 00:01:06.340]  在聖經有一個個案
[00:01:06.340 --> 00:01:11.860]  有一個上帝所揀選做以色列王
[00:01:11.860 --> 00:01:14.540]  曾經認為好
[00:01:14.540 --> 00:01:16.140]  這個數羅王
[00:01:16.140 --> 00:01:18.340]  但後來變質
[00:01:18.340 --> 00:01:23.380]  在生活上也變質到有鬼符
[00:01:23.380 --> 00:01:28.500]  這個個案看他的鬼符是怎樣入鬼的
[00:01:28.500 --> 00:01:31.140]  然後又看看解決的方法
[00:01:31.140 --> 00:01:33.100]  作為我的參考
[00:01:33.100 --> 00:01:40.500]  我相信鬼不會白白撞進你的生命
[00:01:40.500 --> 00:01:42.260]  去控制你的
[00:01:42.260 --> 00:01:45.660]  今天也講到人有很大的責任
[00:01:45.660 --> 00:01:48.780]  通常這個鬼符你不招惹它
[00:01:48.780 --> 00:01:51.180]  因為神的恩典的緣故
[00:01:51.180 --> 00:01:53.460]  它不會白白打進你的生命
[00:01:53.460 --> 00:01:56.300]  控制到你失魂落魄
[00:01:56.300 --> 00:01:59.420]  但我說今天如果講完這個鬼符
[00:01:59.420 --> 00:02:01.660]  也同時特別應用在我們
[00:02:01.660 --> 00:02:02.820]  或者不是鬼符
[00:02:02.820 --> 00:02:05.500]  或者被一些惡的意念
[00:02:05.500 --> 00:02:10.380]  抗拒上帝的使人蒙騙了我們
[00:02:10.380 --> 00:02:14.900]  意識到在生活行為上離棄上帝
[00:02:14.900 --> 00:02:16.900]  陷入罪惡當中
[00:02:16.900 --> 00:02:18.100]  這個是我們應用
