
[00:00:00.000 --> 00:00:02.000]  既然是感恩節的主日
[00:00:02.000 --> 00:00:07.000]  我想我們心中應該有很多要感恩的事情
[00:00:07.000 --> 00:00:09.000]  記得我們常常唱一首詩歌
[00:00:09.000 --> 00:00:10.000]  我最記得裡面一句話
[00:00:10.000 --> 00:00:12.000]  其他我都沒有記得很多
[00:00:12.000 --> 00:00:13.000]  但是其中有一句話
[00:00:13.000 --> 00:00:16.000]  它說玫瑰有刺
[00:00:16.000 --> 00:00:19.000]  這是什麼歌?
[00:00:19.000 --> 00:00:20.000]  感謝神
[00:00:20.000 --> 00:00:22.000]  還有什麼其他的事情?
[00:00:22.000 --> 00:00:23.000]  除了玫瑰有刺之外
[00:00:23.000 --> 00:00:28.000]  還有什麼其他的?
[00:00:28.000 --> 00:00:34.000]  你們如果不太清楚的去問剛才回答的這些人
[00:00:34.000 --> 00:00:36.000]  感恩節說實在話
[00:00:36.000 --> 00:00:39.000]  我覺得可以說是美國獨有的
[00:00:39.000 --> 00:00:41.000]  我們過去在我們來的地方
[00:00:41.000 --> 00:00:44.000]  從我們來的地方我們都沒有聽過這些事情
[00:00:44.000 --> 00:00:48.000]  當然很多時候我們對感恩的事情
[00:00:48.000 --> 00:00:51.000]  都不是那麼經常做
[00:00:51.000 --> 00:00:56.000]  我過去跟我們在支持的宣教士
[00:00:56.000 --> 00:00:58.000]  李全凱牧師
[00:00:58.000 --> 00:01:00.000]  我就問他你們過不過感恩節
[00:01:00.000 --> 00:01:01.000]  他說誰過感恩節
[00:01:01.000 --> 00:01:03.000]  他說我們不過的
[00:01:03.000 --> 00:01:06.000]  他說那些人是當初跑到美國去的
[00:01:06.000 --> 00:01:09.000]  那麼英國人也不過感恩節的
[00:01:09.000 --> 00:01:10.000]  但是很有意思
[00:01:10.000 --> 00:01:11.000]  我那天看到新聞
[00:01:11.000 --> 00:01:13.000]  英國人雖然不過感恩節
[00:01:13.000 --> 00:01:15.000]  他們沒有學美國這一套
[00:01:15.000 --> 00:01:20.000]  但是他們卻學到了美國的Black Friday
[00:01:20.000 --> 00:01:26.000]  那個搶東西打的是不提了
[00:01:26.000 --> 00:01:28.000]  那麼這是真的是美國獨有的
[00:01:28.000 --> 00:01:30.000]  那麼他們紀念剛開始
