
[00:00:00.000 --> 00:00:05.000]  有位朋友想來尖沙咀浸信會
[00:00:05.000 --> 00:00:08.000]  問教會在哪裏
[00:00:08.000 --> 00:00:11.000]  教會在金馬倫道31號
[00:00:11.000 --> 00:00:14.000]  他也有印象這是教會
[00:00:14.000 --> 00:00:17.000]  是否平時關門的教會
[00:00:17.000 --> 00:00:19.000]  關閘的那間
[00:00:19.000 --> 00:00:22.000]  我們教會是否關閘
[00:00:22.000 --> 00:00:24.000]  是別人的感覺
[00:00:24.000 --> 00:00:27.000]  當然是在外表上
[00:00:27.000 --> 00:00:33.000]  但我盼望我們不是像外表所說
[00:00:33.000 --> 00:00:38.000]  我們願意成為一間有活力
[00:00:38.000 --> 00:00:41.000]  有動力的教會
[00:00:41.000 --> 00:00:43.000]  在這個差全禮拜
[00:00:43.000 --> 00:00:45.000]  我特別用一段經文
[00:00:45.000 --> 00:00:51.000]  是耶穌基督在會堂裏準備傳道
[00:00:51.000 --> 00:00:54.000]  引用以塞亞書61章
[00:00:54.000 --> 00:00:57.000]  第1至第2節裏講
[00:00:57.000 --> 00:01:00.000]  尼塞亞的來臨
[00:01:00.000 --> 00:01:02.000]  他講他自己是一個尼塞亞
[00:01:02.000 --> 00:01:04.000]  講他宣言
[00:01:04.000 --> 00:01:06.000]  尼塞亞的使命
[00:01:06.000 --> 00:01:09.000]  以致能夠體會
[00:01:09.000 --> 00:01:14.000]  耶穌基督來到這個世界的目的
[00:01:14.000 --> 00:01:17.000]  這個計劃
[00:01:17.000 --> 00:01:19.000]  所以我相信
[00:01:19.000 --> 00:01:22.000]  當耶穌基督出來傳道
[00:01:22.000 --> 00:01:28.000]  他自己已經有一個很清晰的目的和計劃
[00:01:28.000 --> 00:01:34.000]  他知道他就是以色列所期盼的尼塞亞
[00:01:34.000 --> 00:01:37.000]  因為神的令在他身上
[00:01:37.000 --> 00:01:40.000]  他要去奉差遣
[00:01:40.000 --> 00:01:43.000]  去履行尼塞亞的使命
[00:01:43.000 --> 00:01:47.000]  所以首先從這段經文裏
[00:01:47.000 --> 00:01:49.000]  我相信我們都要去學習
[00:01:49.000 --> 00:01:53.000]  我們都要定下我們人生的目的和目標
[00:01:53.000 --> 00:01:56.000]  因為這是很重要的事情
[00:01:56.000 --> 00:02:00.000]  當主耶穌基督講完這番話
[00:02:00.000 --> 00:02:02.000]  在21節裏講
[00:02:02.000 --> 00:02:05.000]  他說你們聽見這段經文
[00:02:05.000 --> 00:02:08.000]  今天已經應驗了
[00:02:08.000 --> 00:02:12.000]  當然他前面所講的就是他自己的使命
[00:02:12.000 --> 00:02:13.000]  宣言
