
[00:00:00.000 --> 00:00:04.040]  我們懷著一個謙卑的心
[00:00:04.040 --> 00:00:05.080]  來到上帝面前
[00:00:05.080 --> 00:00:07.040]  我們有個祈禱
[00:00:07.040 --> 00:00:08.360]  多謝天父
[00:00:08.360 --> 00:00:10.000]  讓我們能夠在這裏
[00:00:10.000 --> 00:00:13.720]  學習聆聽主你的說話
[00:00:13.720 --> 00:00:14.960]  因為我知道
[00:00:14.960 --> 00:00:16.280]  我們亦都知道
[00:00:16.280 --> 00:00:20.120]  主你要在這裏與我們同在
[00:00:20.120 --> 00:00:24.160]  並且親自與你心愛的女兒說話
[00:00:24.160 --> 00:00:27.040]  心愛的孩兒說話
[00:00:27.040 --> 00:00:29.280]  祈求主幫助孩子
[00:00:29.280 --> 00:00:31.640]  講解你的說話清楚明白
[00:00:31.640 --> 00:00:34.360]  我們同心謙卑去領受
[00:00:34.360 --> 00:00:37.000]  祈禱是奉耶穌基督命求
[00:00:37.000 --> 00:00:38.240]  阿們
[00:00:38.240 --> 00:00:39.120]  今天的經文
[00:00:39.120 --> 00:00:40.360]  我們記載在
[00:00:40.360 --> 00:00:43.240]  《爾塞亞書》的第四十二章那裏
[00:00:43.240 --> 00:00:45.000]  《爾塞亞書》第四十二章
[00:00:45.000 --> 00:00:47.240]  應該就是第一首的《僕人之歌》
[00:00:47.240 --> 00:00:48.240]  因為裏面
[00:00:48.240 --> 00:00:50.600]  有提到壓箱的爐位不折斷
[00:00:50.600 --> 00:00:53.160]  漿層的燈火不熄滅的那一段
[00:00:53.160 --> 00:00:54.200]  我們這一段
[00:00:54.200 --> 00:00:55.720]  通常我們記得
[00:00:55.720 --> 00:00:57.720]  就是《馬可福音》的版本
[00:00:57.720 --> 00:00:59.440]  因為《馬可福音》引用的
[00:00:59.440 --> 00:01:01.600]  就是《爾塞亞書》的四十二章
[00:01:01.600 --> 00:01:02.960]  這個是第一首
[00:01:02.960 --> 00:01:04.560]  第二首的《僕人之歌》
[00:01:04.560 --> 00:01:05.680]  應該就是記載在
[00:01:05.680 --> 00:01:08.880]  四十九章的第一到第六節那裏
[00:01:08.880 --> 00:01:10.120]  這個是第二首
[00:01:10.120 --> 00:01:10.960]  第三首
[00:01:10.960 --> 00:01:14.800]  就是五十章的第四到第九節的那一段
[00:01:14.800 --> 00:01:16.120]  而最後一首
[00:01:16.120 --> 00:01:18.360]  就應該是我們最熟悉的那一段
[00:01:18.360 --> 00:01:21.160]  每逢的受苦節亦都會去到中毒
[00:01:21.160 --> 00:01:23.680]  就是五十二章的十三節
[00:01:23.680 --> 00:01:25.840]  去到五十三章的十二節
[00:01:25.840 --> 00:01:28.760]  那個叫做「受苦的僕人」的那一段
[00:01:28.760 --> 00:01:32.120]  所以我們就有四段的《僕人之歌》
[00:01:32.120 --> 00:01:34.160]  而今天我們就集中處理
[00:01:34.160 --> 00:01:37.360]  就是四十二章的那一段的部分
[00:01:37.360 --> 00:01:39.680]  就是跟大家一起去到分享
[00:01:39.680 --> 00:01:41.160]  四十二章的部分
[00:01:41.160 --> 00:01:43.120]  我們就要想一個問題的
[00:01:43.120 --> 00:01:46.040]  因為如果你了解整個的《爾塞亞書》
[00:01:46.040 --> 00:01:47.960]  你一打開你都會害怕的
[00:01:47.960 --> 00:01:50.560]  原來是有六十六章這麼多
[00:01:50.560 --> 00:01:53.880]  亦都是整個舊約裏面最長的書卷
[00:01:53.880 --> 00:01:55.560]  如果你會分析的話
[00:01:55.560 --> 00:01:58.600]  你就會發現《爾塞亞書》有一部分
[00:01:58.600 --> 00:02:01.080]  是特別提及到一個叫做
[00:02:01.080 --> 00:02:03.600]  「避老」和「回歸」的場景
[00:02:03.600 --> 00:02:05.600]  那麼「避老」和「回歸」的場景
[00:02:05.600 --> 00:02:09.240]  就記載在四十度部五十五章裏面的內容
[00:02:09.240 --> 00:02:11.520]  是論及到「避老」和「回歸」
[00:02:11.520 --> 00:02:14.560]  而恰巧那四首的《僕人之歌》
[00:02:14.560 --> 00:02:17.640]  就身處在這四十度到五十五章裏面
[00:02:17.640 --> 00:02:22.240]  全部都是《僕人之歌》所露K的位置
[00:02:22.240 --> 00:02:25.160]  所以《僕人之歌》是很明顯
[00:02:25.160 --> 00:02:27.680]  是和「避老」和「回歸」是有關的
[00:02:27.680 --> 00:02:29.240]  那個場景是這樣的
[00:02:29.240 --> 00:02:31.560]  我講下那個「避老」和「回歸」的光景
[00:02:31.560 --> 00:02:32.840]  到底是什麼東西
[00:02:32.840 --> 00:02:35.760]  亦都給我們看一看四十二章的上文
[00:02:35.760 --> 00:02:39.360]  究竟我們鎖定究竟那個「僕人」的身份
[00:02:39.360 --> 00:02:40.880]  到底是什麼東西
[00:02:40.880 --> 00:02:43.000]  如果我們看的時候
[00:02:43.000 --> 00:02:46.320]  我們可以看經文就是四十一章先
[00:02:46.320 --> 00:02:49.400]  四十二章的經文就是四十一章
[00:02:49.400 --> 00:02:51.120]  其實這句都是不用講的
[00:02:51.120 --> 00:02:53.880]  四十二章當然是四十一章上文
[00:02:53.880 --> 00:02:57.880]  那上文裏面有提到有一句的說話
[00:02:57.880 --> 00:02:59.880]  即是四十一章那裏
[00:02:59.880 --> 00:03:01.160]  它有一句這樣的說話
[00:03:01.160 --> 00:03:03.160]  它就在第八節
[00:03:03.160 --> 00:03:04.440]  第八節它就說
[00:03:04.440 --> 00:03:08.560]  「唯你已識列我的僕人」
[00:03:08.560 --> 00:03:12.560]  「雅各我所簡算的」
[00:03:12.560 --> 00:03:15.880]  「我朋友阿伯拉罕的後裔」
[00:03:15.880 --> 00:03:19.160]  「你是我從地極所領來的」
[00:03:19.160 --> 00:03:21.720]  「從地角所招來的」
[00:03:21.720 --> 00:03:25.440]  「且對你說,你是我的僕人」
[00:03:25.440 --> 00:03:28.320]  「我簡選你,並不棄絕你」
