
[00:00:00.000 --> 00:00:05.040]  今天和大家分享的經文是三號耳機下的四至六章
[00:00:05.040 --> 00:00:08.040]  如果有做TWA的頂尖姐妹就知道我很熟悉
[00:00:08.040 --> 00:00:15.640]  為什麼?因為這一段經文是今天TWA一段舊約的經文
[00:00:15.640 --> 00:00:18.180]  如果上次有聽過港島的頂尖姐妹就會知道
[00:00:18.180 --> 00:00:23.320]  為什麼我會選擇TWA的經文去做港島的信息經文
[00:00:23.320 --> 00:00:27.120]  今天我不再在這裡重複
[00:00:27.120 --> 00:00:33.840]  TWA舊約來到三號耳機下的這個部分
[00:00:33.840 --> 00:00:36.740]  我不知道大家會不會和我有同樣的感覺
[00:00:36.740 --> 00:00:41.440]  就是在看三號耳機的時候有一種欲罷不能的感覺
[00:00:41.440 --> 00:00:46.880]  越看越想看 越看越想看 越看越想看一直追下去
[00:00:46.880 --> 00:00:50.620]  但同時間我們好像也有一點點的感受
[00:00:50.620 --> 00:00:55.920]  好像那幾張經文涵蓋的內容很多很豐富
[00:00:55.920 --> 00:00:59.660]  其實說了那麼多又好像很散 究竟在說什麼呢?
[00:00:59.660 --> 00:01:01.300]  有沒有中心思想呢?
[00:01:01.300 --> 00:01:04.860]  有沒有一些東西值得我們真的很上帝想我們看
[00:01:04.860 --> 00:01:07.500]  想我們知道的一些訊息呢?
[00:01:07.500 --> 00:01:12.500]  我們祈求聖靈今天引導我們一起回到神的話裡面
[00:01:12.500 --> 00:01:18.940]  讓我們不單止明白 更加能夠將祂的話刻在我們的心板上
[00:01:18.940 --> 00:01:24.420]  以致我們可以有能力去匯出一個很天賦喜悅的生命
[00:01:24.420 --> 00:01:28.420]  不知道大家有沒有留意新聞最近
[00:01:28.420 --> 00:01:35.620]  在西非尼日尼亞有二百多個少女學生
[00:01:35.620 --> 00:01:38.740]  在上個月十四號被一個激進的聖戰組織
[00:01:38.740 --> 00:01:43.640]  「博科聖地」擄走了 一直都找不到
[00:01:43.640 --> 00:01:51.680]  據報這二百多個女學生被這個組織用每人八英鎊
[00:01:51.680 --> 00:01:54.940]  即是大概一百零五元的港幣
[00:01:54.940 --> 00:02:00.420]  賣了去隔壁的國家「喀麥隆」做奴隸
[00:02:00.420 --> 00:02:08.160]  聽到這個消息我自己心裡很擔心 也很憤慨
[00:02:08.160 --> 00:02:16.140]  這班女學生裡面大多數的人都是我們的姐妹 基督徒
[00:02:16.140 --> 00:02:21.100]  而這個激進組織宣稱這班女學生
[00:02:21.100 --> 00:02:26.980]  已經全部改信伊斯蘭教
[00:02:26.980 --> 00:02:30.820]  再近一點 另一個新聞上個星期發生
[00:02:30.820 --> 00:02:38.060]  非洲蘇丹一個同樣信主的姐妹「易卜拉欣」
[00:02:38.060 --> 00:02:42.100]  她在法庭上強調自己是基督徒
[00:02:42.100 --> 00:02:46.540]  並且拒絕改信伊斯蘭教
[00:02:46.540 --> 00:02:50.680]  所以隨即被法庭判處死刑
[00:02:50.680 --> 00:02:54.880]  這位姐妹的爸爸是伊斯蘭教教徒
[00:02:54.880 --> 00:03:01.980]  但其實這個爸爸在易卜拉欣六歲的時候已經離家出走
[00:03:01.980 --> 00:03:10.700]  所以她其實是一直從小在媽媽的撫養下長大
[00:03:10.700 --> 00:03:14.700]  她因為沒有遵照到蘇丹的法例
[00:03:14.700 --> 00:03:16.900]  伊斯蘭教一定的規定
[00:03:16.900 --> 00:03:21.980]  她跟著她爸爸去信伊斯蘭教 反而成為基督徒
[00:03:21.980 --> 00:03:24.900]  所以被指是叛教
[00:03:24.900 --> 00:03:28.940]  除了這個之外 易卜拉欣也因為嫁給了基督徒
[00:03:28.940 --> 00:03:35.520]  在蘇丹 一個女的教徒是不可以跟伊斯蘭教以外的人結婚
[00:03:35.520 --> 00:03:41.700]  所以她也被裁定通姦罪
[00:03:41.700 --> 00:03:45.200]  易卜拉欣說有八個月的身孕
[00:03:45.200 --> 00:03:54.280]  我們確實需要為這位姐妹和那二百多個女學生來祈禱
[00:03:54.280 --> 00:03:56.840]  但同時間我在想
[00:03:56.840 --> 00:04:02.260]  如果面對這些場景 這些處境的那個是我
[00:04:02.260 --> 00:04:06.760]  也就是說 如果我是那二百多個女學生裏面的其中一個
[00:04:06.760 --> 00:04:09.840]  又或者我自己是易卜拉欣
[00:04:09.840 --> 00:04:12.640]  我會怎樣去面對
[00:04:12.640 --> 00:04:15.300]  我會否想 不要緊
[00:04:15.300 --> 00:04:19.100]  不如我先改信伊斯蘭教
[00:04:19.100 --> 00:04:25.080]  放了 我就改信基督教
[00:04:25.080 --> 00:04:28.240]  如果我真的有這樣想過的話
[00:04:28.240 --> 00:04:30.540]  我就要很認真再問自己
[00:04:30.540 --> 00:04:35.860]  到底我現在是不是真的在信耶穌
[00:04:35.860 --> 00:04:40.160]  到底我現在是不是真的在信耶穌
[00:04:40.160 --> 00:04:44.660]  或者我們今天也未至於去到這些生命受到威脅的境地
[00:04:44.660 --> 00:04:47.300]  但是在現今的處境底下
[00:04:47.300 --> 00:04:48.900]  我們仍然要問自己
[00:04:48.900 --> 00:04:51.860]  在我們的生活每一樣的細節上
[00:04:51.860 --> 00:04:54.540]  我們是否以神為神
