
[00:00:00.000 --> 00:00:03.800]  今天和大家分享的訊息是延續上一次
[00:00:03.800 --> 00:00:05.720]  羅亞出方舟之後
[00:00:05.720 --> 00:00:10.160]  第一件事就是祂要祝壇獻祭給神
[00:00:10.160 --> 00:00:13.200]  而當羅亞回應神的時候
[00:00:13.200 --> 00:00:17.440]  神就立與人立了一個永遠的約
[00:00:17.440 --> 00:00:19.920]  聖經裏面第一次講到立約
[00:00:19.920 --> 00:00:23.160]  就是羅亞和神之間所立的約
[00:00:23.160 --> 00:00:26.600]  留意這個約的地方就是
[00:00:26.600 --> 00:00:29.640]  是神主動與人立約
[00:00:29.640 --> 00:00:32.480]  而且你留意在這個約裏面
[00:00:32.480 --> 00:00:37.120]  人是不需要怎樣去回應的
[00:00:37.120 --> 00:00:40.000]  這個約主要是神的作為
[00:00:40.000 --> 00:00:41.080]  神的工作
[00:00:41.080 --> 00:00:42.600]  神的恩典
[00:00:42.600 --> 00:00:45.480]  所以今天想和大家分享的這個訊息
[00:00:45.480 --> 00:00:48.480]  就是彩虹下的約定
[00:00:48.480 --> 00:00:52.840]  我不知道大家記不記得這首詩歌是何時學的
[00:00:52.840 --> 00:00:55.320]  我自己學這首詩歌的時候
[00:00:55.320 --> 00:00:57.240]  是2003年
[00:00:57.240 --> 00:01:01.440]  當年我們香港遭遇一個很大的情況
[00:01:01.440 --> 00:01:04.400]  就是非典型肺炎肆虐
[00:01:04.400 --> 00:01:06.280]  大家記不記得
[00:01:06.280 --> 00:01:09.800]  我不知道有多少個當時正在回教會
[00:01:09.800 --> 00:01:12.920]  一回教會我們就要戴上口罩
[00:01:12.920 --> 00:01:14.720]  以及非必要的聚會
[00:01:14.720 --> 00:01:18.240]  我們盡量減少人與人之間的接觸
[00:01:18.240 --> 00:01:20.480]  你那個印象你深不深刻
[00:01:20.480 --> 00:01:21.720]  我自己很深刻
[00:01:21.720 --> 00:01:24.840]  我還有一張相是我參加聚會的時候
[00:01:24.840 --> 00:01:28.240]  我和師母是戴著口罩而拍的
[00:01:28.240 --> 00:01:29.640]  那時候是參加一個婚禮
[00:01:29.640 --> 00:01:32.240]  參加一個婚禮裏面我們都要戴著口罩
[00:01:32.240 --> 00:01:34.040]  你覺得是不是很有趣
[00:01:34.040 --> 00:01:37.280]  但是當時不知道那個情況會是多麼嚴重
[00:01:37.280 --> 00:01:40.240]  所以教會為了安全的緣故
[00:01:40.240 --> 00:01:43.000]  我們又不能夠完全停聚會
[00:01:43.000 --> 00:01:45.240]  我記得那時候我們教會
[00:01:45.240 --> 00:01:46.400]  當然不是稍縱
[00:01:46.400 --> 00:01:47.880]  我不知道稍縱是怎樣
[00:01:47.880 --> 00:01:50.680]  只是保持崇拜
[00:01:50.680 --> 00:01:52.280]  都是要戴上口罩
[00:01:52.280 --> 00:01:57.360]  甚至連咪高峰都要有一個保護罩
[00:01:57.360 --> 00:01:59.040]  怕那些飛沫來傳播
[00:01:59.040 --> 00:02:01.560]  大家記不記得那段時間
[00:02:01.560 --> 00:02:04.640]  那段時間是我很深刻回教會的印象
[00:02:04.640 --> 00:02:05.520]  我真的再想一下
[00:02:05.520 --> 00:02:08.840]  究竟我們回教會是為了什麼緣故
[00:02:08.840 --> 00:02:10.240]  我們回教會
[00:02:10.240 --> 00:02:12.400]  不單止我們是敬拜我們的主
[00:02:12.400 --> 00:02:15.200]  我們也是很珍惜和弟兄姊妹
[00:02:15.200 --> 00:02:16.400]  那種的相聚
[00:02:16.400 --> 00:02:18.880]  那種的相交
[00:02:18.880 --> 00:02:20.800]  最近同樣
[00:02:20.800 --> 00:02:25.520]  你記得當時這個沙士就在淘大花園爆發
[00:02:25.520 --> 00:02:27.920]  最近這場的大火
[00:02:27.920 --> 00:02:32.400]  也是在牛頭角附近
[00:02:32.400 --> 00:02:35.680]  原來就在這個火場前面
[00:02:35.680 --> 00:02:38.720]  就是我們所處身的牛頭角浸信會
[00:02:38.720 --> 00:02:41.360]  他們是買了一間戲院
[00:02:41.360 --> 00:02:43.400]  大家可能都收到這個消息
[00:02:43.400 --> 00:02:46.560]  就是這間教會到今天為止
[00:02:46.560 --> 00:02:48.960]  他們都未能夠像我們一樣
[00:02:48.960 --> 00:02:51.960]  正常的舉行崇拜的聚會
[00:02:51.960 --> 00:02:53.160]  原因是什麼呢
[00:02:53.160 --> 00:02:55.120]  因為火警之後
[00:02:55.120 --> 00:02:58.760]  其實裡面他們公開放了他們的教堂
[00:02:58.760 --> 00:03:02.200]  給很多的消防員進去裡面棲息
[00:03:02.200 --> 00:03:03.520]  去休息
[00:03:03.520 --> 00:03:05.000]  去換班
[00:03:05.000 --> 00:03:07.640]  或者給他們有補給
[00:03:07.640 --> 00:03:09.520]  所以我不知道什麼原因
[00:03:09.520 --> 00:03:11.080]  總之到今天
[00:03:11.080 --> 00:03:14.880]  他們都未能夠再一次開放他們的教堂
[00:03:14.880 --> 00:03:16.920]  一起去敬拜侍奉神
[00:03:16.920 --> 00:03:18.440]  所以我當說到這裡的時候
[00:03:18.440 --> 00:03:22.000]  我都要為牛頭角浸信會來禱告
[00:03:22.000 --> 00:03:24.800]  願他們早日能夠開放他們的教堂
[00:03:24.800 --> 00:03:28.920]  早日恢復他們敬拜神的生活
[00:03:28.920 --> 00:03:31.120]  但是有一樣東西
[00:03:31.120 --> 00:03:35.240]  牛頭角浸信會給我們眾弟兄姊妹一個激勵就是
[00:03:35.240 --> 00:03:38.240]  當這個教堂開放的時候
[00:03:38.240 --> 00:03:39.840]  就在社區裡面
[00:03:39.840 --> 00:03:42.720]  造成一個很有力的見證
[00:03:42.720 --> 00:03:44.240]  我相信
[00:03:44.240 --> 00:03:46.240]  今天你都會聽到
[00:03:46.240 --> 00:03:48.240]  在整個地區裡面
[00:03:48.240 --> 00:03:49.880]  因為這場大火
