
[00:00:00.000 --> 00:00:02.000]  好,各位兄弟姐妹,早晨
[00:00:02.000 --> 00:00:04.000]  教會給了我兩段經文
[00:00:04.000 --> 00:00:06.000]  就是給了前書的第二章
[00:00:06.000 --> 00:00:08.000]  第四到第八節
[00:00:08.000 --> 00:00:11.000]  以及以忽所書的第二章
[00:00:11.000 --> 00:00:12.000]  十九到廿二節
[00:00:12.000 --> 00:00:14.000]  給了我這段經文
[00:00:14.000 --> 00:00:17.000]  叫我來講這段經文的內容
[00:00:17.000 --> 00:00:19.000]  於是我就自己想了一個題目
[00:00:19.000 --> 00:00:21.000]  不過嚇死人的題目
[00:00:21.000 --> 00:00:23.000]  就叫《殊途同歸》
[00:00:23.000 --> 00:00:25.000]  你留意到是有一個什麼呢
[00:00:25.000 --> 00:00:28.000]  應該有一個問號在這裡
[00:00:28.000 --> 00:00:30.000]  好了,為什麼呢
[00:00:30.000 --> 00:00:32.000]  我小時候
[00:00:32.000 --> 00:00:34.000]  我去看的那本書就叫《殊途同歸》
[00:00:34.000 --> 00:00:38.000]  就講是不是所有宗教都是統一
[00:00:38.000 --> 00:00:41.000]  一個最終回到
[00:00:41.000 --> 00:00:44.000]  無論你是拜佛還是什麼神
[00:00:44.000 --> 00:00:46.000]  最後都是那個神
[00:00:46.000 --> 00:00:48.000]  你知不知道有很多人這樣說
[00:00:48.000 --> 00:00:51.000]  每個宗教都是教人向善
[00:00:51.000 --> 00:00:54.000]  所以信任何一個宗教都無所謂
[00:00:54.000 --> 00:00:56.000]  這個就是《殊途同歸》
[00:00:56.000 --> 00:00:59.000]  但是我們基督教的信仰有一種排他性
[00:00:59.000 --> 00:01:01.000]  被人覺得你真是壞
[00:01:01.000 --> 00:01:03.000]  只是說要信你那個神才行
[00:01:03.000 --> 00:01:05.000]  我已經經常講
[00:01:05.000 --> 00:01:07.000]  香港人或中國人拜很多神
[00:01:07.000 --> 00:01:11.000]  年三十萬就去王大仙上頭柱香
[00:01:11.000 --> 00:01:13.000]  初二初三就去拜車公
[00:01:13.000 --> 00:01:16.000]  然後一會兒就會接財神
[00:01:16.000 --> 00:01:18.000]  沒有問題的
[00:01:18.000 --> 00:01:20.000]  但是我們的信仰是獨一的信仰
[00:01:20.000 --> 00:01:23.000]  所以我們會不會有問題呢
[00:01:23.000 --> 00:01:25.000]  好了,其實我們留意到
[00:01:25.000 --> 00:01:27.000]  我們什麼叫做《殊途同歸》
[00:01:27.000 --> 00:01:28.000]  我今天所講就是
[00:01:28.000 --> 00:01:30.000]  我們每一個人都有獨特的性格
[00:01:30.000 --> 00:01:32.000]  有不同的經歷
[00:01:32.000 --> 00:01:35.000]  但是我們最終基督徒
[00:01:35.000 --> 00:01:37.000]  有一個最重要的目標是什麼呢
[00:01:37.000 --> 00:01:39.000]  就是要去榮耀神
[00:01:39.000 --> 00:01:41.000]  要為主而活
[00:01:41.000 --> 00:01:45.000]  不同的人我們會因材施教
[00:01:45.000 --> 00:01:46.000]  很簡單舉個例子
[00:01:46.000 --> 00:01:47.000]  如果我們當中做父母的
[00:01:47.000 --> 00:01:49.000]  你多過一個小朋友
[00:01:49.000 --> 00:01:52.000]  很可能你有兩個或者三個小朋友
[00:01:52.000 --> 00:01:54.000]  都是你們所生的
[00:01:54.000 --> 00:01:55.000]  但是你沒有留意到
[00:01:55.000 --> 00:01:57.000]  那些小朋友的性格
[00:01:57.000 --> 00:01:59.000]  很多方面都不同
[00:01:59.000 --> 00:02:01.000]  又或者他們的興趣都不同
[00:02:01.000 --> 00:02:03.000]  你不會畫一的
[00:02:03.000 --> 00:02:07.000]  去用一種同一的方法去教他們
[00:02:07.000 --> 00:02:08.000]  大家都熟悉我的話
[00:02:08.000 --> 00:02:10.000]  都知道我有兩個孫兒
[00:02:10.000 --> 00:02:12.000]  是孖孫,是Twins
[00:02:12.000 --> 00:02:14.000]  出生大家都前後不差
[00:02:14.000 --> 00:02:15.000]  還有一分多兩分鐘
[00:02:15.000 --> 00:02:17.000]  但是性格是截然不同的
[00:02:17.000 --> 00:02:20.000]  我們就叫做因材施教
[00:02:20.000 --> 00:02:21.000]  譬如這個聰明一點的
[00:02:21.000 --> 00:02:23.000]  你可能要對他要求高一點
[00:02:23.000 --> 00:02:26.000]  那個可能是作為活動一點的
[00:02:26.000 --> 00:02:28.000]  可能你讓他玩運動
[00:02:28.000 --> 00:02:29.000]  這樣的時候
[00:02:29.000 --> 00:02:31.000]  但是可能他讀書沒那麼厲害
[00:02:31.000 --> 00:02:34.000]  但是你可以用另一方面來教他
