
[00:00:00.000 --> 00:00:02.000]  各位電影師傅 平安
[00:00:02.000 --> 00:00:05.000]  大家知道我們九月份是猜拳月
[00:00:05.000 --> 00:00:08.000]  我們都一起關心神所關心的事
[00:00:08.000 --> 00:00:10.000]  宣教猜拳的事
[00:00:10.000 --> 00:00:11.000]  亦都在這段時間
[00:00:11.000 --> 00:00:13.000]  我們都一路讀開的系詩行傳
[00:00:13.000 --> 00:00:16.000]  思想回上帝怎樣來勉勵我們的心
[00:00:16.000 --> 00:00:19.000]  來作福音的管道
[00:00:19.000 --> 00:00:22.000]  所以我們今天都一齊再次仰望上帝
[00:00:22.000 --> 00:00:24.000]  引導我們讀祂自己的說話
[00:00:24.000 --> 00:00:26.000]  大家再一起祈禱 我們仰望著
[00:00:31.000 --> 00:00:33.000]  天地的主
[00:00:33.000 --> 00:00:35.000]  我們的救主
[00:00:35.000 --> 00:00:37.000]  我們的神
[00:00:37.000 --> 00:00:38.000]  我們感謝祢
[00:00:38.000 --> 00:00:43.000]  我們今天再能夠可以到祢的面前敬拜
[00:00:43.000 --> 00:00:47.000]  主我們不需要面對著祢自己公義的審判
[00:00:47.000 --> 00:00:49.000]  因為主耶穌 祢自己的救恩
[00:00:49.000 --> 00:00:53.000]  已經成為了我們永恆的盼望
[00:00:53.000 --> 00:00:56.000]  成為了我們自己的釋放
[00:00:56.000 --> 00:00:59.000]  我們今天再次同心合意來求主
[00:00:59.000 --> 00:01:01.000]  藉著祢自己的聖言
[00:01:01.000 --> 00:01:03.000]  祢的聖靈的恩惠
[00:01:03.000 --> 00:01:05.000]  釋放我們的生命
[00:01:05.000 --> 00:01:07.000]  讓我們更加在祢手中
[00:01:07.000 --> 00:01:10.000]  領受祢給我們生命的自由
[00:01:10.000 --> 00:01:12.000]  可以來到自由的去愛
[00:01:12.000 --> 00:01:15.000]  可以自由的來到勝過罪
[00:01:15.000 --> 00:01:17.000]  主今天我們再次仰望
[00:01:17.000 --> 00:01:19.000]  親愛的聖靈
[00:01:19.000 --> 00:01:20.000]  真理的聖靈
[00:01:20.000 --> 00:01:23.000]  開啟我們的心思
[00:01:23.000 --> 00:01:24.000]  在祢的裡面
[00:01:24.000 --> 00:01:27.000]  我們能夠蒙恩領受
[00:01:27.000 --> 00:01:29.000]  主除去一切的障礙
[00:01:29.000 --> 00:01:32.000]  讓我們在祢面前蒙受恩惠
[00:01:32.000 --> 00:01:33.000]  我們仰望祈禱
[00:01:33.000 --> 00:01:36.000]  奉耶穌名字求 阿們
[00:01:57.000 --> 00:02:00.000]  他們面對著監牢的苦海
[00:02:00.000 --> 00:02:02.000]  後來他們離開了菲律賓
[00:02:02.000 --> 00:02:06.000]  去到一個城市叫做貼薩羅尼加
[00:02:06.000 --> 00:02:07.000]  這個城市裏面
[00:02:07.000 --> 00:02:10.000]  他們都面對著新的一個衝擊
[00:02:10.000 --> 00:02:12.000]  很多猶太人攻擊他們
[00:02:12.000 --> 00:02:15.000]  因此他們被迫要離開這個城市
[00:02:15.000 --> 00:02:18.000]  再下去去到比利亞的地方
[00:02:18.000 --> 00:02:22.000]  比利亞的人比較賢德
[00:02:22.000 --> 00:02:25.000]  他們樂意去領受神的真道
[00:02:25.000 --> 00:02:28.000]  但是貼薩羅尼加城的人士
[00:02:28.000 --> 00:02:29.000]  特別猶太人
[00:02:29.000 --> 00:02:33.000]  他們不甘於保羅被人接納
[00:02:33.000 --> 00:02:34.000]  因此他們再去到
[00:02:34.000 --> 00:02:36.000]  下面的比利亞的地方
[00:02:36.000 --> 00:02:41.000]  去聳動人群去逼迫保羅
[00:02:41.000 --> 00:02:42.000]  在這個情況之下
[00:02:42.000 --> 00:02:44.000]  保羅不可以再留在這裏
[00:02:44.000 --> 00:02:46.000]  因此弟兄們將他送到
[00:02:46.000 --> 00:02:48.000]  下面一個城市
[00:02:48.000 --> 00:02:50.000]  是雅典的地方
[00:02:50.000 --> 00:02:51.000]  所以大家知道
[00:02:51.000 --> 00:02:54.000]  從貼薩羅尼加去到比利亞
[00:02:54.000 --> 00:02:56.000]  然後去到雅典
[00:02:56.000 --> 00:02:58.000]  去到雅典的時候
[00:02:58.000 --> 00:03:01.000]  保羅心裏面應該會很擔憂
[00:03:01.000 --> 00:03:03.000]  因為不知道會不會有其他人
[00:03:03.000 --> 00:03:05.000]  再來追蹤他、追迫他
[00:03:05.000 --> 00:03:07.000]  但是似乎他心裏面
[00:03:07.000 --> 00:03:10.000]  不介意自己的狀況
[00:03:10.000 --> 00:03:12.000]  知道神有他的保守
[00:03:12.000 --> 00:03:14.000]  反而他的內心很關切
[00:03:14.000 --> 00:03:17.000]  當時他見到很多的雅典人
[00:03:17.000 --> 00:03:19.000]  他們不認識神
[00:03:19.000 --> 00:03:21.000]  而他在其中
[00:03:21.000 --> 00:03:23.000]  他將自己交給神
[00:03:23.000 --> 00:03:25.000]  神就很奇妙地使用他
[00:03:25.000 --> 00:03:28.000]  成為了雅典的祝福
[00:03:28.000 --> 00:03:29.000]  而我們今天思想的
[00:03:29.000 --> 00:03:31.000]  就是保羅他如何能夠
[00:03:31.000 --> 00:03:33.000]  在這種困難的處境
[00:03:33.000 --> 00:03:36.000]  他仍然可以來到他關切到別人
[00:03:36.000 --> 00:03:38.000]  特別是福音的需要
[00:03:38.000 --> 00:03:40.000]  我們大家再看看剛才讀過的
[00:03:40.000 --> 00:03:43.000]  十七章第十六節
[00:03:43.000 --> 00:03:48.000]  保羅在雅典等候他們的時候
[00:03:48.000 --> 00:03:51.000]  看見滿城都是偶像
[00:03:51.000 --> 00:03:53.000]  心靈十分憤激
[00:03:53.000 --> 00:03:57.000]  和本所說心裡著急
[00:03:57.000 --> 00:04:00.000]  保羅在等候西拉和提摩泰
[00:04:00.000 --> 00:04:03.000]  到達雅典和他們一起會合
[00:04:03.000 --> 00:04:05.000]  然後再上路
[00:04:05.000 --> 00:04:06.000]  在一段等候的時間
[00:04:06.000 --> 00:04:07.000]  保羅周圍留意
[00:04:07.000 --> 00:04:10.000]  發現滿城都是偶像
[00:04:10.000 --> 00:04:12.000]  這裡所說的滿城
[00:04:12.000 --> 00:04:16.000]  是意味著佈滿整個城市
[00:04:16.000 --> 00:04:18.000]  有些歷史的研究
[00:04:18.000 --> 00:04:20.000]  發現當時的雅典城
[00:04:20.000 --> 00:04:24.000]  是全羅馬帝國最多偶像的城市
[00:04:24.000 --> 00:04:28.000]  是佈滿各式各樣的神靈偶像
[00:04:28.000 --> 00:04:31.000]  當保羅看見這樣的現象的時候
[00:04:31.000 --> 00:04:33.000]  他有一種反應
[00:04:33.000 --> 00:04:37.000]  已經說他心裡十分憤激
[00:04:37.000 --> 00:04:39.000]  或者說著急
[00:04:39.000 --> 00:04:40.000]  他很緊張
[00:04:40.000 --> 00:04:41.000]  他很著急
[00:04:41.000 --> 00:04:43.000]  為什麼他們會拜那麼多偶像
[00:04:43.000 --> 00:04:46.000]  不認識那位獨一的真神
[00:04:46.000 --> 00:04:49.000]  所以保羅當時內心很大的憤激
[00:04:49.000 --> 00:04:52.000]  大家大概會認識雅典
