
[00:00:00.000 --> 00:00:04.540]  我感恩今天又有機會在這裡跟大家分享
[00:00:04.540 --> 00:00:07.040]  有一個時間再分享上帝的話語
[00:00:07.040 --> 00:00:09.980]  在這段時間 這四個禮拜
[00:00:09.980 --> 00:00:12.000]  不是四個禮拜 中間隔了一個禮拜
[00:00:12.000 --> 00:00:15.760]  其實是在說一個系列 就是感恩mode on的這個系列
[00:00:15.760 --> 00:00:18.040]  這個系列主要都是說感恩
[00:00:18.040 --> 00:00:24.480]  我不知道大家如果聽到感恩這兩個字會想到些什麼
[00:00:24.480 --> 00:00:27.840]  譬如說我們知道在基督徒當中 在教會當中
[00:00:27.840 --> 00:00:29.760]  很經常我們都會說到感恩的
[00:00:29.760 --> 00:00:31.760]  譬如說我們剛才祈禱都說感恩祈禱
[00:00:31.760 --> 00:00:35.880]  譬如說我們剛才見到大家的時候會說感恩
[00:00:35.880 --> 00:00:38.800]  但是感恩對於大家來說
[00:00:38.800 --> 00:00:42.200]  當想到感恩的時候是什麼呢
[00:00:42.200 --> 00:00:44.520]  又或者當我們這四個禮拜
[00:00:44.520 --> 00:00:47.400]  思想關於感恩系列 除了感恩之外
[00:00:47.400 --> 00:00:51.800]  我們想到感恩的時候 感恩是什麼呢
[00:00:51.800 --> 00:00:53.960]  我記得有很多不同的東西 OK
[00:00:53.960 --> 00:00:56.160]  放在心底裏面 OK的
[00:00:56.160 --> 00:01:01.000]  但是我想再繼續下去 想大家再想多一步
[00:01:01.000 --> 00:01:04.760]  如果是這樣的話 感恩不是什麼呢
[00:01:04.760 --> 00:01:08.360]  今天我會透過今天的經文
[00:01:08.360 --> 00:01:12.800]  嘗試和大家由感恩的角度去思想
[00:01:12.800 --> 00:01:15.120]  究竟感恩是什麼 不是什麼
[00:01:15.120 --> 00:01:17.080]  從而幫助我們去看看
[00:01:17.080 --> 00:01:20.280]  其實我們經常說感恩是什麼 是什麼一回事
[00:01:20.280 --> 00:01:23.480]  當然如果回到今天的經文當中
[00:01:23.480 --> 00:01:26.240]  其實我們一會兒就會看到
[00:01:26.240 --> 00:01:28.760]  很多時候不是有很直接的關係
[00:01:28.760 --> 00:01:31.280]  但是我覺得由感恩的角度去學習
[00:01:31.280 --> 00:01:32.760]  原來都有所得著
[00:01:32.760 --> 00:01:35.280]  而今天我希望可以和大家分享
[00:01:35.280 --> 00:01:36.880]  今天我們所思想的經文就是
[00:01:36.880 --> 00:01:42.080]  《生命記》十一章一到三十二節
[00:01:42.080 --> 00:01:46.280]  我會分幾段去讀 因為都很長
[00:01:46.280 --> 00:01:51.520]  第一段我們先會去讀的就是《生命記》一到七節
[00:01:51.520 --> 00:01:55.400]  不過在我們讀之前 讓我們一起再一次有個祈禱
[00:01:55.400 --> 00:01:59.160]  親愛的天父感謝祢 今天我們能夠聚在這個地方
[00:01:59.160 --> 00:02:01.120]  我們能夠再一次有個機會
[00:02:01.120 --> 00:02:03.440]  可以去敬拜祢 去讚美祢
[00:02:03.440 --> 00:02:06.640]  亦都在這個時候 我們可以去思想祢的話語
[00:02:06.640 --> 00:02:07.800]  願主能夠幫助我們
[00:02:07.800 --> 00:02:10.280]  讓我們在今天祢的話語當中
[00:02:10.280 --> 00:02:12.960]  我們真的學懂得什麼叫感恩
[00:02:12.960 --> 00:02:15.960]  讓我們懂得怎樣在生命當中
[00:02:15.960 --> 00:02:18.000]  真的過著一個充滿感恩的生命
[00:02:18.000 --> 00:02:20.480]  願主能夠帶領 奉著耶穌的聖名祈求
[00:02:20.480 --> 00:02:21.280]  Amen
[00:02:21.280 --> 00:02:25.600]  好 我們一起來讀《生命記》十一章一到七節
[00:02:25.600 --> 00:02:27.080]  大家剛剛看到 好 幾好
[00:02:27.080 --> 00:02:28.920]  好 我們一二三起
[00:02:28.920 --> 00:02:31.960]  你要愛耶和華 你的上帝
[00:02:31.960 --> 00:02:37.200]  天天遵守他的吩咐 律例 典章 誡命
[00:02:37.200 --> 00:02:41.760]  今日你應當知道 而不是你們的兒女
[00:02:41.760 --> 00:02:46.040]  因為他們不知道 也沒有見過耶和華
