
[00:00:00.000 --> 00:00:03.480]  我都想問一下我們中間的母鼎姊妹
[00:00:03.480 --> 00:00:07.740]  你一聽見耶穌基督的福音就決志信耶穌
[00:00:07.740 --> 00:00:09.360]  不知道有沒有呢?
[00:00:09.360 --> 00:00:11.180]  咦 有的呀?
[00:00:11.180 --> 00:00:13.740]  應該是有的 剛才我們早堂
[00:00:13.740 --> 00:00:16.800]  早堂 你覺得我好像很驚訝
[00:00:16.800 --> 00:00:18.980]  有的 其實在聖經裏面可以見到
[00:00:18.980 --> 00:00:21.280]  其實今天也有發生
[00:00:21.280 --> 00:00:23.240]  不過只不過想問這個問題的時候
[00:00:23.240 --> 00:00:25.320]  是因為按我們觀察
[00:00:25.320 --> 00:00:27.880]  其實包括我自己成長的歷程
[00:00:27.880 --> 00:00:29.900]  認識耶穌得救的歷程
[00:00:29.900 --> 00:00:32.220]  其實都是一個歷程
[00:00:32.220 --> 00:00:33.640]  都是一個過程
[00:00:33.640 --> 00:00:35.120]  經過一些時間
[00:00:35.120 --> 00:00:37.360]  由不認識到認識以後
[00:00:37.360 --> 00:00:40.640]  然後因著明白耶穌的愛接受
[00:00:40.640 --> 00:00:42.760]  或者我們感受到耶穌的愛
[00:00:42.760 --> 00:00:44.480]  好了 雖然我不太明白
[00:00:44.480 --> 00:00:46.940]  所有 因為的而且確
[00:00:46.940 --> 00:00:50.540]  聖經的真理有心 有淺
[00:00:50.540 --> 00:00:52.960]  淺到連一個小朋友都明白
[00:00:52.960 --> 00:00:55.720]  也可以讀很多個博士學位
[00:00:55.720 --> 00:00:56.680]  都未必完全明白
[00:00:56.680 --> 00:00:57.920]  因為上帝的
[00:00:57.920 --> 00:01:00.600]  就等於一首很古老的詩歌
[00:01:00.600 --> 00:01:02.360]  它說上帝的愛
[00:01:02.360 --> 00:01:04.760]  是我們就算用了
[00:01:04.760 --> 00:01:07.060]  所有海洋的水做墨水
[00:01:07.060 --> 00:01:09.680]  將所有的樹木
[00:01:09.680 --> 00:01:11.000]  撼下來做筆桿
[00:01:11.000 --> 00:01:13.400]  都沒有辦法來描述
[00:01:13.400 --> 00:01:14.700]  詳細明白
[00:01:14.700 --> 00:01:18.640]  沒有辦法完全詳細地來描述得盡
[00:01:18.640 --> 00:01:20.280]  所以其實
[00:01:20.280 --> 00:01:21.760]  我們都仍然是
[00:01:21.760 --> 00:01:23.200]  學習認識上帝的當中
[00:01:23.200 --> 00:01:25.520]  不過我今天很想跟大家分享
[00:01:25.520 --> 00:01:28.940]  就是我們的起步
[00:01:28.940 --> 00:01:30.700]  以及我們每一天的延展
[00:01:30.700 --> 00:01:33.600]  我們基督徒的生命的延展
[00:01:33.600 --> 00:01:35.700]  一個人信耶穌
[00:01:35.700 --> 00:01:38.460]  多數是經歷一個過程
[00:01:38.460 --> 00:01:39.580]  不論長短
[00:01:39.580 --> 00:01:41.600]  都是有一個循序漸進
[00:01:41.600 --> 00:01:43.480]  所以當我看一本
[00:01:43.480 --> 00:01:46.300]  由沙田浸信會的主任牧師
[00:01:46.300 --> 00:01:49.080]  梁廷英牧師所寫的書
[00:01:49.080 --> 00:01:51.260]  這本書叫做《童心妄語》
[00:01:51.260 --> 00:01:54.360]  托闊你福音領域的感染力的時候
[00:01:54.360 --> 00:01:56.340]  他就有以下的觀察
[00:01:56.340 --> 00:01:57.200]  他說
[00:01:57.200 --> 00:01:58.240]  一個人信耶穌
[00:01:58.240 --> 00:01:59.960]  有一些這樣的步驟
[00:01:59.960 --> 00:02:01.280]  有一些這樣的進程
[00:02:01.280 --> 00:02:01.840]  第一
[00:02:01.840 --> 00:02:04.480]  是未聽過福音信息的人
[00:02:04.480 --> 00:02:07.120]  我們都曾經未聽過
[00:02:07.120 --> 00:02:09.580]  可能有自己不同的宗教的信仰
[00:02:09.580 --> 00:02:11.440]  或者沒有信仰都不要緊
[00:02:11.440 --> 00:02:14.180]  不過就是未聽過耶穌
[00:02:14.180 --> 00:02:16.680]  不知道原來耶穌愛我們
[00:02:16.680 --> 00:02:19.280]  或者會覺得宗教只不過是導人向善
[00:02:19.280 --> 00:02:21.060]  條條大路通羅馬而已
[00:02:21.060 --> 00:02:22.480]  沒什麼所謂
[00:02:22.480 --> 00:02:24.480]  或者會有一些誤解
[00:02:24.480 --> 00:02:28.400]  覺得宗教都是
[00:02:28.400 --> 00:02:30.080]  這個很籠統的說法
[00:02:30.080 --> 00:02:32.520]  或者是有一個偏見的看法
[00:02:32.520 --> 00:02:34.260]  覺得宗教是
[00:02:34.260 --> 00:02:39.440]  好像一種箝制人的力量
[00:02:39.440 --> 00:02:40.720]  第二
[00:02:40.720 --> 00:02:42.240]  是聽過福音
[00:02:42.240 --> 00:02:44.720]  不過不願意接受
