
[00:00:00.000 --> 00:00:04.200]  最近的新聞報告也提到
[00:00:04.200 --> 00:00:13.000]  中國人的羊的爭論性究竟是綿羊還是山羊呢?
[00:00:13.000 --> 00:00:18.400]  因爲在我們牧羊的歷程裏
[00:00:18.400 --> 00:00:23.800]  中國有幾千年的歷史是牧養綿羊的
[00:00:23.800 --> 00:00:29.000]  但很多雕塑裏面是用山羊作爲表徵
[00:00:29.000 --> 00:00:33.200]  但是我們看到在聖經裏面提到
[00:00:33.200 --> 00:00:38.000]  上星期師母講到山羊和綿羊的關係
[00:00:38.000 --> 00:00:40.400]  其實在中文裏面也有提到
[00:00:40.400 --> 00:00:43.000]  用綿羊是代表着好人
[00:00:43.000 --> 00:00:46.000]  用山羊是代表着壞人
[00:00:46.000 --> 00:00:48.600]  我們在聖經裏面提到的
[00:00:48.600 --> 00:00:53.600]  憲制的問題是包括在中亞地區也有憲制
[00:00:53.600 --> 00:00:57.400]  我們中國也有制治的儀式
[00:00:57.400 --> 00:01:00.400]  所以當西方宣教士來到中國的時候
[00:01:00.400 --> 00:01:03.000]  他們研究中文的過程裏面
[00:01:03.000 --> 00:01:06.200]  他們特別喜歡"義"這個字
[00:01:06.200 --> 00:01:07.600]  因爲在聖經裏面
[00:01:07.600 --> 00:01:09.800]  "恩訊稱義"這個"義"字
[00:01:09.800 --> 00:01:13.800]  在中文來說是一隻羊羔在我之上
[00:01:13.800 --> 00:01:16.000]  我就稱爲義
[00:01:16.000 --> 00:01:19.000]  所以也是很符合聖經所講的
[00:01:19.000 --> 00:01:25.000]  當一個羊被憲制之後能夠遮蓋我的罪
[00:01:25.000 --> 00:01:26.800]  我就被稱爲義
[00:01:26.800 --> 00:01:31.200]  而另外一個字我們知道是"吉祥"這個"祥"字
[00:01:31.200 --> 00:01:34.800]  是跟"吉羊"是相通的
[00:01:34.800 --> 00:01:39.800]  其實我們看到是憲了一隻羊羔之後
[00:01:39.800 --> 00:01:43.200]  帶來了人的吉祥
[00:01:43.200 --> 00:01:45.200]  因爲在猶太人來說
[00:01:45.200 --> 00:01:46.600]  他用平安
[00:01:46.600 --> 00:01:49.400]  其實我們中國人的平安
[00:01:49.400 --> 00:01:52.800]  和猶太人的平安是差很遠的
[00:01:52.800 --> 00:01:55.000]  因爲在猶太人的平安
[00:01:55.000 --> 00:01:58.000]  差不多是包括了我們中國人的
[00:01:58.000 --> 00:02:01.400]  平安和吉祥的意義在當中
[00:02:01.400 --> 00:02:02.800]  我們更加明白
[00:02:02.800 --> 00:02:06.200]  在我們中文字裏面
[00:02:06.200 --> 00:02:08.800]  吉祥和吉羊是通用的時候
[00:02:08.800 --> 00:02:11.400]  通常會寫作"吉羊"
[00:02:11.400 --> 00:02:16.200]  而我們看到是"神"字部的部首
[00:02:16.200 --> 00:02:20.600]  是代表着當一隻羊憲制給他的神的時候
[00:02:20.600 --> 00:02:23.800]  憲制給憲制者的神的時候
[00:02:23.800 --> 00:02:27.000]  就帶來了吉祥的局面
[00:02:27.000 --> 00:02:29.600]  也是好像猶太人所說的
[00:02:29.600 --> 00:02:31.400]  帶來了他的平安
[00:02:31.400 --> 00:02:34.000]  但是我們中國文化裏面沒有解釋到
[00:02:34.000 --> 00:02:36.600]  爲什麼憲制或者祭祀
[00:02:36.600 --> 00:02:40.600]  是憲了羊的時候能夠帶來了吉祥
[00:02:40.600 --> 00:02:42.000]  在聖經裏面就有提及到
[00:02:42.000 --> 00:02:44.600]  《希伯來書》十章十四節說
[00:02:44.600 --> 00:02:46.200]  因爲他一旦憲制
[00:02:46.200 --> 00:02:51.000]  便叫那得以成聖的人永遠的圓存
[00:02:51.000 --> 00:02:52.000]  在這段經文裏面
[00:02:52.000 --> 00:02:56.200]  希望弟兄姐妹都能夠記在心中
[00:02:56.200 --> 00:02:58.000]  因爲《未來日子》裏面
[00:02:58.000 --> 00:03:00.200]  我們都會提及到
[00:03:00.200 --> 00:03:05.200]  在近代這一段期間裏面
[00:03:05.200 --> 00:03:07.400]  我們知道無論在國內的
[00:03:07.400 --> 00:03:11.000]  "迴歸耶路撒冷"
[00:03:11.000 --> 00:03:13.000]  或者是很多的
[00:03:13.000 --> 00:03:18.000]  靈恩的運動提倡到要祝福以色列
[00:03:18.000 --> 00:03:21.200]  當中有提及到的有兩派的人士
[00:03:21.200 --> 00:03:24.800]  包括了究竟會不會重建聖殿呢?
[00:03:24.800 --> 00:03:28.000]  如果重建聖殿的時候又會發生什麼事呢?
[00:03:28.000 --> 00:03:31.600]  如果根據舊約的以西潔書的時候
[00:03:31.600 --> 00:03:36.000]  照字面解釋是會有重建聖殿的可能性
[00:03:36.000 --> 00:03:39.400]  但是根據《希伯來書》的第十章十四節
[00:03:39.400 --> 00:03:41.200]  耶穌一次的憲制
[00:03:41.200 --> 00:03:43.400]  已經有永遠的果效的話
[00:03:43.400 --> 00:03:44.800]  永遠的功效的話
[00:03:44.800 --> 00:03:47.600]  究竟還需不需要重建聖殿
[00:03:47.600 --> 00:03:52.000]  恢復"殺牛殺羊"的憲制呢?
[00:03:52.000 --> 00:03:55.000]  所以有一派人士根據《希伯來書》這段經文認爲
[00:03:55.000 --> 00:03:56.600]  是沒有這個必要的
[00:03:56.600 --> 00:03:57.600]  但是當然了
[00:03:57.600 --> 00:03:59.800]  有另一派人士會主張繼續的
[00:03:59.800 --> 00:04:03.200]  是要有重建聖殿的可能性
[00:04:03.200 --> 00:04:07.800]  我們見到無論是"迴歸耶路撒冷"
[00:04:07.800 --> 00:04:11.000]  或者是要祝福以色列的這種說法
[00:04:11.000 --> 00:04:14.800]  某程度上是將新約的救恩
[00:04:14.800 --> 00:04:18.400]  那種色彩慢慢磨滅的
[00:04:18.400 --> 00:04:20.200]  這是非常小心的事情
[00:04:20.200 --> 00:04:22.600]  往往這些運動
[00:04:22.600 --> 00:04:25.000]  是來自某些人的感動
[00:04:25.000 --> 00:04:28.200]  或者某些評論圖的帶領下
[00:04:28.200 --> 00:04:32.600]  他們就忽略了聖經的神學的重要性
[00:04:32.600 --> 00:04:37.400]  今天我們讀聖經不僅是經文重要
[00:04:37.400 --> 00:04:39.400]  但是神學是更加重要的
[00:04:39.400 --> 00:04:43.000]  因爲如何貫穿整個聖經
[00:04:43.000 --> 00:04:45.400]  我們在解經裏面有沒有錯誤
[00:04:45.400 --> 00:04:48.800]  在一些主張的運動裏面有沒有錯誤
[00:04:48.800 --> 00:04:51.600]  就很在乎神學的問題了
[00:04:51.600 --> 00:04:53.000]  在《羅馬書》
[00:04:53.000 --> 00:04:55.400]  我們在第二季裏面
