
[00:00:00.000 --> 00:00:02.000]  各位靚姐妹早晨
[00:00:02.000 --> 00:00:05.000]  元神的恩典常與你們同在
[00:00:05.000 --> 00:00:11.000]  今天是復活節,所以我們暫停舊約的講論
[00:00:11.000 --> 00:00:16.000]  復活節是基督教信仰最重要的節日之一
[00:00:16.000 --> 00:00:19.000]  紀念主耶穌從死裡復活
[00:00:19.000 --> 00:00:24.000]  修復這個被罪惡和死亡操控的世界
[00:00:24.000 --> 00:00:29.000]  讓我們看到天父仍然是天地的主
[00:00:29.000 --> 00:00:35.000]  生命仍然是天父終極要送贈給蒼生的禮物
[00:00:35.000 --> 00:00:40.000]  世界的權勢用死亡去掌控其他的人
[00:00:40.000 --> 00:00:45.000]  天父卻是要以生命去解救世界
[00:00:45.000 --> 00:00:50.000]  這個就是基督教信仰給我們看到的真相
[00:00:50.000 --> 00:00:54.000]  希望這個真相能夠給我們每一個人有希望
[00:00:54.000 --> 00:01:02.000]  在這個殘酷的世界中仍然堅持活出人愛與真理
[00:01:02.000 --> 00:01:05.000]  我們今天的講道經文
[00:01:05.000 --> 00:01:09.000]  其實是今天的福音書經課的其中一段
[00:01:09.000 --> 00:01:13.000]  就是約翰福音第20章第11至18節
[00:01:13.000 --> 00:01:15.000]  我讀一次這個經文
[00:01:15.000 --> 00:01:20.000]  約翰福音第20章第11至18節
[00:01:20.000 --> 00:01:26.000]  馬尼亞卻站在墳墓外邊哭哭的時候低頭往墳墓裡看
[00:01:26.000 --> 00:01:29.000]  就看見兩個天使穿著白衣
[00:01:29.000 --> 00:01:32.000]  在安放耶穌身體的地方坐著
[00:01:32.000 --> 00:01:35.000]  一個在頭,一個在尾,一個在腳
[00:01:35.000 --> 00:01:38.000]  天使對她說:「婦人,你為什麼哭?」
[00:01:38.000 --> 00:01:43.000]  她說:「因為有人把我主挪了去,我不知道放在哪裡」
[00:01:43.000 --> 00:01:50.000]  說了這話就轉過身來,看見耶穌站在哪裡,她不知道是耶穌
[00:01:50.000 --> 00:01:56.000]  耶穌問她說:「婦人,為什麼哭?你找哪一個呢?」
[00:01:56.000 --> 00:02:08.000]  耶穌以為是看員的,就對她說:「先生,若是你把他移了去,就請告訴我,你把他放在哪裡,我便去取他」
[00:02:08.000 --> 00:02:17.000]  耶穌說:「馬尼亞」,馬尼亞就轉過來用希伯來話對她說:「拉波利」
[00:02:17.000 --> 00:02:20.000]  拉波利就是「夫子」的意思
[00:02:20.000 --> 00:02:25.000]  耶穌說:「不要摸我,因為我還沒有升上去見我的父
[00:02:25.000 --> 00:02:28.000]  你往我弟兄那裡去,告訴他們說
[00:02:28.000 --> 00:02:34.000]  我要升上去見我的父,也是你們的父;見我的神,也是你們的神」
[00:02:34.000 --> 00:02:39.000]  「穆大拉的馬尼亞就去告訴門徒說,我已經看見了主
[00:02:39.000 --> 00:02:46.000]  他又將主對他說的說話,告訴他們」
[00:02:46.000 --> 00:02:54.000]  耶穌死了,安躺在墳墓裡,馬尼亞在哀悼
[00:02:54.000 --> 00:03:04.000]  這個馬尼亞,我們都知道,不是耶穌的母親,而是一個我們稱呼為「穆大拉的馬尼亞」
[00:03:04.000 --> 00:03:13.000]  按照其他福音書的記載,耶穌曾經在馬尼亞的身上趕出了七隻鬼
[00:03:13.000 --> 00:03:22.000]  看來這位女士曾經被過往的一些痛苦牢牢地抓住
[00:03:22.000 --> 00:03:30.000]  而耶穌解救了她,她領受了耶穌的恩典,領受得很深
[00:03:30.000 --> 00:03:34.000]  故此她對耶穌的愛,也愛得很深
[00:03:34.000 --> 00:03:39.000]  她在這裡為耶穌的死,深深的哀悼
[00:03:39.000 --> 00:03:43.000]  我們看回經文第十一節和第十二節
[00:03:43.000 --> 00:03:50.000]  馬尼亞站在墳墓外哭,哭的時候她低頭往墳墓裡看
[00:03:50.000 --> 00:03:57.000]  看到兩個天使穿著白衣,在安放耶穌身體的地方坐著
[00:03:57.000 --> 00:04:00.000]  一個在頭,一個在腳
[00:04:00.000 --> 00:04:04.000]  馬尼亞發現耶穌的遺體不見了
[00:04:04.000 --> 00:04:12.000]  在原先安放耶穌遺體的地方,有兩個天使,一個在頭,一個在腳
[00:04:12.000 --> 00:04:17.000]  我們對這些畫面沒有任何感覺
[00:04:17.000 --> 00:04:21.000]  因為我們不在猶太的文化裡面
[00:04:21.000 --> 00:04:25.000]  但是猶太人一看,他立即就會意識到
[00:04:25.000 --> 00:04:29.000]  這個就是約櫃上面的私姻座
[00:04:29.000 --> 00:04:32.000]  我們看一看這個圖
[00:04:32.000 --> 00:04:39.000]  大家有時候去以色列旅行,有時候也會買這個約櫃做一個手信
[00:04:39.000 --> 00:04:42.000]  我也有一隻這樣的手信
[00:04:42.000 --> 00:04:45.000]  這個其實是約櫃
[00:04:45.000 --> 00:04:50.000]  私姻座,私語的私,姻典的姻,座位的座
[00:04:50.000 --> 00:04:55.000]  私姻座,其實就是約櫃的頂蓋
[00:04:55.000 --> 00:05:00.000]  約櫃的頂蓋,代表著神的臨在
[00:05:00.000 --> 00:05:05.000]  我們看另一幅圖,可能再清楚一點
[00:05:05.000 --> 00:05:08.000]  約櫃上面有個頂蓋
[00:05:08.000 --> 00:05:12.000]  頂蓋我們叫做私姻座
[00:05:12.000 --> 00:05:15.000]  這個代表神的臨在
[00:05:15.000 --> 00:05:21.000]  神的臨在在這個約櫃之上,他守護著神和人之間這個約的連繫
[00:05:21.000 --> 00:05:26.000]  而在那個約櫃的頂蓋,這個私姻座的兩邊
[00:05:26.000 --> 00:05:29.000]  正正就是兩個天使相對
[00:05:29.000 --> 00:05:36.000]  而在贖罪日,滯生的血會彈在這個私姻座上面
[00:05:36.000 --> 00:05:43.000]  是神的子民仰望,神的恩典裡面的寬恕
[00:05:43.000 --> 00:05:48.000]  當然,若果安堂耶穌遺體的這個石板
[00:05:48.000 --> 00:05:50.000]  已經成為了私姻座
[00:05:50.000 --> 00:05:55.000]  那耶穌的血也都會多少會沾在這個私姻座上面
[00:05:55.000 --> 00:06:02.000]  也都能夠很清楚地表達神對罪人的赦免
[00:06:02.000 --> 00:06:06.000]  我們平時在受難日或者復活日
[00:06:06.000 --> 00:06:11.000]  我們通常就拿來做培靈,培養一下我們裡面的感覺
[00:06:11.000 --> 00:06:14.000]  有時很感動,有時很歡欣
[00:06:14.000 --> 00:06:17.000]  但是福音書的記載很想我們知道
[00:06:17.000 --> 00:06:20.000]  其實受難日一直到復活日
[00:06:20.000 --> 00:06:25.000]  其實是上帝在重造這個天地
[00:06:25.000 --> 00:06:29.000]  他進行一個不是我們內心的感覺的工程
[00:06:29.000 --> 00:06:36.000]  他是在做一個很偉大的、客觀的天地的工程
[00:06:36.000 --> 00:06:43.000]  上帝在這裡將耶穌的死地創造成為一個新的私姻座
[00:06:43.000 --> 00:06:47.000]  人類的罪固然破壞了神和人的關係
[00:06:47.000 --> 00:06:53.000]  但是耶穌因愛而流血的這個行動
[00:06:53.000 --> 00:06:59.000]  表達了神以愛來回報人類的罪
[00:06:59.000 --> 00:07:02.000]  就在這個安放耶穌為體的地方
[00:07:02.000 --> 00:07:07.000]  上帝創造出一個新的私姻座
[00:07:07.000 --> 00:07:12.000]  神就在這裡,臨在人間
[00:07:12.000 --> 00:07:15.000]  神和人,天和地
[00:07:15.000 --> 00:07:21.000]  就在耶穌犧牲的這個地方重新復活
[00:07:21.000 --> 00:07:25.000]  神不是不理世人的死活
[00:07:25.000 --> 00:07:29.000]  祂在耶穌的死裡面臨在人間
[00:07:29.000 --> 00:07:31.000]  在耶穌的復活裡面
[00:07:31.000 --> 00:07:35.000]  顯明祂勝過罪惡和死亡
[00:07:35.000 --> 00:07:44.000]  而這個私姻座就是神臨在人間作皇的一個記號
[00:07:44.000 --> 00:07:48.000]  安放耶穌的為體成為了一個私姻座
[00:07:48.000 --> 00:07:52.000]  今天來說,或者我們可以說
