
[00:00:00.000 --> 00:00:10.000]  讓我邀請大家再一次跟我一起低頭同心的祈禱
[00:00:10.000 --> 00:00:13.000]  請讓我們知道
[00:00:13.000 --> 00:00:16.000]  當我們打開你的話語的時候
[00:00:16.000 --> 00:00:21.000]  你的靈就會與我們同在
[00:00:21.000 --> 00:00:23.000]  求你幫助我們
[00:00:23.000 --> 00:00:25.000]  使我們由悟性
[00:00:25.000 --> 00:00:27.000]  去聆聽你的話語的時候
[00:00:27.000 --> 00:00:30.000]  去看到自己的光景
[00:00:30.000 --> 00:00:35.000]  也知道你要對我們個別說的話
[00:00:35.000 --> 00:00:39.000]  願說的和聽的都同夢你的月亮
[00:00:39.000 --> 00:00:41.000]  祈禱奉主耶穌基督的名求
[00:00:41.000 --> 00:00:43.000]  阿門
[00:00:43.000 --> 00:00:49.000]  今天跟大家說的經文是初一及二的六章一至九節
[00:00:49.000 --> 00:00:54.000]  讓我們一起中讀這段經文
[00:00:54.000 --> 00:00:57.000]  耶和華對摩西說
[00:00:57.000 --> 00:01:02.000]  現在你必看見我向法老所行的事
[00:01:02.000 --> 00:01:06.000]  使他因我大能的手放以色列人走
[00:01:06.000 --> 00:01:11.000]  因我大能的手把他們趕出他的地
[00:01:11.000 --> 00:01:14.000]  上帝吩咐摩西對他說
[00:01:14.000 --> 00:01:16.000]  我是耶和華
[00:01:16.000 --> 00:01:18.000]  我從前向阿伯拉罕
[00:01:18.000 --> 00:01:22.000]  以撒瓦各顯現為全能的上帝
[00:01:22.000 --> 00:01:25.000]  至於我的名耶和華
[00:01:25.000 --> 00:01:28.000]  我未曾讓他們知道
[00:01:28.000 --> 00:01:31.000]  我要與他們建立我的約
[00:01:31.000 --> 00:01:33.000]  要把迦南地
[00:01:33.000 --> 00:01:36.000]  他們寄居的地賜給他們
[00:01:36.000 --> 00:01:40.000]  我聽見以色列人被埃及人奴役的哀聲
[00:01:40.000 --> 00:01:43.000]  我就紀念我的約
[00:01:43.000 --> 00:01:46.000]  所以你要對以色列人說
[00:01:46.000 --> 00:01:48.000]  我是耶和華
[00:01:48.000 --> 00:01:52.000]  我要除去埃及人加給你們的奴役
[00:01:52.000 --> 00:01:55.000]  救你們脫離他們的奴役
[00:01:55.000 --> 00:01:57.000]  我要用新出來的棒臂
[00:01:57.000 --> 00:02:01.000]  藉嚴厲的懲罰救贖你們
[00:02:01.000 --> 00:02:04.000]  我要以你們為我的百姓
[00:02:04.000 --> 00:02:07.000]  我也要作你們的上帝
[00:02:07.000 --> 00:02:11.000]  我除去埃及人加給你們的奴役
[00:02:11.000 --> 00:02:15.000]  你們就知道我是耶和華你們的上帝
[00:02:15.000 --> 00:02:18.000]  我起誓應許給亞伯拉罕
[00:02:18.000 --> 00:02:21.000]  以撒瓦各的地
[00:02:21.000 --> 00:02:23.000]  我要領你們進去
[00:02:23.000 --> 00:02:26.000]  將那地賜給你們為業
[00:02:26.000 --> 00:02:28.000]  我是耶和華
[00:02:28.000 --> 00:02:31.000]  摩西把這話告訴以色列人
[00:02:31.000 --> 00:02:34.000]  但是他們因心裡受罰
[00:02:34.000 --> 00:02:39.000]  又因苦工就不肯聽摩西的話
[00:02:39.000 --> 00:02:42.000]  這段經文在《倡埃及記》第六章
[00:02:42.000 --> 00:02:49.000]  是以色列人離開埃及之前的一段事跡
[00:02:49.000 --> 00:02:56.000]  全段經文其實是講摩西和上帝一段的祈禱
[00:02:56.000 --> 00:03:00.000]  之後上帝對摩西的回應
[00:03:00.000 --> 00:03:02.000]  我相信大家可能上主學的時候
[00:03:02.000 --> 00:03:04.000]  或者教主學或者團契
[00:03:04.000 --> 00:03:06.000]  都很熟悉這一段的歷史
[00:03:06.000 --> 00:03:13.000]  讓我簡單講講前因
[00:03:13.000 --> 00:03:15.000]  大家都知道
[00:03:15.000 --> 00:03:19.000]  雅各一家因為饑荒的緣故
[00:03:19.000 --> 00:03:22.000]  去了埃及居住
[00:03:22.000 --> 00:03:25.000]  不過自從他的兒子約瑟死了之後
[00:03:25.000 --> 00:03:29.000]  以色列人在埃及地居住了三四代之後
[00:03:29.000 --> 00:03:33.000]  不認識約瑟對埃及有恩的法老出現之後
[00:03:33.000 --> 00:03:36.000]  就讓以色列民由上賓客
[00:03:36.000 --> 00:03:38.000]  最初進去的時候是上賓客
[00:03:38.000 --> 00:03:41.000]  漸次淪為奴隸
[00:03:41.000 --> 00:03:43.000]  以色列民因為受奴役的關係
