
[00:00:00.000 --> 00:00:03.340]  見到這個題目有什麼感覺呢?
[00:00:03.340 --> 00:00:09.320]  我的女兒說是「抽水」
[00:00:09.320 --> 00:00:12.360]  是啊,抽水
[00:00:12.360 --> 00:00:18.500]  因為近日看新聞的都認識這個詞彙
[00:00:18.500 --> 00:00:24.080]  田老師、中文老師很少教這些詞彙
[00:00:24.080 --> 00:00:25.920]  現在新近會用
[00:00:25.920 --> 00:00:29.980]  主要不是講那件事情
[00:00:29.980 --> 00:00:32.060]  利用了這個詞彙
[00:00:32.060 --> 00:00:34.820]  去帶出一些真理的信息
[00:00:34.820 --> 00:00:39.580]  希望大家有些認識和反省
[00:00:39.580 --> 00:00:42.220]  我們看聖經
[00:00:42.220 --> 00:00:44.540]  就是在哥林多前書一章
[00:00:44.540 --> 00:00:48.120]  有聖經的可以翻譯一下
[00:00:48.120 --> 00:00:49.940]  不方便翻譯聖經的
[00:00:49.940 --> 00:00:51.180]  就讓我們讀就行了
[00:00:51.180 --> 00:00:53.180]  27至31
[00:00:53.180 --> 00:00:56.320]  但是我最後決定從26節開始讀
[00:00:56.320 --> 00:00:57.820]  26至31
[00:01:00.460 --> 00:01:04.260]  哥林多前書26至31
[00:01:04.260 --> 00:01:12.560]  專門讓大家有機會翻譯聖經
[00:01:12.560 --> 00:01:19.500]  如果找到的話我們由26節開始讀
[00:01:19.500 --> 00:01:22.700]  哥林多前書一章26至31節
[00:01:22.700 --> 00:01:23.480]  我們一起讀
[00:01:23.480 --> 00:01:25.360]  弟兄們
[00:01:25.360 --> 00:01:27.780]  可見你們蒙召的
[00:01:30.980 --> 00:01:32.700]  有能力的不多
[00:01:32.700 --> 00:01:34.780]  有尊貴的也不多
[00:01:34.780 --> 00:01:38.200]  神卻如絕的
[00:01:38.200 --> 00:01:40.540]  叫有智慧的羞愧
[00:01:40.540 --> 00:01:43.260]  又揀選了世上軟弱的
[00:01:43.260 --> 00:01:45.660]  叫那強壯的羞愧
[00:01:45.660 --> 00:01:48.940]  神也揀選了世上卑賤的
[00:01:48.940 --> 00:01:50.500]  被人厭惡的
[00:01:50.500 --> 00:01:52.340]  以及那無有的
[00:01:52.340 --> 00:01:54.660]  為要廢掉那有的
[00:01:54.660 --> 00:01:56.740]  使一切有血氣的
[00:01:56.740 --> 00:02:00.260]  在神面前一個也不能自誇
[00:02:00.260 --> 00:02:03.260]  但你們得在基督耶穌裡
[00:02:03.260 --> 00:02:04.780]  是本乎神
[00:02:04.780 --> 00:02:08.220]  神又使他成為我們的智慧
[00:02:08.220 --> 00:02:09.060]  公義
[00:02:09.060 --> 00:02:09.780]  聖潔
[00:02:09.780 --> 00:02:10.580]  救贖
[00:02:10.580 --> 00:02:12.220]  如經上所記
[00:02:12.220 --> 00:02:13.260]  誇厚的
[00:02:13.260 --> 00:02:15.340]  當指著主誇厚
[00:02:15.340 --> 00:02:16.160]  好
[00:02:16.160 --> 00:02:19.340]  主要的經文我們會環繞這一段來講
[00:02:19.340 --> 00:02:21.780]  大家看到開頭他就說
[00:02:21.780 --> 00:02:23.580]  你們蒙召的
[00:02:23.580 --> 00:02:25.860]  什麼叫蒙召的呢?
[00:02:26.140 --> 00:02:29.940]  很多人就誤會以為
[00:02:29.940 --> 00:02:32.580]  你蒙召奉獻
[00:02:32.580 --> 00:02:34.660]  全世間侍奉
[00:02:34.660 --> 00:02:35.540]  不是那些
[00:02:35.540 --> 00:02:37.100]  聖經其實也有提到
[00:02:37.100 --> 00:02:40.460]  說我們蒙召作聖徒
[00:02:40.460 --> 00:02:43.340]  我們蒙召信耶穌
[00:02:43.340 --> 00:02:44.620]  我們每一個人
[00:02:44.620 --> 00:02:45.980]  能夠信耶穌
[00:02:45.980 --> 00:02:48.180]  都是蒙神所召的
[00:02:48.180 --> 00:02:51.740]  是神用他的靈在我們的心靈裡面
