
[00:00:00.000 --> 00:00:02.000]  各位領袖們 早安
[00:00:02.000 --> 00:00:05.000]  在講道之先 我們再一次同心低頭祈禱
[00:00:05.000 --> 00:00:09.000]  聖天父 我們感謝祢 讓我們能夠一起去敬拜祢
[00:00:09.000 --> 00:00:12.000]  更加讓我們能夠去延讀祢的話語
[00:00:12.000 --> 00:00:15.000]  讓祢的真理去更新我們的生命
[00:00:15.000 --> 00:00:18.000]  聖靈 我們求祢現在就打開我們的心門
[00:00:18.000 --> 00:00:22.000]  軟化我們的心 挪開我們一切的雜念
[00:00:22.000 --> 00:00:24.000]  使我們能夠專心地仰望祢
[00:00:24.000 --> 00:00:27.000]  聆聽主祢自己透過聖經 向我們說話
[00:00:27.000 --> 00:00:32.000]  讓我們能夠走在主祢為我們預備的道路當中
[00:00:32.000 --> 00:00:35.000]  我們將以下時間恭敬的仰望給天父
[00:00:35.000 --> 00:00:38.000]  求聖靈親自在我們眾人的生命當中
[00:00:38.000 --> 00:00:41.000]  成就主祢今天要作的功
[00:00:41.000 --> 00:00:43.000]  祈禱奉主耶穌基督的名求
[00:00:43.000 --> 00:00:44.000]  下門
[00:00:44.000 --> 00:00:49.000]  我不知道如果有人問你
[00:00:49.000 --> 00:00:52.000]  我們常常說追求靈命成長
[00:00:52.000 --> 00:00:54.000]  你上了主一段時間了
[00:00:54.000 --> 00:00:57.000]  你有什麼秘訣呢
[00:00:57.000 --> 00:00:59.000]  我不知道你會怎麼回答
[00:00:59.000 --> 00:01:01.000]  或者你不要說是秘訣
[00:01:01.000 --> 00:01:03.000]  你的靈命成長有沒有什麼計劃
[00:01:03.000 --> 00:01:05.000]  或者是過去信了幾十年了
[00:01:05.000 --> 00:01:06.000]  有什麼元素
[00:01:06.000 --> 00:01:09.000]  有什麼能幫助你去索靈生命的成長呢
[00:01:09.000 --> 00:01:11.000]  你看這個圖 你看到神的生命
[00:01:11.000 --> 00:01:13.000]  我們的索靈生命
[00:01:13.000 --> 00:01:17.000]  神的心意就是讓我們一路一路地成長的
[00:01:17.000 --> 00:01:19.000]  這個是神在主的裡面
[00:01:19.000 --> 00:01:23.000]  其實我們的成長都需要神在我們生命裡面作功
[00:01:23.000 --> 00:01:26.000]  可能你回答的就交給神了
[00:01:26.000 --> 00:01:28.000]  但是我們的責任又如何呢
[00:01:28.000 --> 00:01:31.000]  或者你說我已經在上崇拜了
[00:01:31.000 --> 00:01:32.000]  上教會了
[00:01:32.000 --> 00:01:33.000]  我又上小組了
[00:01:33.000 --> 00:01:34.000]  又上主一學了
[00:01:34.000 --> 00:01:35.000]  又上祈禱會了
[00:01:35.000 --> 00:01:38.000]  又上各種的聚會了
[00:01:38.000 --> 00:01:40.000]  其實都很好了
[00:01:40.000 --> 00:01:42.000]  而且每一個聚會都很重要
