
[00:00:00.000 --> 00:00:04.500]  今天我選擇了《崔埃及記》這段經文
[00:00:04.500 --> 00:00:06.500]  跟大家分享訊息
[00:00:06.500 --> 00:00:09.000]  《荊棘裡的火焰》
[00:00:09.000 --> 00:00:18.000]  上星期我收到許德里孫教士許姑娘的通訊
[00:00:18.000 --> 00:00:21.000]  可能有些人和她熟悉也會收到她的通訊
[00:00:21.000 --> 00:00:27.500]  知道她最近出了一本三百多頁的書
[00:00:28.000 --> 00:00:35.000]  書名叫 Available Any Bush Will Do
[00:00:35.000 --> 00:00:39.000]  我還沒看過這本書
[00:00:39.000 --> 00:00:41.000]  遲些我會買來看
[00:00:41.000 --> 00:00:44.000]  也會多買一兩本借給大家看
[00:00:44.000 --> 00:00:51.000]  我只能夠用我現在的理解來翻譯這本書名
[00:00:51.000 --> 00:00:53.000]  意思就是說
[00:00:53.000 --> 00:00:55.000]  隨時候命
[00:00:55.000 --> 00:00:57.000]  什麼荊棘都可以
[00:00:59.000 --> 00:01:07.000]  我從書名和簡單的書的介紹
[00:01:07.000 --> 00:01:09.000]  我已經覺得很感動
[00:01:09.000 --> 00:01:11.000]  簡介這樣說
[00:01:11.000 --> 00:01:17.000]  許德里孫教士曾經到過11個國家工作
[00:01:17.000 --> 00:01:27.000]  包括美國、加拿大、香港、中國、泰國、澳洲、蒙古、馬來西亞、巴拿馬、印度和蘇聯
[00:01:27.000 --> 00:01:30.000]  當然他在香港的時間最長
[00:01:30.000 --> 00:01:32.000]  有40年
[00:01:32.000 --> 00:01:40.000]  他在每一個地方都見到神使人驚喜的作為
[00:01:40.000 --> 00:01:45.000]  我去查字典查英文這個英文字
[00:01:45.000 --> 00:01:48.000]  Available的意思究竟是什麼呢?
[00:01:48.000 --> 00:01:53.000]  Available這個字的意思可以是
[00:01:53.000 --> 00:01:57.000]  在手邊的,即是很袖手的
[00:01:57.000 --> 00:01:59.000]  合用的
[00:01:59.000 --> 00:02:01.000]  現省可用的
[00:02:01.000 --> 00:02:04.000]  還有一個很特別的解釋
[00:02:04.000 --> 00:02:08.000]  合之格平樂於服務的
[00:02:08.000 --> 00:02:10.000]  這個字很有意思
[00:02:10.000 --> 00:02:12.000]  Available這個字
[00:02:12.000 --> 00:02:17.000]  我可以想像許姑娘是神手邊
[00:02:17.000 --> 00:02:21.000]  很袖手、很合用的器皿
[00:02:21.000 --> 00:02:25.000]  而且她是很樂意為神為人服務
[00:02:25.000 --> 00:02:31.000]  故此只要有少少的神的聲音
[00:02:31.000 --> 00:02:35.000]  或者是一波很小的荊棘
[00:02:35.000 --> 00:02:38.000]  透過很小的火焰
[00:02:38.000 --> 00:02:42.000]  甚至是任何的一波荊棘
[00:02:42.000 --> 00:02:49.000]  都可以令到許姑娘她就按神的吩咐出發
[00:02:49.000 --> 00:02:51.000]  去神要她去的地方
[00:02:51.000 --> 00:02:54.000]  做神要她做的工作
[00:02:54.000 --> 00:02:57.000]  簡介最後這樣說
[00:02:57.000 --> 00:03:03.000]  神仍然會用手邊現省的器皿
[00:03:03.000 --> 00:03:08.000]  什麼荊棘都可以
[00:03:08.000 --> 00:03:15.000]  但願我們每一個都能夠成為神手邊
[00:03:15.000 --> 00:03:20.000]  很合用、很袖手、很現省可以用的器皿
[00:03:20.000 --> 00:03:23.000]  被神所用
[00:03:23.000 --> 00:03:26.000]  而且就在被神所用當中
[00:03:26.000 --> 00:03:29.000]  去經歷神的榮耀和恩典
[00:03:29.000 --> 00:03:32.000]  盼望透過今天的訊息
[00:03:32.000 --> 00:03:36.000]  透過摩西和神的對話這個遭遇
[00:03:36.000 --> 00:03:38.000]  讓我們大家一起去學習
[00:03:38.000 --> 00:03:43.000]  這個樂於被神所用的功課
[00:03:46.000 --> 00:03:50.000]  剛才大家讀的一段經文
[00:03:50.000 --> 00:03:53.000]  是《昌合及記》三章一至十節
[00:03:53.000 --> 00:03:55.000]  是神在荷列山
[00:03:55.000 --> 00:03:57.000]  荷列山即是西乃山
[00:03:57.000 --> 00:04:00.000]  在那裡呼召摩西時的對話
[00:04:00.000 --> 00:04:02.000]  其實只是一段開場白
[00:04:02.000 --> 00:04:06.000]  接著整個三章直到第四章
[00:04:06.000 --> 00:04:10.000]  都是寄述整個摩西和神的對話
[00:04:10.000 --> 00:04:16.000]  可以說是摩西討價還價的對話
[00:04:16.000 --> 00:04:20.000]  我相信大部分人都熟悉
[00:04:20.000 --> 00:04:23.000]  第三章至第四章整個故事
[00:04:23.000 --> 00:04:28.000]  所以我不打算重複講述這個故事的內容
[00:04:28.000 --> 00:04:32.000]  如果有些還沒有看過這個故事
[00:04:32.000 --> 00:04:36.000]  我鼓勵你有時間的時候去看這個故事
[00:04:36.000 --> 00:04:38.000]  最好由第一章開始看
[00:04:38.000 --> 00:04:40.000]  看到第四章
[00:04:40.000 --> 00:04:43.000]  我鼓勵你看到第四章的時候
[00:04:43.000 --> 00:04:44.000]  你不會停的
[00:04:44.000 --> 00:04:45.000]  你會繼續看下去
[00:04:45.000 --> 00:04:47.000]  因為這個故事是很精彩的
[00:04:47.000 --> 00:04:51.000]  當我去看一些識經書的時候
[00:04:51.000 --> 00:04:53.000]  很多識經書的作者
[00:04:53.000 --> 00:04:57.000]  他形容這兩章的聖經裡的對話
[00:04:57.000 --> 00:05:03.000]  是神與人直接會面最精彩的一幕
[00:05:05.000 --> 00:05:08.000]  根據聖經的記載
[00:05:08.000 --> 00:05:11.000]  神的確曾經很多次
[00:05:11.000 --> 00:05:15.000]  向不同的人或先知對話
[00:05:15.000 --> 00:05:18.000]  比如最初的創世紀
[00:05:18.000 --> 00:05:20.000]  神與亞當夏娃對話
[00:05:20.000 --> 00:05:23.000]  但不是很多,只有三幾句
[00:05:23.000 --> 00:05:27.000]  神會與阿伯拉罕亞各對話
[00:05:27.000 --> 00:05:31.000]  與薩姆爾、以利亞先知
[00:05:31.000 --> 00:05:34.000]  還有以塞亞先知
[00:05:34.000 --> 00:05:36.000]  與約書亞
[00:05:36.000 --> 00:05:42.000]  但是從來沒有像摩西那樣
[00:05:42.000 --> 00:05:44.000]  有這麼長的對話
[00:05:44.000 --> 00:05:46.000]  而且有這麼多次數的對話
[00:05:46.000 --> 00:05:50.000]  摩西也是唯一一個
[00:05:50.000 --> 00:05:54.000]  會被神稱為朋友的人
[00:05:54.000 --> 00:05:56.000]  神自己說
[00:05:56.000 --> 00:06:00.000]  祂與摩西說話是面對面直接說話
[00:06:00.000 --> 00:06:02.000]  祂是唯一的一個
[00:06:05.000 --> 00:06:11.000]  很多人讀到這段對話的時候
[00:06:11.000 --> 00:06:15.000]  會評論說摩西在討價還價
[00:06:15.000 --> 00:06:17.000]  甚至是推三推四
[00:06:17.000 --> 00:06:20.000]  想不聽神的吩咐
[00:06:20.000 --> 00:06:24.000]  說到最後只不過是勉強
[00:06:24.000 --> 00:06:26.000]  接受神的吩咐
[00:06:26.000 --> 00:06:31.000]  回到埃及將以色列人帶出來
[00:06:31.000 --> 00:06:35.000]  我相信有些人也會這樣想
[00:06:35.000 --> 00:06:37.000]  我也會這樣想
[00:06:37.000 --> 00:06:40.000]  曾經也會一方面這樣想
[00:06:40.000 --> 00:06:45.000]  但是我們可以從另一方面去想
[00:06:45.000 --> 00:06:49.000]  當然之前的想法不一定是錯的
[00:06:49.000 --> 00:06:51.000]  是觀點的問題
[00:06:51.000 --> 00:06:55.000]  我們可以從另一個觀點去看今天的對話
[00:06:55.000 --> 00:06:58.000]  我們從積極的一面去看的時候
[00:06:58.000 --> 00:07:01.000]  我們會看到這是神的慈愛
[00:07:01.000 --> 00:07:03.000]  是神的憐憫
[00:07:03.000 --> 00:07:07.000]  神用了極大的耐心、耐性
[00:07:07.000 --> 00:07:10.000]  用極長的對話
[00:07:10.000 --> 00:07:14.000]  其實是去醫治了摩西
[00:07:14.000 --> 00:07:16.000]  他內心的創傷
[00:07:16.000 --> 00:07:21.000]  我們從對話的前因後果
