
[00:00:00.000 --> 00:00:03.040]  「彼得前書」第四章第七節至十一節
[00:00:03.040 --> 00:00:10.160]  找到了是嗎?我們一起讀一次,好嗎?這裡的經文
[00:00:10.160 --> 00:00:15.320]  如果還未揭一次,可以看看外面
[00:00:15.320 --> 00:00:16.640]  好,預備,請
[00:00:16.640 --> 00:00:19.240]  「萬物的結局近了」
[00:00:19.240 --> 00:00:23.840]  好,謝謝各位
[00:00:23.840 --> 00:00:27.080]  去到衙門就清醒一點了吧
[00:00:28.360 --> 00:00:32.640]  在經文裡面,一開始就說「萬物的結局近了」
[00:00:32.640 --> 00:00:34.840]  什麼叫做「萬物的結局」呢?
[00:00:34.840 --> 00:00:38.360]  大聲一點
[00:00:38.360 --> 00:00:41.320]  世界末日
[00:00:41.320 --> 00:00:43.880]  世界末日,大家有沒有想過會是怎樣的呢?
[00:00:43.880 --> 00:00:49.360]  世界末日,你們有沒有想過會是怎樣的呢?
[00:00:49.360 --> 00:00:52.560]  想都不敢想
[00:00:52.560 --> 00:00:56.160]  是嗎?世界末日到底會是怎樣的呢?
[00:00:56.160 --> 00:00:58.480]  上一年有人說過,是嗎?
[00:00:58.480 --> 00:01:00.760]  上一年,2012年,是嗎?
[00:01:00.760 --> 00:01:04.880]  咦,12月不知道22日還是23日,是嗎?
[00:01:04.880 --> 00:01:06.960]  按照這個亞馬力法,是嗎?
[00:01:06.960 --> 00:01:08.400]  世界末日
[00:01:08.400 --> 00:01:10.360]  說著說著,又一年了
[00:01:10.360 --> 00:01:11.520]  是嗎?
[00:01:11.520 --> 00:01:14.640]  世界末日到底會是怎樣的呢?
[00:01:14.640 --> 00:01:18.480]  彼得呢,對著一群頂姐妹
[00:01:18.480 --> 00:01:21.360]  對著一群正在面對苦難的基督徒
[00:01:21.360 --> 00:01:22.960]  勸勉他們什麼?他說
[00:01:22.960 --> 00:01:24.560]  「萬物的結局近了」
[00:01:24.560 --> 00:01:28.160]  就是說,這個世界的末日就快要來到了
[00:01:28.160 --> 00:01:28.960]  是嗎?
[00:01:28.960 --> 00:01:29.760]  其實
[00:01:29.760 --> 00:01:33.160]  萬物的結局近了,其實可以從兩個角度去看
[00:01:33.160 --> 00:01:36.880]  第一個角度,從一個未信耶穌的人的角度去看
