
[00:00:00.000 --> 00:00:06.240]  《馬太方》第七章21到29節
[00:00:06.240 --> 00:00:09.000]  其實《馬太方》這段經文
[00:00:09.000 --> 00:00:11.000]  不是由21節開始
[00:00:11.000 --> 00:00:13.000]  是從第五章開始
[00:00:13.000 --> 00:00:18.000]  其實是從第五章主耶穌和一大群人上到山上
[00:00:18.000 --> 00:00:22.000]  就開始了登山補訓
[00:00:22.000 --> 00:00:24.000]  由第五章開始
[00:00:24.000 --> 00:00:28.500]  經過第五章 經過第六章 去到第七章的結尾
[00:00:28.500 --> 00:00:32.000]  就是登山補訓的結語
[00:00:32.000 --> 00:00:34.500]  就是說在第七章的24節
[00:00:34.500 --> 00:00:38.500]  所以凡聽了我這些話有去做的
[00:00:38.500 --> 00:00:41.500]  這些話是指什麼話呢?
[00:00:41.500 --> 00:00:43.500]  就是指登山補訓
[00:00:43.500 --> 00:00:48.000]  合理來說就是《馬太方》第五章到第七章的登山補訓
[00:00:48.000 --> 00:00:50.000]  因為是一段說話的結語
[00:00:50.000 --> 00:00:51.500]  這些話
[00:00:51.500 --> 00:00:56.500]  廣義來說就是整本聖經的真理
[00:00:56.500 --> 00:00:59.000]  所以我們要問一個問題
[00:00:59.000 --> 00:01:02.000]  究竟主耶穌在登山補訓講過什麼?
[00:01:02.000 --> 00:01:06.000]  以至主耶穌會講這番話
[00:01:06.000 --> 00:01:09.000]  我們很快地回答一下 好嗎?
[00:01:09.000 --> 00:01:13.000]  《馬太方》第五章
[00:01:13.000 --> 00:01:15.000]  一開始
[00:01:15.000 --> 00:01:18.000]  由第三節開始就是講到八福
[00:01:18.000 --> 00:01:21.000]  講到我們做一個虛心的人
[00:01:21.000 --> 00:01:23.000]  做一個心靈貧窮的人
[00:01:23.000 --> 00:01:25.500]  我們要不再冷漠
[00:01:25.500 --> 00:01:28.000]  我們要懂得愛動
[00:01:28.000 --> 00:01:32.000]  我們心裡有謙和有溫柔
[00:01:32.000 --> 00:01:34.500]  我們要學武功義
