
[00:00:00.000 --> 00:00:02.000]  靈姐妹晚安
[00:00:02.000 --> 00:00:04.000]  今天我的講題是
[00:00:04.000 --> 00:00:10.000]  「連世中追隨基督,你選生活還是生命?」
[00:00:10.000 --> 00:00:15.000]  我們人生裏面很多時候都被人逼到埋牆角
[00:00:15.000 --> 00:00:21.000]  很多時候我們想做的事未必做得到
[00:00:21.000 --> 00:00:24.000]  在這段聖經裏面
[00:00:24.000 --> 00:00:27.000]  有耶穌被人逼到埋牆角
[00:00:27.000 --> 00:00:29.000]  又有門徒被人逼到埋牆角
[00:00:29.000 --> 00:00:32.000]  可能我們自己生命裏面都經常被人逼到埋牆角
[00:00:32.000 --> 00:00:34.000]  求上帝幫助我們
[00:00:34.000 --> 00:00:36.000]  讓我們懂得去選擇
[00:00:36.000 --> 00:00:37.000]  我們一起禱告
[00:00:37.000 --> 00:00:39.000]  愛我們的天父上帝
[00:00:39.000 --> 00:00:40.000]  我們多謝祢
[00:00:40.000 --> 00:00:43.000]  因為我們是蒙愛的兒女
[00:00:43.000 --> 00:00:45.000]  是祢掌上明珠
[00:00:45.000 --> 00:00:48.000]  主啊,實在我們可能很多事都不認識
[00:00:48.000 --> 00:00:51.000]  也可能很多事我們不懂得去分辨
[00:00:51.000 --> 00:00:53.000]  甚至連選擇我們都有困難
[00:00:53.000 --> 00:00:56.000]  我願主讓我們在中間
[00:00:56.000 --> 00:00:58.000]  從耶穌你的身上
[00:00:58.000 --> 00:01:01.000]  從很多問題很多壓力的張力裏面
[00:01:01.000 --> 00:01:04.000]  讓我們懂得選擇最好的
[00:01:04.000 --> 00:01:05.000]  願主你幫助我們
[00:01:05.000 --> 00:01:06.000]  引領我們
[00:01:06.000 --> 00:01:07.000]  祈禱奉主耶穌的名給
[00:01:07.000 --> 00:01:08.000]  阿們
[00:01:28.000 --> 00:01:32.000]  這個五餅二魚就只成為背景
[00:01:32.000 --> 00:01:37.000]  因為其實約翰寫書的時候
[00:01:37.000 --> 00:01:41.000]  他很特別地選擇不同的神蹟
[00:01:41.000 --> 00:01:43.000]  耶穌行的神蹟很多
[00:01:43.000 --> 00:01:44.000]  四十幾個
[00:01:44.000 --> 00:01:45.000]  四五十個
[00:01:45.000 --> 00:01:48.000]  但他偏偏只選擇了
[00:01:48.000 --> 00:01:51.000]  不是很多件神蹟
[00:01:51.000 --> 00:01:53.000]  只選擇了七件
[00:01:53.000 --> 00:01:55.000]  所以這是其中一件
