
[00:00:00.000 --> 00:00:02.000]  各位老後記早晨
[00:00:02.000 --> 00:00:05.500]  你剛才坐在這裡的時候
[00:00:05.500 --> 00:00:07.500]  你感覺如何
[00:00:07.500 --> 00:00:10.500]  很舒服是吧
[00:00:10.500 --> 00:00:13.500]  我剛才坐在這裡的時候聽了很多粵曲
[00:00:13.500 --> 00:00:16.500]  聽完粵曲的時候我突然回想到
[00:00:16.500 --> 00:00:21.000]  我小時候原來那時候很流行陳寶珠
[00:00:21.000 --> 00:00:25.500]  不是 那時候很流行任劍輝 白雪仙那些
[00:00:25.500 --> 00:00:29.500]  我剛才聽的時候已經很回憶得到
[00:00:29.500 --> 00:00:33.500]  原來我小時候也唱粵曲
[00:00:33.500 --> 00:00:37.500]  因為我媽媽很喜歡聽任伯的歌
[00:00:37.500 --> 00:00:44.500]  所以我那時候可以背一整段紙差記
[00:00:44.500 --> 00:00:51.500]  然後背一整段帝女花
[00:00:51.500 --> 00:00:53.500]  最流行那兩首
[00:00:53.500 --> 00:00:55.500]  因為我媽媽每天都唱
[00:00:55.500 --> 00:00:57.500]  我每天都陪她唱
[00:00:57.500 --> 00:00:59.500]  所以很大的回憶
[00:00:59.500 --> 00:01:01.500]  不過很可惜
[00:01:01.500 --> 00:01:03.500]  我媽媽現在已經不在了
[00:01:03.500 --> 00:01:06.500]  當我懷緬的時候
[00:01:06.500 --> 00:01:09.500]  我很開心
[00:01:09.500 --> 00:01:13.500]  大家還可以在那裡享受人生
[00:01:13.500 --> 00:01:15.500]  你今天還坐在那裡
[00:01:15.500 --> 00:01:17.500]  這實在是福氣
[00:01:17.500 --> 00:01:19.500]  當我回想的時候
[00:01:19.500 --> 00:01:21.500]  聽了回味之後
[00:01:21.500 --> 00:01:23.500]  又想想
[00:01:23.500 --> 00:01:26.500]  前一陣子我和吳天龍去釣魚
[00:01:26.500 --> 00:01:28.500]  大家都認識他
[00:01:28.500 --> 00:01:30.500]  我和他去釣魚
[00:01:30.500 --> 00:01:34.500]  我們當然是去玩去吃
[00:01:34.500 --> 00:01:36.500]  吃了一個客家菜
[00:01:36.500 --> 00:01:38.500]  叫做煎釀三寶
[00:01:38.500 --> 00:01:40.500]  大家吃過沒有
[00:01:40.500 --> 00:01:42.500]  知不知道什麼叫做煎釀三寶
[00:01:42.500 --> 00:01:45.500]  第一 一定必然有的是什麼
[00:01:45.500 --> 00:01:47.500]  青椒
[00:01:47.500 --> 00:01:48.500]  還有呢
[00:01:48.500 --> 00:01:50.500]  矮瓜和豆腐
[00:01:50.500 --> 00:01:52.500]  我那次吃的不是
[00:01:52.500 --> 00:01:54.500]  這麼奇怪
[00:01:54.500 --> 00:01:56.500]  我想一想
[00:01:56.500 --> 00:01:58.500]  應該是青椒、矮瓜和豆腐
[00:01:58.500 --> 00:02:00.500]  為什麼不是呢
[00:02:00.500 --> 00:02:02.500]  番薯也很奇怪
[00:02:02.500 --> 00:02:06.500]  我那次是釀苦瓜
[00:02:06.500 --> 00:02:08.500]  也有的
[00:02:08.500 --> 00:02:10.500]  後來我回去研究一下
[00:02:10.500 --> 00:02:12.500]  為什麼這麼有趣呢
[00:02:12.500 --> 00:02:14.500]  原來裡面煎釀三寶
[00:02:14.500 --> 00:02:16.500]  最主要的元素
[00:02:16.500 --> 00:02:18.500]  就是外面是蔬菜
[00:02:18.500 --> 00:02:20.500]  裡面是肉
[00:02:20.500 --> 00:02:23.500]  煎得香就好吃
[00:02:23.500 --> 00:02:25.500]  原來今天要和大家分享
[00:02:25.500 --> 00:02:27.500]  就是人生都有三寶
[00:02:27.500 --> 00:02:31.500]  人生三寶是哪三寶呢
[00:02:31.500 --> 00:02:37.500]  先和大家講第一寶
[00:02:37.500 --> 00:02:39.500]  第一寶就是要有身體健康
[00:02:39.500 --> 00:02:43.500]  給你幾百萬也好
[00:02:43.500 --> 00:02:45.500]  你沒有健康
[00:02:45.500 --> 00:02:47.500]  浪費
[00:02:47.500 --> 00:02:49.500]  現在大家都差不多一年多了
[00:02:49.500 --> 00:02:51.500]  你突然間會發覺
[00:02:51.500 --> 00:02:53.500]  好像
