
[00:00:00.000 --> 00:00:04.500]  各位早上好,又可以一齊敬拜神,是很開心的
[00:00:04.500 --> 00:00:14.500]  神的話語使我們有些方向,有些把握生活,是開心的
[00:00:14.500 --> 00:00:18.500]  有一天,有兩夫婦來到我的禮拜堂
[00:00:18.500 --> 00:00:20.500]  太太就很雀躍地告訴我
[00:00:20.500 --> 00:00:26.000]  莫牧師,我的先生回轉悔改,很開心
[00:00:26.000 --> 00:00:29.500]  原來他先生是做一個合法偏門生意的
[00:00:29.500 --> 00:00:35.500]  但是自己又曾經吸毒,不過又告訴太太戒了
[00:00:35.500 --> 00:00:37.500]  太太也很開心,一起在信耶穌
[00:00:37.500 --> 00:00:45.500]  然後就說,但是無奈之前就發現他丈夫仍然有吸毒
[00:00:45.500 --> 00:00:48.500]  所以就很傷心,然後就跟那個先生說
[00:00:48.500 --> 00:00:51.500]  那個先生就說,哎呀,是的,我真的生活壓力很多理由
[00:00:51.500 --> 00:00:56.500]  不過我現在改了,我還有跟著你去禮拜堂
[00:00:56.500 --> 00:00:59.500]  兩個都已經信了耶穌,已經很久沒有去禮拜堂了
[00:00:59.500 --> 00:01:00.500]  現在就說悔改去禮拜堂
[00:01:00.500 --> 00:01:03.500]  所以太太很開心,她的誠意很強
[00:01:03.500 --> 00:01:07.500]  又說我真的改,感情十足
[00:01:07.500 --> 00:01:10.500]  然後還有行動上回到禮拜堂
[00:01:10.500 --> 00:01:13.500]  所以太太就很開心地告訴莫牧師
[00:01:13.500 --> 00:01:18.500]  我丈夫悔改,我們一齊回到禮拜堂,復興悔改
[00:01:18.500 --> 00:01:27.500]  我都在江湖打滾了十幾二十年,復陰事業
[00:01:27.500 --> 00:01:33.500]  你講完這句我都問,那你悔改,總之我要改過
[00:01:33.500 --> 00:01:35.500]  總之我要改過
[00:01:35.500 --> 00:01:40.500]  還有我回到禮拜堂,我就說,看你怎樣
[00:01:40.500 --> 00:01:48.500]  不是,心裡說的,沒那麼負面的,鼓勵性的,沒那麼不鼓勵
[00:01:48.500 --> 00:01:52.500]  回到禮拜堂,一次半次那麼多
[00:01:52.500 --> 00:01:56.500]  我已經跟太太、姐妹說,你還是留心一下
[00:01:56.500 --> 00:02:02.500]  如果先生悔改是好的,但是信也要有證據的
[00:02:02.500 --> 00:02:07.500]  有些智慧,我只是做了這樣而已
[00:02:07.500 --> 00:02:10.500]  但是我就說,當時作為一個牧師
[00:02:10.500 --> 00:02:14.500]  他有心,我要栽培他,我要帶領他
[00:02:14.500 --> 00:02:20.500]  我都要有些指引,有些智慧,他的心是否存在
[00:02:20.500 --> 00:02:25.500]  我就說,神恩待我,我就不會被他欺騙了
[00:02:25.500 --> 00:02:28.500]  這個只是一個,你說在生活上都是小事
[00:02:28.500 --> 00:02:31.500]  就算他悔不悔改,來到都不會有什麼大害
[00:02:31.500 --> 00:02:32.500]  是,沒問題
[00:02:32.500 --> 00:02:37.500]  但是這件事就被我們引導,我們想一想,生活上很多時候需要有智慧決定試幹
[00:02:37.500 --> 00:02:42.500]  需要有些方向,移民還是不移民
[00:02:42.500 --> 00:02:49.500]  進哪間學校,我的小朋友,看哪個醫生
[00:02:49.500 --> 00:02:52.500]  做這份工作還是不做
[00:02:52.500 --> 00:02:55.500]  兒子說娶老婆,那老婆接受還是不接受
[00:02:55.500 --> 00:03:01.500]  看醫生,說些什麼說話鼓勵,還是不要鼓勵
[00:03:01.500 --> 00:03:04.500]  人生有什麼方向,再說大一點
[00:03:04.500 --> 00:03:06.500]  人之後怎麼辦?
[00:03:06.500 --> 00:03:11.500]  今生進入來世之後,這些方向怎麼辦?
[00:03:11.500 --> 00:03:13.500]  今天就想告訴你,在聖經裡面說
[00:03:13.500 --> 00:03:15.500]  耶穌就是光,光就有指引
[00:03:15.500 --> 00:03:21.500]  指引就被我們行動上,抉擇上,生活上有智慧,有方向
[00:03:21.500 --> 00:03:25.500]  不會浪費你的青春,不會浪費你的光陰
[00:03:25.500 --> 00:03:27.500]  做對的時光
[00:03:27.500 --> 00:03:31.500]  讓福音一直在介紹耶穌,福音書一直在介紹耶穌
[00:03:31.500 --> 00:03:36.500]  讓福音裡面有說,耶穌是生命之量
[00:03:36.500 --> 00:03:39.500]  耶穌本身就是生命
[00:03:39.500 --> 00:03:45.500]  藉著拉撒路復活就說,祂的復活更加偉大
[00:03:45.500 --> 00:03:52.500]  現在其中一樣東西就是,耶穌是光
[00:03:52.500 --> 00:03:55.500]  光是一個客觀的事實
[00:03:55.500 --> 00:03:58.500]  在一個客房裡面,噢!光!
[00:03:58.500 --> 00:04:00.500]  有燈就有光了
[00:04:00.500 --> 00:04:03.500]  但今天不只是說耶穌是光
[00:04:03.500 --> 00:04:11.500]  如果耶穌是光,我們要怎樣回應?
[00:04:11.500 --> 00:04:13.500]  那個法溫膠囊就在那裡
[00:04:13.500 --> 00:04:17.500]  不是不是,清溫膠囊就在那裡
