
[00:00:00.000 --> 00:00:10.100]  那麼今天我的信息基本上是要講基督徒應有的到底應該有什麼呢?
[00:00:10.100 --> 00:00:13.560]  我會每個月會分享一次
[00:00:13.560 --> 00:00:19.160]  今天我要跟各位分享的是基督徒應有的純心
[00:00:19.160 --> 00:00:21.300]  你心裡面存什麼?
[00:00:21.300 --> 00:00:27.660]  但是讓我先問各位到底什麼叫基督徒啊?
[00:00:27.660 --> 00:00:32.580]  按照韋氏大辭典的解釋Webster他的解釋是
[00:00:32.580 --> 00:00:39.340]  信奉基督的還有信奉基督教義的就叫做基督徒
[00:00:39.340 --> 00:00:44.500]  換句話說信奉耶穌是基督的Yahshua Hamashiach
[00:00:44.500 --> 00:00:46.580]  這就是基督徒
[00:00:46.580 --> 00:00:50.940]  基督徒這個名詞在信念裡面出現過三次
[00:00:50.940 --> 00:00:53.160]  有兩次在《使徒行傳》裡面
[00:00:53.160 --> 00:00:56.180]  有一次是在《彼得前書》裡面
[00:00:56.180 --> 00:01:00.940]  而基督徒第一次被叫被稱呼
[00:01:00.940 --> 00:01:06.140]  是在《使徒行傳》裡面安提拉的教會叫出來的
[00:01:06.140 --> 00:01:09.100]  叫他們叫做Christian
[00:01:09.100 --> 00:01:12.660]  因為基督就是Christ
[00:01:12.660 --> 00:01:18.340]  C-H-R-I-S-T再加一個I-A-N就是Christian
[00:01:18.340 --> 00:01:23.620]  它的原文的意思是Christ Anast小基督
[00:01:23.620 --> 00:01:31.620]  所以基督徒我們要學習效法活出基督的容美
[00:01:31.620 --> 00:01:38.020]  要有神的生命在我們身上彰顯出來
[00:01:38.020 --> 00:01:41.580]  但是我們怎麼樣說這個人是基督徒呢
[00:01:41.580 --> 00:01:45.260]  是不是因為他絕了志就是基督徒呢
[00:01:45.260 --> 00:01:49.780]  還是是不是因為他受了洗就稱作是基督徒呢
[00:01:49.780 --> 00:01:53.260]  或者是他心意根性而變化
[00:01:53.260 --> 00:01:55.220]  那麼就是基督徒呢
[00:01:55.220 --> 00:01:58.420]  或者是他夠標準夠好了
[00:01:58.420 --> 00:02:01.820]  我們才稱他做基督徒呢
[00:02:01.820 --> 00:02:04.380]  其實都不盡然
[00:02:04.380 --> 00:02:07.660]  我們今天就要來多多少少
[00:02:07.660 --> 00:02:10.540]  要從各個不同的角度來探討
[00:02:10.540 --> 00:02:15.060]  到底基督徒應有什麼樣的存心
[00:02:15.060 --> 00:02:18.420]  往後還會有基督徒應有的行為
[00:02:18.420 --> 00:02:21.180]  基督徒應有的人生觀
[00:02:21.180 --> 00:02:24.460]  基督徒應有的財富觀
[00:02:24.460 --> 00:02:27.860]  或者是應有的婚姻觀等等
[00:02:27.860 --> 00:02:30.860]  所以讓我們再一次來到神的面前
[00:02:30.860 --> 00:02:34.220]  我們說求神保守求神帶領
[00:02:34.220 --> 00:02:39.180]  求神再一次他的智慧的言語知識的言語
[00:02:39.180 --> 00:02:44.420]  領導讓我們講的聽的都能夠同德造就
[00:02:44.420 --> 00:02:48.980]  這樣感謝禱告贊美是奉主耶穌基督的名
[00:02:48.980 --> 00:02:51.980]  我們一開始練說
[00:02:51.980 --> 00:02:56.020]  耶和華神覺得掃羅王沒有跟隨神
[00:02:56.020 --> 00:02:58.060]  所以要把掃羅王換掉
[00:02:58.060 --> 00:03:01.220]  他就啓示撒末爾先知
[00:03:01.220 --> 00:03:03.540]  說你到耶穌家去
[00:03:03.540 --> 00:03:05.980]  你要去找到那個我指示你的
