
[00:00:00.000 --> 00:00:04.820]  咁同隔離嗰位姊妹講聲祝佢母親節快樂好嗎
[00:00:04.820 --> 00:00:07.520]  咁呢就年年母親節呢都係媽媽聲㗎啦
[00:00:07.520 --> 00:00:09.220]  個個都係講阿媽講阿媽
[00:00:09.220 --> 00:00:12.120]  今年好特別嘅 當月被趕槍嘅時候呢
[00:00:12.120 --> 00:00:15.540]  我以為我自己怪怪地 因為我唔知點解唔想講阿媽
[00:00:15.540 --> 00:00:17.520]  咁好感恩呢就同阿Grace姐姐
[00:00:17.520 --> 00:00:19.780]  Grace姐姐係隔離嘅 ok 嗰日傾下計
[00:00:19.780 --> 00:00:21.720]  原來我兩個感動都一樣嘅
[00:00:21.720 --> 00:00:25.040]  今年呢就唔知點解唔係好想講媽媽嘅問題
[00:00:25.040 --> 00:00:27.760]  應該話都唔係唔牽涉媽媽嘅 ok
[00:00:27.760 --> 00:00:29.580]  反而想同你講女人呀
[00:00:29.580 --> 00:00:32.200]  咁同隔離個弟兄講 麻煩你忍耐一陣
[00:00:32.200 --> 00:00:35.540]  今年係母親節 當然係我哋女人嘅世界啦 ok
[00:00:35.540 --> 00:00:39.640]  事實上母親節呢俾大家都係有好多
[00:00:39.640 --> 00:00:42.960]  好多嘅遐想嘅 即係無論你開心又好
[00:00:42.960 --> 00:00:44.180]  唔開心都好啦
[00:00:44.180 --> 00:00:45.800]  因為而家社會比較複雜呀
[00:00:45.800 --> 00:00:49.740]  即係有啲同媽媽嘅關係有糾結好緊張
[00:00:49.740 --> 00:00:51.720]  有啲當然係好sweet㗎啦
[00:00:51.720 --> 00:00:53.660]  咁當然講話做到母親呢
[00:00:53.660 --> 00:00:56.840]  亦都係好難講嘅 因為有啲人係好想做媽媽
[00:00:56.840 --> 00:00:59.120]  但有啲人呢又唔想做媽媽
[00:00:59.120 --> 00:01:02.100]  有啲人好想生 有啲人又唔想生
[00:01:02.100 --> 00:01:04.160]  咁今日點解會想講女人呢
[00:01:04.160 --> 00:01:07.040]  原因就係母親節 始終係我哋女人嘅日子
[00:01:07.040 --> 00:01:10.120]  咁究竟女人嘅幸福係點嘅呢
[00:01:10.120 --> 00:01:12.380]  有人話呢 女人嘅幸福呢
[00:01:12.380 --> 00:01:15.360]  全係於三個男人嘅身上
[00:01:15.360 --> 00:01:18.580]  咁所以同隔離嗰個講 原來都關你事
[00:01:18.580 --> 00:01:22.200]  即係話講女人咋喎 原來都係關你男人事嘅
[00:01:22.200 --> 00:01:24.780]  點解呢 原因好多時候
[00:01:24.780 --> 00:01:29.320]  第一個男人令到一個女人覺得幸唔幸福嘅呢
[00:01:29.320 --> 00:01:30.900]  就係佢嘅爸爸
[00:01:30.900 --> 00:01:35.140]  因為話如果一個女仔佢細個嘅時候
[00:01:35.140 --> 00:01:37.140]  得到爸爸嘅痛愛呢
[00:01:37.140 --> 00:01:39.880]  佢係有福嘅 佢係幸福嘅
[00:01:39.880 --> 00:01:43.460]  佢嘅自我形象一般係會比較好嘅
[00:01:43.460 --> 00:01:46.120]  因為有爸爸錫 有爸爸寵
[00:01:46.120 --> 00:01:47.580]  有靠山
[00:01:47.580 --> 00:01:50.620]  咁但係呢 無論爸爸幾錫佢都好啦
[00:01:50.620 --> 00:01:53.020]  唔好意思啦 女生真係外向嘅
[00:01:53.020 --> 00:01:57.720]  到咁上下 佢始終都係好想搵返個老公嘅
[00:01:57.720 --> 00:01:59.720]  特別香港暫時都算係
[00:01:59.720 --> 00:02:02.960]  喺亞洲區係一個保守嘅社會嚟嘅
[00:02:02.960 --> 00:02:05.360]  原來我哋仲係好想結婚嘅
[00:02:05.360 --> 00:02:08.440]  咁你環顧出面呢 其實已經好多女人呢
[00:02:08.440 --> 00:02:10.800]  係都未必需要一個老公㗎啦
[00:02:10.800 --> 00:02:12.700]  可能佢需要個情人嘅啫
[00:02:12.700 --> 00:02:14.560]  咁第三個男人係咩呢
[00:02:14.560 --> 00:02:17.660]  就係當然就係講緊佢哋嘅孩子啦
[00:02:17.660 --> 00:02:21.300]  以前嘅啫 而家幸福好多㗎啦
[00:02:21.300 --> 00:02:24.380]  而家嘅老爺奶奶呀 即係岳父岳母呢
[00:02:24.380 --> 00:02:26.540]  即係你話肯生呢 其實已經收貨㗎啦
[00:02:26.540 --> 00:02:29.600]  都唔知你生咩都唔緊要 最重要生啦
[00:02:29.600 --> 00:02:31.600]  咁所以已經唔使咁慘呢
[00:02:31.600 --> 00:02:33.600]  女人一定要生到仔呢
[00:02:33.600 --> 00:02:36.340]  先至係叫做幸福嘅
[00:02:36.340 --> 00:02:38.100]  但係無論如何都好啦
[00:02:38.100 --> 00:02:40.460]  而家呢一代你見到我哋年輕嘅
[00:02:40.460 --> 00:02:42.560]  小朋友呢 都係好幸福嘅
[00:02:42.560 --> 00:02:43.800]  因為大部分呢
[00:02:43.800 --> 00:02:47.320]  佢哋嘅爸爸呢 就稱呼佢哋為小情人呀
[00:02:47.320 --> 00:02:48.340]  知唔知點解呀
[00:02:48.340 --> 00:02:51.780]  冇計啦 隔離嗰件元配惡咗啦嘛
